noise_level,seed,strategy,grade,precision,recall,f1,support
0.25,99,fedavg,5,0.47368421052631576,0.5454545454545454,0.5070422535211268,99
0.25,99,fedavg,high_grade_4_5,0.6368159203980099,0.64,0.6384039900249376,200
0.25,123,cross_site_blend_50,0,0.5486111111111112,0.79,0.6475409836065574,100
0.25,123,cross_site_blend_50,1,0.411214953271028,0.43564356435643564,0.4230769230769231,101
0.25,123,cross_site_blend_50,2,0.47761194029850745,0.31683168316831684,0.38095238095238093,101
0.25,123,cross_site_blend_50,3,0.4125,0.33,0.36666666666666664,100
0.25,123,cross_site_blend_50,4,0.4270833333333333,0.41,0.41836734693877553,100
0.25,123,cross_site_blend_50,5,0.5700934579439252,0.6161616161616161,0.5922330097087378,99
0.25,123,cross_site_blend_50,high_grade_4_5,0.6600985221674877,0.6733668341708543,0.6666666666666666,199
0.25,123,cross_site_blend_75,0,0.5405405405405406,0.8,0.6451612903225806,100
0.25,123,cross_site_blend_75,1,0.4056603773584906,0.42574257425742573,0.41545893719806765,101
0.25,123,cross_site_blend_75,2,0.4915254237288136,0.2871287128712871,0.3625,101
0.25,123,cross_site_blend_75,3,0.40229885057471265,0.35,0.37433155080213903,100
0.25,123,cross_site_blend_75,4,0.4318181818181818,0.38,0.40425531914893614,100
0.25,123,cross_site_blend_75,5,0.5486725663716814,0.6262626262626263,0.5849056603773585,99
0.25,123,cross_site_blend_75,high_grade_4_5,0.6666666666666666,0.6733668341708543,0.67,199
0.25,123,cross_site_full,0,0.5374149659863946,0.79,0.6396761133603239,100
0.25,123,cross_site_full,1,0.41509433962264153,0.43564356435643564,0.4251207729468599,101
0.25,123,cross_site_full,2,0.5,0.2871287128712871,0.36477987421383645,101
0.25,123,cross_site_full,3,0.3804347826086957,0.35,0.3645833333333333,100
0.25,123,cross_site_full,4,0.4166666666666667,0.35,0.3804347826086957,100
0.25,123,cross_site_full,5,0.5087719298245614,0.5858585858585859,0.5446009389671361,99
0.25,123,cross_site_full,high_grade_4_5,0.6616161616161617,0.6582914572864321,0.6599496221662469,199
0.25,123,fedavg,0,0.5428571428571428,0.76,0.6333333333333333,100
0.25,123,fedavg,1,0.43037974683544306,0.33663366336633666,0.37777777777777777,101
0.25,123,fedavg,2,0.4342105263157895,0.32673267326732675,0.3728813559322034,101
0.25,123,fedavg,3,0.38144329896907214,0.37,0.3756345177664975,100
0.25,123,fedavg,4,0.40384615384615385,0.42,0.4117647058823529,100
0.25,123,fedavg,5,0.6,0.6363636363636364,0.6176470588235294,99
0.25,123,fedavg,high_grade_4_5,0.6650717703349283,0.6984924623115578,0.6813725490196079,199
0.25,2025,cross_site_blend_50,0,0.5704225352112676,0.801980198019802,0.6666666666666666,101
0.25,2025,cross_site_blend_50,1,0.38461538461538464,0.35353535353535354,0.3684210526315789,99
0.25,2025,cross_site_blend_50,2,0.38613861386138615,0.38613861386138615,0.38613861386138615,101
0.25,2025,cross_site_blend_50,3,0.45454545454545453,0.297029702970297,0.3592814371257485,101
0.25,2025,cross_site_blend_50,4,0.3142857142857143,0.3333333333333333,0.3235294117647059,99
0.25,2025,cross_site_blend_50,5,0.4895833333333333,0.47,0.47959183673469385,100
0.25,2025,cross_site_blend_50,high_grade_4_5,0.6019900497512438,0.6080402010050251,0.605,199
0.25,2025,cross_site_blend_75,0,0.5655172413793104,0.8118811881188119,0.6666666666666666,101
0.25,2025,cross_site_blend_75,1,0.37894736842105264,0.36363636363636365,0.3711340206185567,99
0.25,2025,cross_site_blend_75,2,0.40625,0.38613861386138615,0.39593908629441626,101
0.25,2025,cross_site_blend_75,3,0.43478260869565216,0.297029702970297,0.35294117647058826,101
0.25,2025,cross_site_blend_75,4,0.3368421052631579,0.32323232323232326,0.32989690721649484,99
0.25,2025,cross_site_blend_75,5,0.4752475247524752,0.48,0.47761194029850745,100
0.25,2025,cross_site_blend_75,high_grade_4_5,0.6071428571428571,0.5979899497487438,0.6025316455696202,199
0.25,2025,cross_site_full,0,0.5629139072847682,0.8415841584158416,0.6746031746031746,101
0.25,2025,cross_site_full,1,0.367816091954023,0.32323232323232326,0.34408602150537637,99
