noise_level,seed,strategy,site_id,qwk,accuracy,macro_f1,support
0.25,42,cross_site_blend_75,4,0.6912024199647089,0.49333333333333335,0.4856482180745856,75
0.25,42,cross_site_full,0,0.6960838389409818,0.4703703703703704,0.43891379956080395,270
0.25,42,cross_site_full,1,0.5422885572139303,0.43333333333333335,0.41880809380809386,90
0.25,42,cross_site_full,2,0.678023850085179,0.5,0.4794167923579688,90
0.25,42,cross_site_full,3,0.7666154858521605,0.5526315789473685,0.521952109388442,76
0.25,42,cross_site_full,4,0.6875,0.49333333333333335,0.4856482180745855,75
0.25,42,fedavg,0,0.6949152542372881,0.4666666666666667,0.4379744956557385,270
0.25,42,fedavg,1,0.5451559934318555,0.4444444444444444,0.42554982392380764,90
0.25,42,fedavg,2,0.662771285475793,0.5222222222222223,0.49890830664955793,90
0.25,42,fedavg,3,0.7926982794796475,0.5789473684210527,0.5595708724585077,76
0.25,42,fedavg,4,0.7128322940597309,0.4666666666666667,0.4506704980842911,75
0.25,99,cross_site_blend_50,0,0.5845609899823219,0.34074074074074073,0.32198462494127456,270
0.25,99,cross_site_blend_50,1,0.63922942206655,0.45555555555555555,0.4470702129525659,90
0.25,99,cross_site_blend_50,2,0.6144144144144144,0.4888888888888889,0.479549114331723,90
0.25,99,cross_site_blend_50,3,0.5871425354649854,0.4605263157894737,0.45819914117015575,76
0.25,99,cross_site_blend_50,4,0.4781783681214422,0.4,0.38376198964434266,75
0.25,99,cross_site_blend_75,0,0.5872543180464562,0.34444444444444444,0.3286163101150264,270
0.25,99,cross_site_blend_75,1,0.5887521968365554,0.45555555555555555,0.4470202741874569,90
0.25,99,cross_site_blend_75,2,0.6283662477558348,0.5,0.4907658243990078,90
0.25,99,cross_site_blend_75,3,0.6278350515463917,0.4605263157894737,0.45513910003040436,76
0.25,99,cross_site_blend_75,4,0.42007531116157404,0.4,0.3827201783723522,75
0.25,99,cross_site_full,0,0.5813128326434063,0.3333333333333333,0.3172772888397868,270
0.25,99,cross_site_full,1,0.6243567753001715,0.45555555555555555,0.4395592492366685,90
0.25,99,cross_site_full,2,0.6099815157116452,0.4888888888888889,0.48163541720843955,90
0.25,99,cross_site_full,3,0.5947764598540146,0.4605263157894737,0.4536352657004831,76
0.25,99,cross_site_full,4,0.47624205455633783,0.4,0.38815759403994693,75
0.25,99,fedavg,0,0.5473808122424957,0.35555555555555557,0.3392947838584402,270
0.25,99,fedavg,1,0.6746166950596253,0.4777777777777778,0.470782967032967,90
0.25,99,fedavg,2,0.5664845173041895,0.4444444444444444,0.4325908726063525,90
0.25,99,fedavg,3,0.6181212381771282,0.47368421052631576,0.4541666666666666,76
0.25,99,fedavg,4,0.44737560265623577,0.3333333333333333,0.3283992879101575,75
0.25,123,cross_site_blend_50,0,0.6195715112912565,0.4740740740740741,0.4647903536792426,270
0.25,123,cross_site_blend_50,1,0.7689594356261023,0.4666666666666667,0.45080955334987594,90
0.25,123,cross_site_blend_50,2,0.6884681583476765,0.5111111111111111,0.5064941624984184,90
