noise_level,seed,strategy,delta_qwk_vs_fedavg,fedavg_qwk,strategy_qwk,delta_accuracy_vs_fedavg,fedavg_accuracy,strategy_accuracy,delta_macro_f1_vs_fedavg,fedavg_macro_f1,strategy_macro_f1
0.25,42,cross_site_full,-0.004339535596148192,0.6818296219427675,0.6774900863466193,-0.0033277870216306127,0.4858569051580699,0.4825291181364393,-0.0006142931911069516,0.4622776845754843,0.46166339138437734
0.25,99,cross_site_blend_50,0.016951835117808955,0.5675337843512176,0.5844856194690266,0.0033277870216306127,0.39933444259567386,0.40266222961730447,0.0016206910450281553,0.38839419518109725,0.3900148862261254
0.25,99,cross_site_blend_75,0.01029510758428942,0.5675337843512176,0.577828891935507,0.006655574043261225,0.39933444259567386,0.4059900166389351,0.0056140807733504605,0.38839419518109725,0.3940082759544477
0.25,99,cross_site_full,0.013166250221243736,0.5675337843512176,0.5807000345724613,0.0,0.39933444259567386,0.39933444259567386,-0.0016971096021967114,0.38839419518109725,0.38669708557890053
0.25,123,cross_site_blend_50,-0.0063572325776329874,0.6696060461630308,0.6632488135853978,0.008319467554076532,0.47420965058236275,0.4825291181364393,0.00663309357239128,0.464839791585949,0.4714728851583403
0.25,123,cross_site_blend_75,-0.005278084502230329,0.6696060461630308,0.6643279616608004,0.0033277870216306127,0.47420965058236275,0.47753743760399336,-0.00040433194443534326,0.464839791585949,0.46443545964151367
0.25,123,cross_site_full,-0.018471261701035302,0.6696060461630308,0.6511347844619955,-0.008319467554076587,0.47420965058236275,0.46589018302828616,-0.011640489014251465,0.464839791585949,0.45319930257169755
0.25,2025,cross_site_blend_50,-0.006847043603046221,0.5997610472647479,0.5929140036617017,0.006655574043261225,0.43427620632279534,0.44093178036605657,0.009366110680642692,0.4212387257834873,0.43060483646413
0.25,2025,cross_site_blend_75,-0.004022151371882554,0.5997610472647479,0.5957388958928653,0.009983361064891838,0.43427620632279534,0.4442595673876872,0.01112624047738442,0.4212387257834873,0.43236496626087173
0.25,2025,cross_site_full,-0.002999660933801662,0.5997610472647479,0.5967613863309462,0.006655574043261225,0.43427620632279534,0.44093178036605657,0.005186550539780732,0.4212387257834873,0.42642527632326804
0.35,7,cross_site_blend_50,-0.026521448986510765,0.7104519384638004,0.6839304894772896,-0.029950083194675514,0.5224625623960066,0.4925124792013311,-0.03339669297983666,0.5104375393848846,0.4770408464050479
0.35,7,cross_site_blend_75,-0.02777048412076588,0.7104519384638004,0.6826814543430345,-0.03327787021630613,0.5224625623960066,0.4891846921797005,-0.035075104356223574,0.5104375393848846,0.475362435028661
0.35,7,cross_site_full,-0.029694208136998412,0.7104519384638004,0.680757730326802,-0.04492512479201327,0.5224625623960066,0.47753743760399336,-0.04723864175121251,0.5104375393848846,0.46319889763367206
0.35,42,cross_site_blend_50,-0.013865853324832145,0.6721224817930067,0.6582566284681746,0.011647254575707144,0.47753743760399336,0.4891846921797005,0.011919215637647085,0.4566094536692969,0.468528669306944
0.35,42,cross_site_blend_75,-0.006886122004301054,0.6721224817930067,0.6652363597887057,0.019966722129783676,0.47753743760399336,0.49750415973377704,0.024219218469917148,0.4566094536692969,0.48082867213921404
0.35,42,cross_site_full,-0.001072653974696136,0.6721224817930067,0.6710498278183106,0.008319467554076532,0.47753743760399336,0.4858569051580699,0.008037016886037751,0.4566094536692969,0.46464647055533465
0.35,99,cross_site_blend_50,-0.02666640137659737,0.5672656552150901,0.5405992538384927,-0.028286189683860263,0.40765391014975044,0.3793677204658902,-0.02873840617773249,0.3954784888011522,0.3667400826234197
0.35,99,cross_site_blend_75,-0.013755540915912912,0.5672656552150901,0.5535101142991772,-0.028286189683860263,0.40765391014975044,0.3793677204658902,-0.032028577902893485,0.3954784888011522,0.36344991089825873
0.35,99,cross_site_full,0.0019331428762450198,0.5672656552150901,0.5691987980913351,-0.009983361064891894,0.40765391014975044,0.39767054908485855,-0.012615521720081346,0.3954784888011522,0.38286296708107087
0.35,123,cross_site_blend_50,-0.009024303125418687,0.6507728059531697,0.641748502827751,0.009983361064891838,0.4459234608985025,0.4559068219633943,0.008934729780445683,0.43446583640002956,0.44340056618047524
0.35,123,cross_site_blend_75,-0.009664604218080464,0.6507728059531697,0.6411082017350892,0.023294509151414344,0.4459234608985025,0.46921797004991683,0.02154333879649989,0.43446583640002956,0.45600917519652945
0.35,123,cross_site_full,-0.014977972155810426,0.6507728059531697,0.6357948337973592,0.0033277870216306127,0.4459234608985025,0.4492512479201331,0.0011556194415274224,0.43446583640002956,0.435621455841557
0.35,2025,cross_site_blend_50,0.005332022784445889,0.6010257092493432,0.6063577320337891,-0.0033277870216306127,0.43594009983361065,0.43261231281198004,-0.005299140003627467,0.42700481749005575,0.4217056774864283
