noise_level,seed,strategy,site_id,grade,recall,support
0.0,123,cross_site_blend_50,4,0,0.9166666666666666,12
0.0,123,cross_site_blend_50,4,1,0.5384615384615384,13
0.0,123,cross_site_blend_50,4,2,0.3076923076923077,13
0.0,123,cross_site_blend_50,4,3,0.25,12
0.0,123,cross_site_blend_50,4,4,0.46153846153846156,13
0.0,123,cross_site_blend_50,4,5,0.5833333333333334,12
0.0,123,cross_site_blend_50,4,high_grade_4_5,0.68,25
0.0,123,cross_site_blend_75,0,0,0.7111111111111111,45
0.0,123,cross_site_blend_75,0,1,0.4222222222222222,45
0.0,123,cross_site_blend_75,0,2,0.35555555555555557,45
0.0,123,cross_site_blend_75,0,3,0.4,45
0.0,123,cross_site_blend_75,0,4,0.4444444444444444,45
0.0,123,cross_site_blend_75,0,5,0.6444444444444445,45
0.0,123,cross_site_blend_75,0,high_grade_4_5,0.7111111111111111,90
0.0,123,cross_site_blend_75,1,0,0.9333333333333333,15
0.0,123,cross_site_blend_75,1,1,0.4,15
0.0,123,cross_site_blend_75,1,2,0.13333333333333333,15
0.0,123,cross_site_blend_75,1,3,0.4,15
0.0,123,cross_site_blend_75,1,4,0.3333333333333333,15
0.0,123,cross_site_blend_75,1,5,0.5333333333333333,15
0.0,123,cross_site_blend_75,1,high_grade_4_5,0.7666666666666667,30
0.0,123,cross_site_blend_75,2,0,0.8666666666666667,15
0.0,123,cross_site_blend_75,2,1,0.5333333333333333,15
0.0,123,cross_site_blend_75,2,2,0.4666666666666667,15
0.0,123,cross_site_blend_75,2,3,0.4,15
0.0,123,cross_site_blend_75,2,4,0.26666666666666666,15
0.0,123,cross_site_blend_75,2,5,0.6666666666666666,15
0.0,123,cross_site_blend_75,2,high_grade_4_5,0.7,30
0.0,123,cross_site_blend_75,3,0,0.7692307692307693,13
0.0,123,cross_site_blend_75,3,1,0.3076923076923077,13
