noise_level,seed,strategy,qwk,accuracy,macro_f1,support
0.25,99,cross_site_full,0.5807000345724613,0.39933444259567386,0.38669708557890053,601
0.25,99,fedavg,0.5675337843512176,0.39933444259567386,0.38839419518109725,601
0.25,123,cross_site_blend_50,0.6632488135853978,0.4825291181364393,0.4714728851583403,601
0.25,123,cross_site_blend_75,0.6643279616608004,0.47753743760399336,0.46443545964151367,601
0.25,123,cross_site_full,0.6511347844619955,0.46589018302828616,0.45319930257169755,601
0.25,123,fedavg,0.6696060461630308,0.47420965058236275,0.464839791585949,601
0.25,2025,cross_site_blend_50,0.5929140036617017,0.44093178036605657,0.43060483646413,601
0.25,2025,cross_site_blend_75,0.5957388958928653,0.4442595673876872,0.43236496626087173,601
0.25,2025,cross_site_full,0.5967613863309462,0.44093178036605657,0.42642527632326804,601
0.25,2025,fedavg,0.5997610472647479,0.43427620632279534,0.4212387257834873,601
0.35,7,cross_site_blend_50,0.6839304894772896,0.4925124792013311,0.4770408464050479,601
0.35,7,cross_site_blend_75,0.6826814543430345,0.4891846921797005,0.475362435028661,601
0.35,7,cross_site_full,0.680757730326802,0.47753743760399336,0.46319889763367206,601
0.35,7,fedavg,0.7104519384638004,0.5224625623960066,0.5104375393848846,601
0.35,42,cross_site_blend_50,0.6582566284681746,0.4891846921797005,0.468528669306944,601
0.35,42,cross_site_blend_75,0.6652363597887057,0.49750415973377704,0.48082867213921404,601
0.35,42,cross_site_full,0.6710498278183106,0.4858569051580699,0.46464647055533465,601
0.35,42,fedavg,0.6721224817930067,0.47753743760399336,0.4566094536692969,601
0.35,99,cross_site_blend_50,0.5405992538384927,0.3793677204658902,0.3667400826234197,601
0.35,99,cross_site_blend_75,0.5535101142991772,0.3793677204658902,0.36344991089825873,601
0.35,99,cross_site_full,0.5691987980913351,0.39767054908485855,0.38286296708107087,601
0.35,99,fedavg,0.5672656552150901,0.40765391014975044,0.3954784888011522,601
0.35,123,cross_site_blend_50,0.641748502827751,0.4559068219633943,0.44340056618047524,601
0.35,123,cross_site_blend_75,0.6411082017350892,0.46921797004991683,0.45600917519652945,601
0.35,123,cross_site_full,0.6357948337973592,0.4492512479201331,0.435621455841557,601
0.35,123,fedavg,0.6507728059531697,0.4459234608985025,0.43446583640002956,601
0.35,2025,cross_site_blend_50,0.6063577320337891,0.43261231281198004,0.4217056774864283,601
0.35,2025,cross_site_blend_75,0.5827616889679823,0.4209650582362729,0.40978049724964016,601
0.35,2025,cross_site_full,0.5920941709413801,0.4276206322795341,0.4127845198441116,601
0.35,2025,fedavg,0.6010257092493432,0.43594009983361065,0.42700481749005575,601
0.45,7,cross_site_blend_50,0.6761017204916998,0.47753743760399336,0.4596738308512342,601
0.45,7,cross_site_blend_75,0.6683331996424975,0.47420965058236275,0.4548745343445362,601
0.45,7,cross_site_full,0.6804888189087821,0.47920133111480867,0.4610546796316071,601
0.45,7,fedavg,0.6956210937700169,0.5141430948419301,0.49914530955395603,601
0.45,42,cross_site_blend_50,0.6460099501096295,0.47254575707154745,0.45989663029380523,601
0.45,42,cross_site_blend_75,0.6503423027894812,0.4858569051580699,0.4739162438068987,601
0.45,42,cross_site_full,0.6482280080597129,0.47753743760399336,0.46213224578396916,601
0.45,42,fedavg,0.6454952241523764,0.46755407653910147,0.4456940810317533,601
0.45,99,cross_site_blend_50,0.5521361310070024,0.39434276206322794,0.3779328227526191,601
0.45,99,cross_site_blend_75,0.5777687289301174,0.39933444259567386,0.3847990297581605,601
0.45,99,cross_site_full,0.5681617715446293,0.40765391014975044,0.39156938771662353,601
0.45,99,fedavg,0.5565021790836455,0.40266222961730447,0.39270998445518696,601
0.45,123,cross_site_blend_50,0.6241502520088026,0.4492512479201331,0.433494654740823,601
0.45,123,cross_site_blend_75,0.6375575672842851,0.4492512479201331,0.433099267940499,601
0.45,123,cross_site_full,0.6312776465609042,0.43760399334442596,0.4225791789177407,601
0.45,123,fedavg,0.6484728965396551,0.4425956738768719,0.42683908727914427,601
0.45,2025,cross_site_blend_50,0.5825110815422652,0.4259567387687188,0.41958710014713735,601
0.45,2025,cross_site_blend_75,0.5785169487527726,0.41264559068219636,0.402585376863225,601
0.45,2025,cross_site_full,0.6013695854196552,0.4226289517470882,0.4118363308649684,601
0.45,2025,fedavg,0.5810392446868854,0.4292845257903494,0.4212994255169262,601
