n,training_count,pair_count,paired_fraction_of_total,paired_fraction_of_training,overlap,nonlinear,method,task_auc_mean,task_auc_std,universal_biological_score_mean,universal_biological_score_std,factor_separation_score_mean,factor_separation_score_std,task_auc_from_acq_mean,task_auc_from_acq_std,chance_normalized_environment_leakage_mean,chance_normalized_environment_leakage_std,paired_biological_invariance_error_mean,paired_biological_invariance_error_std,counterfactual_transport_error_mean,counterfactual_transport_error_std,biology_cca_from_bio_mean,biology_cca_from_bio_std,biology_procrustes_error_mean,biology_procrustes_error_std,n_seeds,recovery_margin,recovered,observational_log10,pair_count_log10_plus_one
500,300,2,0.004,0.006666666666666667,0.95,True,operator,0.9467317895274052,0.020466885484765975,0.2522944211959839,0.04999183373344062,0.5107853710651398,0.15407834847383747,0.7883637381522657,0.11453015374073798,0.25600000000000006,0.11329411085998936,,,,,0.5083160244146803,0.09903509862126765,0.8685307741165161,0.1007820363090966,5,-0.2477055788040161,False,2.6989700043360187,0.47712125471966244
500,300,2,0.004,0.006666666666666667,0.95,True,pair_consistency,0.9440131526233682,0.022271166959696796,0.24194458425045012,0.05781053359243407,0.5057106405496598,0.15144032530489437,0.7730346017440792,0.0404073541361443,0.2053333333333333,0.06572670690061994,,,,,0.45944864045735007,0.06479467330623415,1.0104944705963135,0.1708362436593339,5,-0.2580554157495499,False,2.6989700043360187,0.47712125471966244
500,300,5,0.01,0.016666666666666666,0.9,False,factorized,0.9651694455560001,0.020945403402206433,0.249270436167717,0.03887685263789962,0.5539191454648972,0.19792962529391928,0.7868171788135545,0.07243431146141674,0.2506666666666667,0.08506206884126179,,,,,0.5576643044172693,0.04490538831337879,1.3888156771659852,1.039729507187674,5,-0.250729563832283,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,False,hybrid_curriculum,0.9639518644945901,0.02053356475290796,0.39860937744379044,0.0385503924364733,0.6745451673865318,0.12157372620990445,0.7694917693454193,0.06058307146126419,0.18666666666666665,0.08379870059984355,,,,,0.5589308224987174,0.07366954377549548,0.998628568649292,0.3247693333648625,5,-0.10139062255620956,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,False,operator,0.9577791864958544,0.026840214099280165,0.2820425480604172,0.028794709715420273,0.6607889235019684,0.07836477467016051,0.7495465953724485,0.03370497658590501,0.26399999999999996,0.03932768321000697,,,,,0.5120578877325352,0.033669714421053556,1.0969818115234375,0.3049365640680161,5,-0.21795745193958282,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,False,pair_consistency,0.9652394855526751,0.026255984868128513,0.3186562567949295,0.08779305047551612,0.6717617839574814,0.11914296880112932,0.7333165128466845,0.11029676716269983,0.21066666666666664,0.061391276977180505,,,,,0.4894024557756308,0.10196111286093788,0.8891073107719422,0.10887854814347397,5,-0.18134374320507052,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,True,factorized,0.96188948066183,0.025633939173607206,0.24598567485809325,0.08319935604774809,0.5856219619512558,0.15321658047009537,0.7653006123802177,0.06193064392738737,0.23733333333333334,0.09399763590407771,,,,,0.5655576456703725,0.03973246221138901,1.189265787601471,0.6935596488332801,5,-0.25401432514190675,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,True,hybrid_curriculum,0.9593942261735611,0.019159288782061426,0.3622502237558365,0.04645303984903753,0.6448263317346573,0.13286634839821534,0.7636241291492442,0.05415418129622887,0.192,0.06837803415977645,,,,,0.5149601981076938,0.04435164461751386,0.9583970904350281,0.1960844301401495,5,-0.1377497762441635,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,True,operator,0.9555509805081452,0.02847607297959557,0.2837565362453461,0.07160526617883302,0.6763031095266342,0.14576566734061186,0.7249266774535901,0.05125340856930016,0.19466666666666668,0.058575687030636786,,,,,0.5267695045904554,0.05412086691212546,1.0665296077728272,0.2670796303456618,5,-0.21624346375465392,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.9,True,pair_consistency,0.9592310869081931,0.027798078408658403,0.32489738166332244,0.08295720894476913,0.6407698214054107,0.12979577024669878,0.7445671433404281,0.11450555852909008,0.1333333333333333,0.09092121131323902,,,,,0.4553011995203368,0.07820999890285743,0.8820657372474671,0.09948777487524664,5,-0.17510261833667756,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,False,factorized,0.9489072133587735,0.027394317837902533,0.21139521896839142,0.030525772403694227,0.44718439877033234,0.16366791067346592,0.7987898332279771,0.06532981749448026,0.2586666666666667,0.10180591556704574,,,,,0.5446687267685209,0.06604660201227379,1.3872712135314942,0.9918085407442941,5,-0.2886047810316086,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,False,hybrid_curriculum,0.9438388812529842,0.026367898786414014,0.3068527042865753,0.015045387847114107,0.5289041876792908,0.11381003033237168,0.7849961235895325,0.05805571856544608,0.16799999999999998,0.03069563848859023,,,,,0.5443047698638688,0.045169833572690166,1.0403350114822387,0.2762480815458451,5,-0.1931472957134247,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,False,operator,0.9375077171351632,0.03270303949980513,0.22841508090496063,0.03613905264078597,0.5475758582353591,0.12350784870068925,0.7573841634818178,0.032203231972030864,0.2693333333333333,0.03699849846803096,,,,,0.5034957242179365,0.034063805888391196,1.1415371537208556,0.29380646916156766,5,-0.27158491909503935,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,False,pair_consistency,0.9456097221497295,0.030252359131606312,0.26330208480358125,0.07492301087409473,0.5325732350349426,0.06396682760469531,0.7527754849959307,0.11918667508238275,0.184,0.04844240566555987,,,,,0.4941698599035648,0.07605979116010463,0.9221473813056946,0.10729242631469996,5,-0.23669791519641875,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,True,factorized,0.9426646750680948,0.032399122749342334,0.21652959585189818,0.04405740869668502,0.4802976816892624,0.12522862938644427,0.7753364860533585,0.07800620491307904,0.24266666666666667,0.07854227453345677,,,,,0.5517733732667911,0.04592378921513231,1.2020874857902526,0.6568848594427393,5,-0.2834704041481018,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,True,hybrid_curriculum,0.935363310309631,0.027322950606859735,0.3050643473863602,0.05888844459411908,0.5285445570945739,0.14879884134951676,0.7757890374700604,0.05940157165557688,0.1733333333333333,0.0549747416749021,,,,,0.5074718598574739,0.05816790484212749,0.9900354385375977,0.17038670775567194,5,-0.19493565261363982,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,True,operator,0.9329643150786884,0.031020453387240268,0.23466646373271943,0.05832245810082412,0.5457681208848953,0.1564833732764578,0.7519143198148825,0.06544325733527483,0.22666666666666666,0.03999999999999999,,,,,0.5188443050761714,0.06438785609680114,1.103204321861267,0.2275497046428895,5,-0.26533353626728057,False,2.6989700043360187,0.7781512503836436
500,300,5,0.01,0.016666666666666666,0.95,True,pair_consistency,0.9396062844074828,0.03084312180829886,0.2726631835103035,0.08387645846689143,0.5178394868969918,0.12867062072652047,0.7629016977225673,0.1055988327931121,0.16,0.05887840577551898,,,,,0.4758178515488744,0.0667414511938749,0.9197169423103333,0.0982066301764442,5,-0.2273368164896965,False,2.6989700043360187,0.7781512503836436
500,300,10,0.02,0.03333333333333333,0.9,False,factorized,0.9614810438184935,0.02749615741598908,0.1262548565864563,0.10725460092858452,0.4980224549770355,0.2150395775155544,0.7339652166180481,0.11138651563782649,0.312,0.12809718532773814,,,,,0.49727123450231964,0.053181090948837335,1.5629863500595094,0.4215069184253607,5,-0.3737451434135437,False,2.6989700043360187,1.0413926851582251
