fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_samples,n_test_regions
2,915,shuffled_sample_pairs,0.5695337265729904,0.4994746148586273,0.7196551724137932,0.596551724137931,0.37655172413793103,46.780563454758415,0.0895375981926918,1.0,9,145
3,911,shuffled_sample_pairs,0.557067695260048,0.46923357248306274,0.7060897435897436,0.5608974358974359,0.4012820512820513,47.31485938384138,0.09682171046733856,1.0,9,156
3,912,shuffled_sample_pairs,0.559349137544632,0.46973398327827454,0.698076923076923,0.5641025641025641,0.37820512820512825,46.7047375431766,0.10014220327138901,1.0,9,156
3,913,shuffled_sample_pairs,0.5382548928260803,0.44265374541282654,0.7032051282051281,0.5256410256410257,0.37051282051282053,49.97409371643702,0.09211059659719467,1.0,9,156
3,914,shuffled_sample_pairs,0.5530934244394302,0.4333682954311371,0.6855769230769231,0.5032051282051282,0.39230769230769236,47.85233691535645,0.09236026555299759,1.0,9,156
3,915,shuffled_sample_pairs,0.5718596667051316,0.45297881960868835,0.6961538461538462,0.5032051282051282,0.3961538461538462,45.46076783191836,0.10372024029493332,1.0,9,156
4,911,shuffled_sample_pairs,0.5733689963817596,0.4865279495716095,0.6970760233918128,0.5116959064327485,0.4444444444444445,47.031672448545926,0.09445414692163467,1.0,9,171
4,912,shuffled_sample_pairs,0.572922432422638,0.48943668603897095,0.6947368421052632,0.5467836257309941,0.4152046783625731,45.86014010803054,0.08829288929700851,1.0,9,171
4,913,shuffled_sample_pairs,0.5667720317840577,0.478298157453537,0.7105263157894737,0.5789473684210527,0.4385964912280701,48.454709624748205,0.08886069059371948,1.0,9,171
4,914,shuffled_sample_pairs,0.570097205042839,0.4886001646518707,0.6938596491228071,0.5380116959064327,0.4432748538011696,46.39614515654685,0.09415538609027863,1.0,9,171
4,915,shuffled_sample_pairs,0.5849708408117295,0.493498831987381,0.7038011695906433,0.5497076023391813,0.4865497076023392,45.06209079411959,0.09402752667665482,1.0,9,171
0,911,true_pairs,0.7525459349155426,0.6954333186149597,0.9197916666666666,0.8784722222222222,0.36527777777777776,66.7521737426194,0.10785295814275742,1.0,8,144
0,912,true_pairs,0.7535170316696167,0.695749819278717,0.9208333333333336,0.8715277777777778,0.35416666666666663,66.76108671432398,0.10975569486618042,1.0,8,144
0,913,true_pairs,0.7550273537635803,0.7001399397850037,0.925,0.8819444444444444,0.3361111111111111,66.6843150451935,0.10883807390928268,1.0,8,144
0,914,true_pairs,0.7436999976634979,0.685749888420105,0.9208333333333334,0.8645833333333334,0.3708333333333333,69.8344281824207,0.1055116131901741,1.0,8,144
0,915,true_pairs,0.7541493356227875,0.6972084641456604,0.9309027777777776,0.90625,0.36527777777777776,67.93984521562143,0.10360300540924072,1.0,8,144
1,911,true_pairs,0.727690976858139,0.6335573792457581,0.9433862433862433,0.8915343915343915,0.35978835978835977,76.99459449671538,0.08305079489946365,1.0,9,189
1,912,true_pairs,0.724307757616043,0.6301271319389343,0.9428571428571427,0.8888888888888888,0.3492063492063492,77.8124135612958,0.08274316042661667,1.0,9,189
1,913,true_pairs,0.7290253520011902,0.6367067098617554,0.9433862433862433,0.8835978835978836,0.3767195767195767,76.24086390254024,0.08295805007219315,1.0,9,189
1,914,true_pairs,0.7227329969406128,0.6248160004615784,0.9473544973544973,0.873015873015873,0.3798941798941799,76.99125360578923,0.08253645896911621,1.0,9,189
1,915,true_pairs,0.7280014634132386,0.6382569074630737,0.9420634920634919,0.8915343915343915,0.3724867724867725,75.99104622198982,0.08240886777639389,1.0,9,189
2,911,true_pairs,0.7256616473197937,0.6607752442359924,0.9248275862068965,0.8862068965517241,0.3503448275862069,75.64546067077116,0.08382799476385117,1.0,9,145
2,912,true_pairs,0.7212818920612335,0.6536133885383606,0.9172413793103449,0.8793103448275862,0.3613793103448276,74.965359859761,0.08581890165805817,1.0,9,145
2,913,true_pairs,0.7206411540508271,0.6510720252990723,0.9262068965517243,0.8862068965517241,0.3503448275862069,76.3837981049966,0.08536794781684875,1.0,9,145
2,914,true_pairs,0.7253967881202698,0.6573788523674011,0.9341379310344827,0.8862068965517241,0.3489655172413793,75.07396412594323,0.08526303619146347,1.0,9,145
2,915,true_pairs,0.7247581422328949,0.6580504179000854,0.9217241379310345,0.8793103448275862,0.3820689655172414,75.77849755662808,0.08377278596162796,1.0,9,145
3,911,true_pairs,0.717680835723877,0.6387495398521423,0.9490384615384615,0.891025641025641,0.35641025641025637,73.57670000964714,0.09044331312179565,1.0,9,156
3,912,true_pairs,0.7207735002040863,0.6480762958526611,0.9567307692307694,0.9294871794871795,0.34102564102564104,73.54467519374462,0.09016913175582886,1.0,9,156
3,913,true_pairs,0.7197317898273468,0.6462544202804565,0.9500000000000002,0.8974358974358975,0.3679487179487179,72.63020196131882,0.09292952716350555,1.0,9,156
3,914,true_pairs,0.7234208285808563,0.6481188535690308,0.9532051282051283,0.907051282051282,0.358974358974359,72.77073903999974,0.0913194939494133,1.0,9,156
3,915,true_pairs,0.7264208495616913,0.6565747261047363,0.9509615384615383,0.9038461538461539,0.32948717948717954,70.79632622194133,0.09156554192304611,1.0,9,156
4,911,true_pairs,0.7279714226722718,0.6559247374534607,0.9192982456140351,0.8567251461988303,0.3742690058479532,77.22782319202574,0.08250975608825684,1.0,9,171
4,912,true_pairs,0.7253799319267273,0.6500603556632996,0.9192982456140351,0.8596491228070176,0.34269005847953216,77.85034293741953,0.08348578214645386,1.0,9,171
4,913,true_pairs,0.7290895223617554,0.6553773880004883,0.9242690058479532,0.868421052631579,0.4140350877192982,77.32307475715186,0.085012286901474,1.0,9,171
4,914,true_pairs,0.7265839993953704,0.6509619951248169,0.9295321637426902,0.8742690058479532,0.3695906432748538,77.58755581232865,0.08251062035560608,1.0,9,171
4,915,true_pairs,0.7235327184200286,0.6496708989143372,0.9219298245614034,0.8742690058479532,0.3578947368421052,77.95308995645091,0.08251126855611801,1.0,9,171
