representation,fold,seed,n_fit,n_test,feature_dim,rep_family,condition,branch,scanner_probe_accuracy,category_probe_accuracy,category_probe_macro_f1,purity_k1,purity_k5,purity_k10,same_sample_retrieval_k1,effective_rank,category_scanner_ratio,runtime_seconds,k
shuffled_sample_acquisition,0,912,3305,720,64,pair_integrity,shuffled_sample_pairs,acquisition,0.7958333333333334,0.2952495034756703,0.2069640633617245,0.6430555555555556,0.5566666666666666,0.4980555555555556,0.7958333333333333,20.750762609693755,0.37099414049298884,1.2903285999927903,
shuffled_sample_acquisition,0,913,3305,720,64,pair_integrity,shuffled_sample_pairs,acquisition,0.7666666666666666,0.29821894883960426,0.20881466047294484,0.6777777777777778,0.5830555555555557,0.52125,0.7861111111111111,21.020810319987213,0.38898123761687514,1.44121420000738,
shuffled_sample_acquisition,0,914,3305,720,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8097222222222221,0.29820621391003715,0.2081838304117322,0.6791666666666667,0.5833333333333334,0.5031944444444444,0.7930555555555555,21.54995597393528,0.36828211666419686,1.4038560999906622,
shuffled_sample_acquisition,0,915,3305,720,64,pair_integrity,shuffled_sample_pairs,acquisition,0.7875,0.3287624360954798,0.22611942721685158,0.6805555555555556,0.5855555555555556,0.508888888888889,0.8041666666666667,21.210382549038574,0.4174761093275934,1.3219321999931708,
true_pair_biological,1,911,3080,945,256,pair_integrity,true_pairs,biological,0.3576719576719577,0.2894751032833225,0.25195060925273693,0.9925925925925926,0.8960846560846563,0.7552380952380953,0.9873015873015873,76.99459449671538,0.8093312798897625,0.5997051000013016,
true_pair_biological,1,912,3080,945,256,pair_integrity,true_pairs,biological,0.346031746031746,0.374454011741683,0.37599833393073134,0.9883597883597883,0.8992592592592592,0.7520634920634921,0.9894179894179894,77.8124135612958,1.082137740354405,0.8214421000011498,
true_pair_biological,1,913,3080,945,256,pair_integrity,true_pairs,biological,0.37566137566137564,0.39612307023265925,0.39707326650420494,0.9904761904761905,0.9034920634920635,0.7608465608465609,0.9957671957671957,76.24086390254024,1.0544684545629943,0.5452749999967637,
true_pair_biological,1,914,3080,945,256,pair_integrity,true_pairs,biological,0.38095238095238093,0.3947323331158948,0.40336170112632636,0.9936507936507937,0.8969312169312169,0.7503703703703704,0.9957671957671957,76.99125360578923,1.036172374429224,0.5420767000032356,
true_pair_biological,1,915,3080,945,256,pair_integrity,true_pairs,biological,0.3735449735449735,0.3686644922809306,0.3148238537876766,0.9904761904761905,0.8969312169312169,0.7478306878306878,0.9915343915343915,75.99104622198982,0.9869346889673639,0.596671300008893,
true_pair_acquisition,1,911,3080,945,64,pair_integrity,true_pairs,acquisition,0.8518518518518519,0.30453881278538814,0.25866785953790794,0.5544973544973545,0.4262433862433863,0.37312169312169313,0.48677248677248675,13.548838591409696,0.3575020845741513,1.2360793999978341,
true_pair_acquisition,1,912,3080,945,64,pair_integrity,true_pairs,acquisition,0.8539682539682539,0.29549728201783,0.2504985555482203,0.5291005291005291,0.4205291005291006,0.3790476190476191,0.47619047619047616,13.427970316468551,0.3460284157457861,1.362909799994668,
true_pair_acquisition,1,913,3080,945,64,pair_integrity,true_pairs,acquisition,0.8497354497354497,0.2957738638834529,0.24977263697124763,0.546031746031746,0.4188359788359789,0.3662433862433862,0.48783068783068784,13.91046334320754,0.34807758576570735,1.2815594999992754,
true_pair_acquisition,1,914,3080,945,64,pair_integrity,true_pairs,acquisition,0.8423280423280423,0.30429354207436404,0.260731145461197,0.5365079365079365,0.41544973544973546,0.3662433862433862,0.48148148148148145,13.910589371268829,0.3612530116335101,1.4232224000006681,
true_pair_acquisition,1,915,3080,945,64,pair_integrity,true_pairs,acquisition,0.8476190476190476,0.3240704500978474,0.2721723778122796,0.5322751322751322,0.4247619047619048,0.3706878306878307,0.47513227513227513,13.023833746395166,0.38233030629521325,1.1497486000007484,
shuffled_sample_biological,1,911,3080,945,256,pair_integrity,shuffled_sample_pairs,biological,0.41587301587301584,0.3318482278756251,0.28808239113134915,0.9216931216931217,0.7382010582010581,0.586984126984127,0.9238095238095239,46.233789669547065,0.7979556624490223,1.564383099990664,
shuffled_sample_biological,1,912,3080,945,256,pair_integrity,shuffled_sample_pairs,biological,0.41164021164021164,0.3388497499456404,0.27271261164091287,0.9216931216931217,0.7178835978835979,0.5815873015873015,0.9005291005291005,48.28343526948852,0.8231697010247562,1.429285999998683,
shuffled_sample_biological,1,913,3080,945,256,pair_integrity,shuffled_sample_pairs,biological,0.4253968253968254,0.32773994346597085,0.2789976372525364,0.9185185185185185,0.7238095238095238,0.5777777777777777,0.9206349206349206,46.366210787361425,0.7704334491923942,0.850539299994125,
shuffled_sample_biological,1,914,3080,945,256,pair_integrity,shuffled_sample_pairs,biological,0.4772486772486772,0.27985779517286363,0.24626479824901715,0.9301587301587302,0.7377777777777779,0.6019047619047618,0.926984126984127,43.94588472539529,0.5863982626127631,1.212876099991263,
shuffled_sample_biological,1,915,3080,945,256,pair_integrity,shuffled_sample_pairs,biological,0.4317460317460317,0.2706523157208089,0.2533484716491502,0.9259259259259259,0.7174603174603175,0.567936507936508,0.9174603174603174,47.024597436078395,0.6268785253827559,1.5294948999944609,
