representation,held_out_scanner,n_runs,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_macro_f1_mean,category_macro_f1_std,category_weighted_f1_mean,category_weighted_f1_std,mean_n_test,mean_n_test_patches
pca_removal_k16,nz210,5,0.1784011144863264,0.04211712080979233,0.17200100676629698,0.03944799483541855,0.21751661852255624,0.03275852807020103,266.2,266.2
pca_removal_k16,p1000,5,0.1350722188701377,0.01621440416711984,0.13451870566186627,0.016775685297213995,0.1900508917963236,0.01546695610768513,266.2,266.2
pca_removal_k2,cs2,5,0.2957695296297479,0.058480247533011086,0.2911358960091282,0.05795765401095569,0.3718485685602498,0.04720680036821874,266.2,266.2
pca_removal_k2,gt450,5,0.2915053885590561,0.04788329931170666,0.26804683510930666,0.05161923649368418,0.368544679290881,0.05806860306894423,266.2,266.2
pca_removal_k2,nz20,5,0.3334806071943625,0.05520584893551684,0.3051867804828883,0.04366740855891582,0.3870708276807745,0.02228297954622182,266.2,266.2
pca_removal_k2,nz210,5,0.32367928424963,0.07146223968557643,0.32070217757631125,0.06766531556721002,0.3914332919173079,0.04783561204555891,266.2,266.2
pca_removal_k2,p1000,5,0.29986476715548815,0.06428701607215626,0.28788138344993347,0.055823865164457,0.375361186950982,0.051456558145427746,266.2,266.2
pca_removal_k32,cs2,5,0.1395426353108975,0.022367370630135303,0.12971816364945563,0.01861311170779392,0.1831436988417842,0.01850212206952163,266.2,266.2
pca_removal_k32,gt450,5,0.14054702783724507,0.03195155235261645,0.12599068945113898,0.0263846059231832,0.16545958748607925,0.023519434216021977,266.2,266.2
pca_removal_k32,nz20,5,0.16664328652160565,0.030145623224936236,0.1616814090986916,0.025607487791003528,0.21782289095219515,0.021615459041922656,266.2,266.2
pca_removal_k32,nz210,5,0.18072958781969312,0.04071283043713993,0.18198719146951284,0.04026376321202823,0.22226619376618778,0.03202156045247808,266.2,266.2
pca_removal_k32,p1000,5,0.16618988513449298,0.0325841907157617,0.15326959372191343,0.027820504343061988,0.19021486907867663,0.019782127187486658,266.2,266.2
pca_removal_k4,cs2,5,0.2651646658819383,0.06407965990949831,0.25246626663237104,0.04965749200031413,0.3434740698942782,0.0444251868981195,266.2,266.2
pca_removal_k4,gt450,5,0.2707620269177625,0.033738898220161004,0.24789442366290043,0.04942716671490586,0.3507508379807867,0.06858356571913682,266.2,266.2
pca_removal_k4,nz20,5,0.31030539767334836,0.05383586054613814,0.2978467170579765,0.04859914052849197,0.3728319518783999,0.022933503274822582,266.2,266.2
pca_removal_k4,nz210,5,0.3070831582802819,0.08416250602681083,0.3026593743420828,0.07470619909371468,0.38458314415107586,0.06562888558838495,266.2,266.2
pca_removal_k4,p1000,5,0.27799589295502625,0.07245852325448589,0.26283314532807095,0.06342188253022188,0.34842648183815517,0.056430921450973316,266.2,266.2
pca_removal_k8,cs2,5,0.18066945850592164,0.029255051412209226,0.1740561595082097,0.025411959973254874,0.21301239395194949,0.03710334313758832,266.2,266.2
pca_removal_k8,gt450,5,0.1951764717163384,0.03649573511890336,0.16885523934649935,0.040563143262799126,0.20140028210549588,0.0406017893874035,266.2,266.2
pca_removal_k8,nz20,5,0.2420290624029718,0.03518418261295096,0.22943421683934506,0.03895170902848265,0.2703797018494264,0.03503953968762588,266.2,266.2
pca_removal_k8,nz210,5,0.2314807548743329,0.05968743050689981,0.2256091833165573,0.062178734002475214,0.26512882260369636,0.043096539550768684,266.2,266.2
pca_removal_k8,p1000,5,0.2043579254721976,0.05289466030554845,0.1903556218690742,0.04247357770715251,0.24174899419202558,0.03145285138668169,266.2,266.2
shuffled_sample_acquisition,cs2,5,0.33352838654889083,0.037764229105750356,0.28245879115707695,0.029417337890387137,0.350430599759036,0.031761251980684455,266.2,266.2
shuffled_sample_acquisition,gt450,5,0.3095741872321158,0.03392838962325413,0.23486411409963764,0.03571934198576004,0.30665163459449163,0.0453230177301881,266.2,266.2
shuffled_sample_acquisition,nz20,5,0.3520711162469393,0.0435320717592575,0.2811766096535829,0.031831823978797774,0.30929957967993554,0.043383464794597405,266.2,266.2
shuffled_sample_acquisition,nz210,5,0.3450636816658874,0.04708277822118312,0.311678520410641,0.041626239810171724,0.3616033705701328,0.04787490005953554,266.2,266.2
shuffled_sample_acquisition,p1000,5,0.3142558321541628,0.04689846966995872,0.2790333134386125,0.06691932876812803,0.3481604197531073,0.04772517810091061,266.2,266.2
shuffled_sample_biological,cs2,5,0.18293996920854863,0.04348998507866507,0.16997958530514798,0.04069650784788898,0.23665366754859468,0.0477696754175678,266.2,266.2
shuffled_sample_biological,gt450,5,0.23173404769735212,0.02898250643238913,0.21724697041219798,0.039806481418736085,0.2892635611024964,0.04433561996423039,266.2,266.2
shuffled_sample_biological,nz20,5,0.2543624761080606,0.060955610798011865,0.23460342226262415,0.05720324388729945,0.30759865016604315,0.0424840978614929,266.2,266.2
shuffled_sample_biological,nz210,5,0.22873897191104206,0.06790097787402755,0.22506985427985032,0.06425691977596762,0.2973245547031678,0.0570552779050567,266.2,266.2
shuffled_sample_biological,p1000,5,0.23109201961260886,0.04607614292829921,0.22987608247428132,0.043764028644846915,0.31561370323572,0.04726173169486993,266.2,266.2
true_pair_acquisition,cs2,5,0.26748484535530803,0.04745359424887043,0.2155540523376916,0.033880640273885806,0.26977069438528484,0.04804269744799118,266.2,266.2
true_pair_acquisition,gt450,5,0.21728216504517972,0.04059557073451382,0.16800898475907433,0.019782536691187996,0.24213758815294736,0.044941631670230596,266.2,266.2
true_pair_acquisition,nz20,5,0.2889642569343033,0.02468272854251907,0.24229054040579495,0.03685066867303769,0.27135696376038554,0.036010960989207356,266.2,266.2
true_pair_acquisition,nz210,5,0.2881277119877238,0.023589598444140537,0.23189013999342928,0.038079927603591766,0.2809511499739804,0.032363170881796216,266.2,266.2
true_pair_acquisition,p1000,5,0.25088110960985666,0.01946515985532426,0.2038875772533931,0.030625753359147405,0.2738099877265179,0.02036703410137544,266.2,266.2
true_pair_biological,cs2,5,0.32248993772872037,0.0714775902340023,0.3013088355900219,0.07465793143628906,0.3973849115564887,0.04478558198311334,266.2,266.2
true_pair_biological,gt450,5,0.3301662160222164,0.08222790223648796,0.31747530502067234,0.07691557226671848,0.3856169864179958,0.050017161294331106,266.2,266.2
true_pair_biological,nz20,5,0.3141839284775493,0.07585269461423942,0.3059723048359084,0.06952468759794558,0.37978001229149505,0.04606874558669908,266.2,266.2
true_pair_biological,nz210,5,0.3180270855320703,0.07540328070666143,0.2863296630675092,0.05703541511024826,0.39002729913530204,0.04259067005831521,266.2,266.2
true_pair_biological,p1000,5,0.3109384578789894,0.06138843569720524,0.2991276327555675,0.07014052961379207,0.3948756953450544,0.05223468652451823,266.2,266.2
