representation,held_out_scanner,seed,n_train_patches,n_test_patches,n_train_samples,n_test_samples,sample_overlap,train_has_heldout_scanner
pca_removal_k32,cs2,914,1856,341,30,14,0,False
pca_removal_k32,cs2,915,2332,222,30,14,0,False
linear_projection_k0,cs2,911,2136,271,30,14,0,False
linear_projection_k0,cs2,912,2332,222,30,14,0,False
linear_projection_k0,cs2,913,2120,275,30,14,0,False
linear_projection_k0,cs2,914,1856,341,30,14,0,False
linear_projection_k0,cs2,915,2332,222,30,14,0,False
linear_projection_k1,cs2,911,2136,271,30,14,0,False
linear_projection_k1,cs2,912,2332,222,30,14,0,False
linear_projection_k1,cs2,913,2120,275,30,14,0,False
linear_projection_k1,cs2,914,1856,341,30,14,0,False
linear_projection_k1,cs2,915,2332,222,30,14,0,False
linear_projection_k2,cs2,911,2136,271,30,14,0,False
linear_projection_k2,cs2,912,2332,222,30,14,0,False
linear_projection_k2,cs2,913,2120,275,30,14,0,False
linear_projection_k2,cs2,914,1856,341,30,14,0,False
linear_projection_k2,cs2,915,2332,222,30,14,0,False
linear_projection_k4,cs2,911,2136,271,30,14,0,False
linear_projection_k4,cs2,912,2332,222,30,14,0,False
linear_projection_k4,cs2,913,2120,275,30,14,0,False
linear_projection_k4,cs2,914,1856,341,30,14,0,False
linear_projection_k4,cs2,915,2332,222,30,14,0,False
linear_projection_k8,cs2,911,2136,271,30,14,0,False
linear_projection_k8,cs2,912,2332,222,30,14,0,False
linear_projection_k8,cs2,913,2120,275,30,14,0,False
linear_projection_k8,cs2,914,1856,341,30,14,0,False
linear_projection_k8,cs2,915,2332,222,30,14,0,False
linear_projection_k16,cs2,911,2136,271,30,14,0,False
linear_projection_k16,cs2,912,2332,222,30,14,0,False
linear_projection_k16,cs2,913,2120,275,30,14,0,False
linear_projection_k16,cs2,914,1856,341,30,14,0,False
linear_projection_k16,cs2,915,2332,222,30,14,0,False
linear_projection_k32,cs2,911,2136,271,30,14,0,False
linear_projection_k32,cs2,912,2332,222,30,14,0,False
linear_projection_k32,cs2,913,2120,275,30,14,0,False
linear_projection_k32,cs2,914,1856,341,30,14,0,False
linear_projection_k32,cs2,915,2332,222,30,14,0,False
pca_removal_k1,gt450,911,2136,271,30,14,0,False
pca_removal_k1,gt450,912,2332,222,30,14,0,False
pca_removal_k1,gt450,913,2120,275,30,14,0,False
pca_removal_k1,gt450,914,1856,341,30,14,0,False
pca_removal_k1,gt450,915,2332,222,30,14,0,False
pca_removal_k2,gt450,911,2136,271,30,14,0,False
pca_removal_k2,gt450,912,2332,222,30,14,0,False
pca_removal_k2,gt450,913,2120,275,30,14,0,False
pca_removal_k2,gt450,914,1856,341,30,14,0,False
pca_removal_k2,gt450,915,2332,222,30,14,0,False
pca_removal_k4,gt450,911,2136,271,30,14,0,False
pca_removal_k4,gt450,912,2332,222,30,14,0,False
pca_removal_k4,gt450,913,2120,275,30,14,0,False
pca_removal_k4,gt450,914,1856,341,30,14,0,False
pca_removal_k4,gt450,915,2332,222,30,14,0,False
pca_removal_k8,gt450,911,2136,271,30,14,0,False
pca_removal_k8,gt450,912,2332,222,30,14,0,False
pca_removal_k8,gt450,913,2120,275,30,14,0,False
pca_removal_k8,gt450,914,1856,341,30,14,0,False
pca_removal_k8,gt450,915,2332,222,30,14,0,False
pca_removal_k16,gt450,911,2136,271,30,14,0,False
pca_removal_k16,gt450,912,2332,222,30,14,0,False
pca_removal_k16,gt450,913,2120,275,30,14,0,False
pca_removal_k16,gt450,914,1856,341,30,14,0,False
pca_removal_k16,gt450,915,2332,222,30,14,0,False
pca_removal_k32,gt450,911,2136,271,30,14,0,False
pca_removal_k32,gt450,912,2332,222,30,14,0,False
pca_removal_k32,gt450,913,2120,275,30,14,0,False
pca_removal_k32,gt450,914,1856,341,30,14,0,False
pca_removal_k32,gt450,915,2332,222,30,14,0,False
linear_projection_k0,gt450,911,2136,271,30,14,0,False
linear_projection_k0,gt450,912,2332,222,30,14,0,False
linear_projection_k0,gt450,913,2120,275,30,14,0,False
linear_projection_k0,gt450,914,1856,341,30,14,0,False
linear_projection_k0,gt450,915,2332,222,30,14,0,False
linear_projection_k1,gt450,911,2136,271,30,14,0,False
linear_projection_k1,gt450,912,2332,222,30,14,0,False
linear_projection_k1,gt450,913,2120,275,30,14,0,False
linear_projection_k1,gt450,914,1856,341,30,14,0,False
linear_projection_k1,gt450,915,2332,222,30,14,0,False
linear_projection_k2,gt450,911,2136,271,30,14,0,False
linear_projection_k2,gt450,912,2332,222,30,14,0,False
linear_projection_k2,gt450,913,2120,275,30,14,0,False
linear_projection_k2,gt450,914,1856,341,30,14,0,False
