contrast_type,fold,neural_seed,k_value,paired_category_contrast,paired_scanner_contrast,paired_acquisition_category_leakage,paired_bio_scanner_leakage,biological_scanner_balanced_accuracy,acquisition_scanner_balanced_accuracy,biological_category_balanced_accuracy,acquisition_category_balanced_accuracy,oldstyle_category_contrast,oldstyle_scanner_contrast,oldstyle_removed_category_leakage,oldstyle_keep_scanner_leakage,keep_scanner_balanced_accuracy,removed_scanner_balanced_accuracy,keep_category_balanced_accuracy,removed_category_balanced_accuracy,oldstyle_keep_scanner_minus_true_pair_bio,oldstyle_keep_category_minus_true_pair_bio,oldstyle_removed_scanner_minus_true_pair_acquisition,oldstyle_removed_category_minus_true_pair_acquisition
paired_vs_oldstyle_k4,1,912.0,4.0,,,,,,,,,,,,,,,,,-0.14920634920634918,0.013479452054794505,-0.3301587301587303,-0.09545814307458139
paired_vs_oldstyle_k4,1,913.0,4.0,,,,,,,,,,,,,,,,,-0.17671957671957667,-0.010182213524679351,-0.32698412698412693,-0.09323418134377043
paired_vs_oldstyle_k4,1,914.0,4.0,,,,,,,,,,,,,,,,,-0.17989417989417988,-0.004696238312676682,-0.31746031746031744,-0.09959512937595127
paired_vs_oldstyle_k4,1,915.0,4.0,,,,,,,,,,,,,,,,,-0.17248677248677247,0.018248314851054603,-0.31640211640211646,-0.11565035877364643
true_pair_branch,2,911.0,,0.023745143745143693,0.5062068965517242,0.44932271432271437,0.3503448275862069,0.3503448275862069,0.8565517241379311,0.47306785806785806,0.44932271432271437,,,,,,,,,,,,
shuffled_sample_branch,2,911.0,,-0.12438746438746434,0.43724137931034485,0.4436933436933437,0.3972413793103448,0.3972413793103448,0.8344827586206897,0.31930587930587934,0.4436933436933437,,,,,,,,,,,,
true_pair_branch,2,912.0,,0.024153069153069195,0.5103448275862068,0.425009065009065,0.3613793103448276,0.3613793103448276,0.8717241379310344,0.4491621341621342,0.425009065009065,,,,,,,,,,,,
shuffled_sample_branch,2,912.0,,-0.11687904687904693,0.4137931034482758,0.5204195804195805,0.40551724137931033,0.40551724137931033,0.8193103448275861,0.40354053354053354,0.5204195804195805,,,,,,,,,,,,
true_pair_branch,2,913.0,,0.027911162911162968,0.503448275862069,0.39698264698264696,0.3503448275862069,0.3503448275862069,0.8537931034482759,0.4248938098938099,0.39698264698264696,,,,,,,,,,,,
shuffled_sample_branch,2,913.0,,-0.06850815850815856,0.42620689655172406,0.4453664853664854,0.39724137931034487,0.39724137931034487,0.8234482758620689,0.3768583268583268,0.4453664853664854,,,,,,,,,,,,
true_pair_branch,2,914.0,,0.024355089355089343,0.5131034482758621,0.45495596995596993,0.3489655172413793,0.3489655172413793,0.8620689655172413,0.4793110593110593,0.45495596995596993,,,,,,,,,,,,
shuffled_sample_branch,2,914.0,,-0.055296555296555305,0.406896551724138,0.4763299663299663,0.4206896551724138,0.4206896551724138,0.8275862068965518,0.421033411033411,0.4763299663299663,,,,,,,,,,,,
true_pair_branch,2,915.0,,0.05290986790986796,0.4786206896551725,0.42667443667443666,0.3820689655172414,0.3820689655172414,0.8606896551724139,0.4795843045843046,0.42667443667443666,,,,,,,,,,,,
shuffled_sample_branch,2,915.0,,-0.0038422688422687923,0.44965517241379305,0.42087283087283084,0.37655172413793103,0.37655172413793103,0.8262068965517241,0.41703056203056205,0.42087283087283084,,,,,,,,,,,,
oldstyle_decomposition,2,,1.0,,,,,,,,,0.2977544677544678,-0.49241379310344835,0.1868168868168868,0.7751724137931035,0.7751724137931035,0.2827586206896552,0.4845713545713546,0.1868168868168868,,,,
oldstyle_decomposition,2,,2.0,,,,,,,,,0.22194768194768183,-0.1779310344827586,0.2517145817145818,0.5779310344827586,0.5779310344827586,0.4,0.4736622636622636,0.2517145817145818,,,,
oldstyle_decomposition,2,,3.0,,,,,,,,,0.18801605801605803,-0.009655172413793045,0.290973840973841,0.46896551724137925,0.46896551724137925,0.4593103448275862,0.478989898989899,0.290973840973841,,,,
oldstyle_decomposition,2,,4.0,,,,,,,,,0.1936221186221186,0.32275862068965516,0.29115125615125614,0.2,0.2,0.5227586206896552,0.48477337477337473,0.29115125615125614,,,,
paired_vs_oldstyle_k4,2,911.0,4.0,,,,,,,,,,,,,,,,,-0.15034482758620688,0.011705516705516672,-0.33379310344827595,-0.15817145817145822
paired_vs_oldstyle_k4,2,912.0,4.0,,,,,,,,,,,,,,,,,-0.1613793103448276,0.03561124061124055,-0.34896551724137925,-0.13385780885780885
paired_vs_oldstyle_k4,2,913.0,4.0,,,,,,,,,,,,,,,,,-0.15034482758620688,0.059879564879564806,-0.3310344827586207,-0.10583139083139081
paired_vs_oldstyle_k4,2,914.0,4.0,,,,,,,,,,,,,,,,,-0.1489655172413793,0.005462315462315459,-0.33931034482758615,-0.1638047138047138
paired_vs_oldstyle_k4,2,915.0,4.0,,,,,,,,,,,,,,,,,-0.1820689655172414,0.005189070189070111,-0.33793103448275874,-0.13552318052318052
true_pair_branch,3,911.0,,0.08738194364503787,0.5230769230769232,0.35319613385689136,0.35641025641025637,0.35641025641025637,0.8794871794871796,0.44057807750192923,0.35319613385689136,,,,,,,,,,,,
shuffled_sample_branch,3,911.0,,-0.06097520134385559,0.44999999999999996,0.4069474928479763,0.4012820512820513,0.4012820512820513,0.8512820512820513,0.34597229150412073,0.4069474928479763,,,,,,,,,,,,
true_pair_branch,3,912.0,,0.07383593620096446,0.5525641025641026,0.38370219016069135,0.34102564102564104,0.34102564102564104,0.8935897435897436,0.4575381263616558,0.38370219016069135,,,,,,,,,,,,
shuffled_sample_branch,3,912.0,,-0.033561515930573105,0.4858974358974358,0.4381209576676941,0.37820512820512825,0.37820512820512825,0.864102564102564,0.404559441737121,0.4381209576676941,,,,,,,,,,,,
true_pair_branch,3,913.0,,0.042691068817176714,0.5076923076923077,0.36592994427603615,0.3679487179487179,0.3679487179487179,0.8756410256410255,0.40862101309321286,0.36592994427603615,,,,,,,,,,,,
shuffled_sample_branch,3,913.0,,-0.07816942302034974,0.4756410256410256,0.4211433325232681,0.37051282051282053,0.37051282051282053,0.8461538461538461,0.34297390950291834,0.4211433325232681,,,,,,,,,,,,
