representation,representation_family,branch,fold,neural_seed,k_value,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,same_sample_top1_retrieval
shuffled_sample_acquisition,neural_factorization,acquisition,3,915.0,,0.7858974358974359,0.6635897435897435,0.6078205128205129,0.85
shuffled_sample_acquisition,neural_factorization,acquisition,4,911.0,,0.6994152046783626,0.5815204678362573,0.5011695906432748,0.8327485380116959
shuffled_sample_acquisition,neural_factorization,acquisition,4,912.0,,0.7099415204678362,0.567953216374269,0.49333333333333335,0.8210526315789474
shuffled_sample_acquisition,neural_factorization,acquisition,4,913.0,,0.7298245614035088,0.5749707602339181,0.5042105263157894,0.847953216374269
shuffled_sample_acquisition,neural_factorization,acquisition,4,914.0,,0.7017543859649122,0.5702923976608187,0.49239766081871345,0.8315789473684211
shuffled_sample_acquisition,neural_factorization,acquisition,4,915.0,,0.7216374269005847,0.5826900584795321,0.5073684210526316,0.8292397660818713
shuffled_sample_biological,neural_factorization,biological,0,911.0,,0.9097222222222222,0.7663888888888889,0.61875,0.9847222222222223
shuffled_sample_biological,neural_factorization,biological,0,912.0,,0.9111111111111111,0.7841666666666667,0.6406944444444445,0.9819444444444444
shuffled_sample_biological,neural_factorization,biological,0,913.0,,0.9111111111111111,0.7633333333333333,0.6193055555555556,0.9777777777777777
shuffled_sample_biological,neural_factorization,biological,0,914.0,,0.9111111111111111,0.7625,0.6302777777777778,0.975
shuffled_sample_biological,neural_factorization,biological,0,915.0,,0.9027777777777778,0.7583333333333333,0.62125,0.975
shuffled_sample_biological,neural_factorization,biological,1,911.0,,0.9555555555555556,0.795978835978836,0.6483597883597884,0.9703703703703703
shuffled_sample_biological,neural_factorization,biological,1,912.0,,0.9513227513227513,0.7902645502645502,0.6491005291005291,0.9576719576719577
shuffled_sample_biological,neural_factorization,biological,1,913.0,,0.9534391534391534,0.7953439153439154,0.6464550264550265,0.9703703703703703
shuffled_sample_biological,neural_factorization,biological,1,914.0,,0.9513227513227513,0.7987301587301587,0.6585185185185185,0.9671957671957672
shuffled_sample_biological,neural_factorization,biological,1,915.0,,0.9576719576719577,0.7955555555555556,0.6431746031746032,0.9597883597883597
shuffled_sample_biological,neural_factorization,biological,2,911.0,,0.9144827586206896,0.7655172413793103,0.6161379310344828,0.9627586206896551
shuffled_sample_biological,neural_factorization,biological,2,912.0,,0.9144827586206896,0.7757241379310345,0.624,0.9682758620689655
shuffled_sample_biological,neural_factorization,biological,2,913.0,,0.9048275862068965,0.7856551724137931,0.6457931034482759,0.9586206896551724
shuffled_sample_biological,neural_factorization,biological,2,914.0,,0.92,0.7911724137931034,0.6448275862068965,0.9641379310344828
shuffled_sample_biological,neural_factorization,biological,2,915.0,,0.9089655172413793,0.768,0.6282758620689655,0.9655172413793104
shuffled_sample_biological,neural_factorization,biological,3,911.0,,0.9435897435897436,0.8179487179487179,0.688076923076923,0.9602564102564103
shuffled_sample_biological,neural_factorization,biological,3,912.0,,0.9423076923076923,0.806923076923077,0.6824358974358974,0.9692307692307692
shuffled_sample_biological,neural_factorization,biological,3,913.0,,0.9435897435897436,0.8015384615384615,0.6591025641025641,0.967948717948718
shuffled_sample_biological,neural_factorization,biological,3,914.0,,0.9423076923076923,0.7935897435897435,0.65,0.958974358974359
shuffled_sample_biological,neural_factorization,biological,3,915.0,,0.95,0.8061538461538461,0.6737179487179488,0.9717948717948718
