alternative,min_val_gain,max_id_val_cost,switched_mean,switched_std,id_val_accuracy_chosen_minus_fedavg_mean,id_val_accuracy_chosen_minus_fedavg_std,val_accuracy_chosen_minus_fedavg_mean,val_accuracy_chosen_minus_fedavg_std,test_accuracy_chosen_minus_fedavg_mean,test_accuracy_chosen_minus_fedavg_std,test_macro_f1_chosen_minus_fedavg_mean,test_macro_f1_chosen_minus_fedavg_std,test_auc_chosen_minus_fedavg_mean,test_auc_chosen_minus_fedavg_std,robust_positive
equal_client,-0.06,0.03,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.06,0.04,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.06,0.05,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.05,0.015,0.4,0.5477225575051661,-0.005666666666666686,0.00776745346515406,-0.017000000000000015,0.023345235059857524,0.031400000000000025,0.043067389054828986,0.03246189892498619,0.044556368583969816,0.0033447999999999924,0.005755811254723338,True
equal_client,-0.05,0.02,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.05,0.025,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.05,0.03,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.05,0.04,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.05,0.05,0.8,0.4472135954999579,-0.012200000000000055,0.006914557911472839,-0.028800000000000027,0.01845806056984321,0.06580000000000005,0.03918162834798986,0.06807615027889502,0.040583071015042334,0.005305599999999977,0.004946967232557729,True
equal_client,-0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.04,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.04,0.02,0.4,0.5477225575051661,-0.006533333333333368,0.008946135105917762,-0.01180000000000001,0.017239489551607975,0.03440000000000003,0.04879344218232614,0.03561425135390883,0.05051713809164668,0.0019607999999999848,0.002781965348454194,True
equal_client,-0.04,0.025,0.4,0.5477225575051661,-0.006533333333333368,0.008946135105917762,-0.01180000000000001,0.017239489551607975,0.03440000000000003,0.04879344218232614,0.03561425135390883,0.05051713809164668,0.0019607999999999848,0.002781965348454194,True
equal_client,-0.04,0.03,0.4,0.5477225575051661,-0.006533333333333368,0.008946135105917762,-0.01180000000000001,0.017239489551607975,0.03440000000000003,0.04879344218232614,0.03561425135390883,0.05051713809164668,0.0019607999999999848,0.002781965348454194,True
equal_client,-0.04,0.04,0.4,0.5477225575051661,-0.006533333333333368,0.008946135105917762,-0.01180000000000001,0.017239489551607975,0.03440000000000003,0.04879344218232614,0.03561425135390883,0.05051713809164668,0.0019607999999999848,0.002781965348454194,True
equal_client,-0.04,0.05,0.4,0.5477225575051661,-0.006533333333333368,0.008946135105917762,-0.01180000000000001,0.017239489551607975,0.03440000000000003,0.04879344218232614,0.03561425135390883,0.05051713809164668,0.0019607999999999848,0.002781965348454194,True
equal_client,-0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.03,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
