dataset_backbone,fold,seed,condition,scanner_probe_delta,paired_cosine_delta,top1_retrieval_delta,effective_rank_delta,bio_scanner_tissue_ratio,acq_scanner_tissue_ratio
SCORPION_DINOv2,3,702,true_pairs,0.44444444444444453,-0.6900162353180349,-0.926111111111111,-44.85705246010815,0.4691495275152863,12.454545454545457
SCORPION_DINOv2,3,702,shuffled_region_pairs,0.4711111111111111,-0.4052442863583564,-0.5766666666666667,-28.72181472301591,0.425531914893617,2.1497326203208553
SCORPION_DINOv2,3,702,shuffled_sample_pairs,0.47555555555555556,-0.34147135689854624,-0.533888888888889,-23.042457281442243,0.43083900226757366,2.012453300124533
SCORPION_DINOv2,3,703,true_pairs,0.4511111111111112,-0.6529197842814027,-0.9038888888888889,-45.299354613611065,0.44444444444444436,9.31791907514451
SCORPION_DINOv2,3,703,shuffled_region_pairs,0.52,-0.41763033568859104,-0.6088888888888889,-28.81054963965005,0.39285714285714285,2.35632183908046
SCORPION_DINOv2,3,703,shuffled_sample_pairs,0.5022222222222222,-0.3356947727501392,-0.5411111111111111,-24.931786723987326,0.4161455372370665,2.084076433121019
SCORPION_DINOv2,3,704,true_pairs,0.4733333333333334,-0.6400482207536697,-0.92,-44.64041187752596,0.4288888888888889,11.277777777777779
SCORPION_DINOv2,3,704,shuffled_region_pairs,0.5266666666666667,-0.3893396347761154,-0.6227777777777778,-29.37083044056043,0.37723214285714285,2.4202682563338302
SCORPION_DINOv2,3,704,shuffled_sample_pairs,0.48444444444444446,-0.3302657142281532,-0.5555555555555555,-22.825200761238612,0.4217765042979943,2.1583892617449667
SCORPION_DINOv2,3,705,true_pairs,0.4444444444444445,-0.5982900850474834,-0.8922222222222222,-44.33863835640453,0.4533333333333333,8.329896907216495
SCORPION_DINOv2,3,705,shuffled_region_pairs,0.48000000000000004,-0.35384832397103316,-0.5822222222222222,-28.162647760690398,0.4151785714285714,2.161290322580645
SCORPION_DINOv2,3,705,shuffled_sample_pairs,0.5000000000000001,-0.2980476308614015,-0.5533333333333332,-24.679050087582674,0.39661971830985915,2.0590500641848526
SCORPION_DINOv2,4,701,true_pairs,0.3977777777777778,-0.6225783463567496,-0.9094444444444445,-43.935700560893444,0.45777777777777773,9.447852760736195
SCORPION_DINOv2,4,701,shuffled_region_pairs,0.4666666666666667,-0.39237184226512906,-0.6055555555555556,-27.985891258167143,0.38084632516703787,2.1586402266288953
SCORPION_DINOv2,4,701,shuffled_sample_pairs,0.45555555555555566,-0.3269997376948595,-0.5955555555555556,-22.078944704696788,0.389201349831271,2.1416430594900855
SCORPION_DINOv2,4,702,true_pairs,0.41555555555555557,-0.6056061781942844,-0.9072222222222223,-44.486232396252845,0.4288888888888889,9.10179640718563
SCORPION_DINOv2,4,702,shuffled_region_pairs,0.4688888888888889,-0.3686926417052746,-0.6133333333333334,-29.358186864593,0.379041248606466,2.208695652173913
SCORPION_DINOv2,4,702,shuffled_sample_pairs,0.46888888888888886,-0.3002427365630865,-0.5594444444444447,-24.169843267912,0.38225255972696237,2.0186418109187754
SCORPION_DINOv2,4,703,true_pairs,0.42888888888888876,-0.6279162473976613,-0.9011111111111111,-44.87975247635391,0.41133963312951644,8.542372881355933
SCORPION_DINOv2,4,703,shuffled_region_pairs,0.4688888888888889,-0.3909839585423469,-0.5888888888888889,-27.62232814378183,0.37988826815642457,2.0876712328767124
SCORPION_DINOv2,4,703,shuffled_sample_pairs,0.4266666666666667,-0.3156899824738502,-0.5433333333333332,-23.87167329057605,0.43329532497149376,1.9690721649484537
SCORPION_DINOv2,4,704,true_pairs,0.4244444444444445,-0.5866162054240703,-0.9111111111111111,-44.682309866537686,0.4177777777777777,9.475000000000001
SCORPION_DINOv2,4,704,shuffled_region_pairs,0.42000000000000004,-0.37841815650463106,-0.6488888888888888,-29.499699622471486,0.4164810690423163,2.394904458598726
