dataset_backbone,fold,seed,condition,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
canineSCC_DINOv2,1,915,shuffled_sample_pairs,0.4306878306878307,0.5809012085199357,0.4621172249317169,0.7335978835978836,0.5529100529100529,47.024597436078395,0.8412698412698413,0.5012413620948791,0.3520229756832123,0.41666666666666663,0.25396825396825395,20.014826269220855,0.08614133298397064
canineSCC_DINOv2,1,915,true_pairs,0.3724867724867725,0.7280014455318451,0.6382569074630737,0.9420634920634919,0.8915343915343915,75.99104622198982,0.8455026455026455,0.38371227234601973,0.22275063395500183,0.15925925925925927,0.06613756613756613,13.023833746395166,0.08240886777639389
canineSCC_DINOv2,2,911,shuffled_region_pairs,0.25655172413793104,0.5295899748802185,0.4071471691131592,0.7337931034482759,0.5517241379310345,55.28110369031083,0.8579310344827586,0.5382580995559693,0.4428139925003052,0.45,0.30000000000000004,21.25990228672678,0.07982391119003296
canineSCC_DINOv2,2,911,shuffled_sample_pairs,0.3972413793103448,0.5975759327411652,0.528896689414978,0.7062068965517241,0.5758620689655172,42.17967004968351,0.8344827586206897,0.5241082727909088,0.4020853042602539,0.4531034482758621,0.3103448275862069,22.128273112678084,0.09355639666318893
canineSCC_DINOv2,2,911,true_pairs,0.3503448275862069,0.7256616353988647,0.6607752442359924,0.9248275862068965,0.8862068965517241,75.64546067077116,0.8565517241379311,0.4002183049917221,0.28330549597740173,0.1803448275862069,0.1103448275862069,14.52477591405612,0.08382799476385117
canineSCC_DINOv2,2,912,shuffled_region_pairs,0.29655172413793107,0.526920372247696,0.4086892604827881,0.7203448275862068,0.47931034482758617,54.826557875392005,0.8579310344827586,0.5329014778137207,0.4217115044593811,0.45275862068965517,0.3275862068965517,21.108336846489493,0.07897444814443588
canineSCC_DINOv2,2,912,shuffled_sample_pairs,0.40551724137931033,0.6045279920101165,0.5377581119537354,0.749655172413793,0.6413793103448275,43.06288361485595,0.8193103448275861,0.5321803033351898,0.4378358721733093,0.4496551724137931,0.296551724137931,21.392017644005257,0.09683199226856232
canineSCC_DINOv2,2,912,true_pairs,0.3613793103448276,0.7212818801403046,0.653613269329071,0.9172413793103449,0.8793103448275862,74.965359859761,0.8717241379310344,0.3973210096359253,0.2589331269264221,0.1889655172413793,0.1310344827586207,14.172835409820843,0.08581890165805817
canineSCC_DINOv2,2,913,shuffled_region_pairs,0.29517241379310344,0.5227768033742904,0.4085994362831116,0.7327586206896551,0.506896551724138,55.79587296188792,0.853793103448276,0.5386045217514038,0.40932774543762207,0.45517241379310336,0.33793103448275863,21.585097070919733,0.07904448360204697
canineSCC_DINOv2,2,913,shuffled_sample_pairs,0.39724137931034487,0.5924706816673279,0.5285177230834961,0.7337931034482759,0.6344827586206896,44.30025142888647,0.8234482758620689,0.5391636341810226,0.3759184181690216,0.46379310344827596,0.3620689655172414,21.849993425546753,0.0945504754781723
canineSCC_DINOv2,2,913,true_pairs,0.3503448275862069,0.720641142129898,0.6510720252990723,0.9262068965517243,0.8862068965517241,76.3837981049966,0.8537931034482759,0.4163967132568359,0.2684479355812073,0.19482758620689655,0.12758620689655173,14.640038907828796,0.08536794781684875
canineSCC_DINOv2,2,914,shuffled_region_pairs,0.30482758620689654,0.5372002810239792,0.42741647362709045,0.7255172413793104,0.503448275862069,53.88805895559671,0.8496551724137931,0.5518894255161285,0.44334715604782104,0.45551724137931027,0.303448275862069,21.480997618275506,0.08350852131843567
canineSCC_DINOv2,2,914,shuffled_sample_pairs,0.4206896551724138,0.5998974919319153,0.5401380062103271,0.7255172413793104,0.6137931034482759,43.66834581064163,0.8275862068965518,0.5468775302171707,0.44186264276504517,0.4617241379310345,0.3275862068965517,22.45675228976283,0.09564279019832611
canineSCC_DINOv2,2,914,true_pairs,0.3489655172413793,0.7253968060016632,0.6573788523674011,0.9341379310344827,0.8862068965517241,75.07396412594323,0.8620689655172413,0.4328699052333832,0.32097572088241577,0.18206896551724136,0.10344827586206898,14.525007935330432,0.08526303619146347
canineSCC_DINOv2,2,915,shuffled_region_pairs,0.2786206896551724,0.5257694125175476,0.4263094663619995,0.7155172413793104,0.5551724137931034,54.046294473039715,0.8593103448275862,0.5246387332677841,0.42473259568214417,0.4362068965517241,0.3310344827586207,20.487461415733975,0.08141419291496277
canineSCC_DINOv2,2,915,shuffled_sample_pairs,0.37655172413793103,0.5695337265729904,0.4994746148586273,0.7196551724137932,0.596551724137931,46.780563454758415,0.8262068965517241,0.5250979542732239,0.4281921982765198,0.4382758620689655,0.3,21.115831747476175,0.0895375981926918
canineSCC_DINOv2,2,915,true_pairs,0.3820689655172414,0.7247581481933594,0.6580504775047302,0.9217241379310345,0.8793103448275862,75.77849755662808,0.8606896551724139,0.4038594037294388,0.2671039402484894,0.18275862068965515,0.1,13.862932872499712,0.08377278596162796
canineSCC_DINOv2,3,911,shuffled_region_pairs,0.3243589743589744,0.5355722725391387,0.41766661405563354,0.7326923076923076,0.4967948717948718,54.13304572730429,0.8884615384615385,0.5245689153671265,0.37061363458633423,0.39583333333333337,0.22756410256410256,18.881886879776943,0.08549708873033524
canineSCC_DINOv2,3,911,shuffled_sample_pairs,0.4012820512820513,0.5570677071809769,0.46923357248306274,0.7060897435897436,0.5608974358974359,47.31485938384138,0.8512820512820513,0.516417869925499,0.3733154237270355,0.39807692307692305,0.266025641025641,19.12950593643965,0.09682171046733856
