contrast_type,fold,neural_seed,k_value,biological_scanner_balanced_accuracy,acquisition_scanner_balanced_accuracy,bio_minus_acq_scanner_balanced_accuracy,biological_scanner_macro_f1,acquisition_scanner_macro_f1,bio_minus_acq_scanner_macro_f1,biological_category_balanced_accuracy,acquisition_category_balanced_accuracy,bio_minus_acq_category_balanced_accuracy,biological_category_macro_f1,acquisition_category_macro_f1,bio_minus_acq_category_macro_f1,biological_category_weighted_f1,acquisition_category_weighted_f1,bio_minus_acq_category_weighted_f1,biological_scanner_category_ratio,acquisition_scanner_category_ratio,bio_minus_acq_scanner_category_ratio,biological_category_scanner_ratio,acquisition_category_scanner_ratio,bio_minus_acq_category_scanner_ratio,biological_neighborhood_purity_k1,acquisition_neighborhood_purity_k1,bio_minus_acq_neighborhood_purity_k1,biological_neighborhood_purity_k5,acquisition_neighborhood_purity_k5,bio_minus_acq_neighborhood_purity_k5,biological_neighborhood_purity_k10,acquisition_neighborhood_purity_k10,bio_minus_acq_neighborhood_purity_k10,keep_scanner_balanced_accuracy,removed_scanner_balanced_accuracy,keep_minus_removed_scanner_balanced_accuracy,keep_scanner_macro_f1,removed_scanner_macro_f1,keep_minus_removed_scanner_macro_f1,keep_category_balanced_accuracy,removed_category_balanced_accuracy,keep_minus_removed_category_balanced_accuracy,keep_category_macro_f1,removed_category_macro_f1,keep_minus_removed_category_macro_f1,keep_category_weighted_f1,removed_category_weighted_f1,keep_minus_removed_category_weighted_f1,keep_scanner_category_ratio,removed_scanner_category_ratio,keep_minus_removed_scanner_category_ratio,keep_category_scanner_ratio,removed_category_scanner_ratio,keep_minus_removed_category_scanner_ratio,keep_neighborhood_purity_k1,removed_neighborhood_purity_k1,keep_minus_removed_neighborhood_purity_k1,keep_neighborhood_purity_k5,removed_neighborhood_purity_k5,keep_minus_removed_neighborhood_purity_k5,keep_neighborhood_purity_k10,removed_neighborhood_purity_k10,keep_minus_removed_neighborhood_purity_k10
true_pair_branch,1,914,,0.3798941798941799,0.8465608465608465,-0.4666666666666666,0.3750573202476654,0.8463064452931972,-0.4712491250455318,0.3925222874537943,0.3032459230267449,0.08927636442704939,0.4008010488481781,0.2593015124938955,0.14149953635428258,0.5105427410124249,0.3657163696607159,0.144826371351709,0.9678283043708672,2.7916643960492213,-1.8238360916783543,1.0332411187850574,0.3582092465753424,0.6750318722097151,0.9915343915343916,0.5915343915343916,0.4,0.9070899470899472,0.4653968253968254,0.44169312169312175,0.7570370370370371,0.4014814814814815,0.35555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,1,914,,0.474074074074074,0.8042328042328041,-0.3301587301587301,0.4732863838713418,0.80337241647571,-0.3300860326043682,0.2807906066536203,0.3631198086540552,-0.08232920200043486,0.2466899229479345,0.3073959804616189,-0.060706057513684436,0.3692707109778621,0.4463228764523636,-0.0770521654745015,1.688354463576788,2.2147863737144613,-0.5264319101376733,0.5922926859099804,0.4515108147080029,0.1407818712019775,0.9513227513227512,0.7502645502645503,0.20105820105820094,0.7987301587301587,0.6207407407407407,0.17798941798941803,0.6586243386243387,0.5406349206349207,0.11798941798941798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,1,915,,0.3724867724867725,0.8455026455026455,-0.47301587301587306,0.3715027518225354,0.8449727686870544,-0.473470016864519,0.369577734290063,0.31930115242444,0.050276581865623005,0.3160053903266149,0.313828018850409,0.0021773714762058916,0.4536343089393799,0.4000420041431058,0.05359230479627408,1.0078712485271808,2.647978684332267,-1.6401074358050862,0.9921902241594022,0.3776465444819722,0.61454367967743,0.9904761904761904,0.5830687830687831,0.40740740740740733,0.897989417989418,0.4601058201058201,0.43788359788359793,0.7524867724867725,0.4019047619047619,0.35058201058201066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,1,915,,0.4306878306878307,0.8412698412698413,-0.4105820105820106,0.4258887569625411,0.8406627175398533,-0.41477396057731225,0.2719856490541422,0.3984805392476625,-0.12649489019352034,0.254721936973766,0.3340680922174951,-0.07934615524372912,0.3081920525097012,0.4639750241962474,-0.1557829716865462,1.583494688729319,2.1111942953554816,-0.5276996066261626,0.6315145905556864,0.4736655466528818,0.15784904390280458,0.9555555555555556,0.7555555555555555,0.20000000000000007,0.7944973544973545,0.612910052910053,0.18158730158730152,0.6426455026455027,0.533015873015873,0.10962962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,2,911,,0.3503448275862069,0.8565517241379311,-0.5062068965517242,0.3477080085018527,0.8569365763147513,-0.5092285678128986,0.473067858067858,0.4493227143227143,0.023745143745143693,0.3920877736569125,0.3995132698315453,-0.007425496174632784,0.4798254602187648,0.3958910555646469,0.08393440465411794,0.7405804930758,1.9063174347396448,-1.1657369416638448,1.350292114563768,0.524571606898499,0.825720507665269,0.96,0.543448275862069,0.41655172413793096,0.8979310344827586,0.4460689655172414,0.45186206896551717,0.7477241379310345,0.3791724137931034,0.36855172413793114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,2,911,,0.3972413793103448,0.8344827586206897,-0.43724137931034485,0.3970506484455517,0.8335277492833763,-0.43647710083782454,0.3193058793058793,0.4436933436933437,-0.1243874643874644,0.2598582661165695,0.4069175325029034,-0.14705926638633393,0.3169484288873205,0.4122437458058288,-0.09529531691850829,1.2440778734606608,1.8807646553233803,-0.6366867818627195,0.8038082031137588,0.5316986350044202,0.2721095681093386,0.9144827586206896,0.7103448275862069,0.20413793103448274,0.7655172413793103,0.5812413793103448,0.1842758620689655,0.6161379310344828,0.5016551724137931,0.11448275862068968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,2,912,,0.3613793103448276,0.8717241379310344,-0.5103448275862068,0.357545733966965,0.8720953478151896,-0.5145496138482246,0.4491621341621342,0.425009065009065,0.024153069153069195,0.4515693896053244,0.3148168904154763,0.1367524991898481,0.464689400246561,0.3673430565187157,0.09734634372784534,0.8045631696423912,2.0510718704610253,-1.2465087008186342,1.2429104857539972,0.4875499559043862,0.755360529849611,0.9586206896551724,0.5517241379310345,0.40689655172413797,0.8924137931034483,0.4209655172413793,0.47144827586206894,0.7408275862068966,0.3688275862068965,0.3720000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,2,912,,0.4055172413793103,0.8193103448275861,-0.41379310344827586,0.4049426657503207,0.8179233673790283,-0.4129807016287076,0.4035405335405335,0.5204195804195805,-0.11687904687904699,0.3681161415788536,0.3955571956697726,-0.027441054090919015,0.3653009786204625,0.4556806458869887,-0.09037966726652619,1.004898412115962,1.574326515860586,-0.5694281037446238,0.9951254653635606,0.6351922488286126,0.35993321653494803,0.9144827586206896,0.72,0.19448275862068964,0.7757241379310345,0.5853793103448276,0.19034482758620686,0.624,0.5013793103448276,0.12262068965517237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,2,913,,0.3503448275862069,0.8537931034482759,-0.503448275862069,0.3464442738410468,0.854187448971952,-0.5077431751309052,0.4248938098938099,0.3969826469826469,0.027911162911163023,0.3566567646490179,0.2992195103331848,0.05743725431583313,0.4323764691445086,0.357315945161635,0.0750605239828736,0.8245467912883118,2.1507063594283435,-1.3261595681400318,1.212787449500048,0.4649635202946996,0.7478239292053483,0.9572413793103448,0.5558620689655173,0.40137931034482754,0.8904827586206897,0.4391724137931034,0.4513103448275863,0.7402758620689656,0.3708965517241379,0.3693793103448277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,2,913,,0.3972413793103448,0.8234482758620689,-0.4262068965517241,0.3983231000903335,0.8216526373676694,-0.42332953727733585,0.3768583268583268,0.4453664853664854,-0.06850815850815856,0.3568928816511876,0.3434516985948727,0.01344118305631492,0.3730085568724636,0.3996376326712157,-0.026629075798752122,1.0540867774421785,1.848922859977813,-0.7948360825356344,0.9486884964315518,0.5408554470531021,0.4078330493784498,0.9048275862068964,0.7255172413793104,0.179310344827586,0.7856551724137931,0.5729655172413793,0.21268965517241378,0.6457931034482759,0.4979310344827586,0.1478620689655173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,2,914,,0.3489655172413793,0.8620689655172413,-0.5131034482758621,0.3462203067156219,0.8623563213848771,-0.5161360146692552,0.4793110593110593,0.4549559699559699,0.0243550893550894,0.4118707770048715,0.3371122696165579,0.07475850738831363,0.4738851708812254,0.3774961897545903,0.09638898112663508,0.7280564686802075,1.8948404295050163,-1.1667839608248087,1.373519833994142,0.5277489251489251,0.8457709088452168,0.9544827586206897,0.5241379310344828,0.43034482758620685,0.8976551724137931,0.4361379310344828,0.46151724137931033,0.7475862068965518,0.3798620689655172,0.36772413793103453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuffled_sample_branch,2,914,,0.4206896551724138,0.8275862068965518,-0.406896551724138,0.4209801061811135,0.8270661807967201,-0.40608607461560664,0.421033411033411,0.4763299663299663,-0.055296555296555305,0.3906154449627102,0.377067463419343,0.013547981543367227,0.4030657923803787,0.4366071666201757,-0.03354137423979697,0.9991835425598328,1.737422092657637,-0.7382385500978041,1.0008171245876163,0.5755653759820426,0.4252517486055737,0.92,0.7062068965517241,0.21379310344827596,0.7911724137931034,0.5875862068965517,0.2035862068965517,0.6448275862068965,0.5026206896551724,0.14220689655172414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true_pair_branch,2,915,,0.3820689655172414,0.8606896551724139,-0.4786206896551725,0.3789833215489929,0.860116530629897,-0.4811332090809041,0.4795843045843046,0.4266744366744366,0.052909867909868014,0.4086376405439948,0.3852683977045525,0.023369242839442306,0.4849685848284852,0.3936019453578255,0.0913666394706597,0.7966669506593052,2.017204644085912,-1.220537693426607,1.2552296780636132,0.4957355233797541,0.7594941546838592,0.9558620689655172,0.543448275862069,0.41241379310344817,0.8888275862068965,0.4248275862068965,0.464,0.7375172413793103,0.3638620689655172,0.3736551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
