fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_slides
1,703,shuffled_sample_pairs,0.7712161421775818,0.7160105109214783,0.9809999999999999,0.95,0.292,34.9623308739587,0.09924815595149994,1.0,10
1,704,shuffled_sample_pairs,0.7676008760929107,0.7152227759361267,0.975,0.94,0.33799999999999997,36.16804564574038,0.09316596388816833,1.0,10
1,705,shuffled_sample_pairs,0.7732980668544769,0.7252036333084106,0.9789999999999999,0.95,0.312,35.785670581786455,0.10058419406414032,1.0,10
2,701,shuffled_sample_pairs,0.7529677033424378,0.7018601894378662,0.9664999999999999,0.905,0.348,36.46493619585242,0.10257423669099808,1.0,10
2,702,shuffled_sample_pairs,0.7710710525512695,0.7263140678405762,0.9835,0.955,0.346,34.95061288713566,0.10576267540454865,1.0,10
2,703,shuffled_sample_pairs,0.7701794862747192,0.7241926789283752,0.9800000000000001,0.96,0.346,34.69425515497607,0.10130532085895538,1.0,10
2,704,shuffled_sample_pairs,0.7549489080905915,0.6929379105567932,0.9809999999999999,0.935,0.35,35.481221404388904,0.10747811198234558,1.0,10
2,705,shuffled_sample_pairs,0.7583987176418304,0.6950123310089111,0.9845,0.95,0.326,37.33297041572112,0.10217712074518204,1.0,10
3,701,shuffled_sample_pairs,0.7797456920146942,0.7407609820365906,0.9844444444444445,0.9611111111111111,0.4355555555555556,34.20311373211441,0.10681749880313873,1.0,9
3,702,shuffled_sample_pairs,0.776945173740387,0.7284469604492188,0.9800000000000001,0.9388888888888889,0.4222222222222222,34.020465849450154,0.10455657541751862,1.0,9
3,703,shuffled_sample_pairs,0.7626611053943634,0.7242817282676697,0.9772222222222222,0.95,0.4066666666666666,35.638108108100546,0.10215423256158829,1.0,9
3,704,shuffled_sample_pairs,0.7782504677772522,0.7487595677375793,0.9694444444444443,0.9444444444444444,0.40888888888888886,33.1670486767323,0.10414677858352661,1.0,9
3,705,shuffled_sample_pairs,0.7792300581932068,0.7375293970108032,0.986111111111111,0.9666666666666667,0.3911111111111111,35.66390518920328,0.0951651930809021,1.0,9
4,701,shuffled_sample_pairs,0.7813961505889893,0.7373450398445129,0.9877777777777779,0.9777777777777777,0.3844444444444444,32.74545867458375,0.1081729382276535,1.0,9
4,702,shuffled_sample_pairs,0.7619329512119293,0.7255080938339233,0.9766666666666669,0.9444444444444444,0.37333333333333335,35.327442587627004,0.10861369222402573,1.0,9
4,703,shuffled_sample_pairs,0.7595827639102936,0.7133435606956482,0.9744444444444443,0.9555555555555555,0.4222222222222222,34.77300050237016,0.09499058127403259,1.0,9
4,704,shuffled_sample_pairs,0.7526378989219665,0.6997233629226685,0.9783333333333335,0.95,0.3666666666666667,35.89876097535202,0.10050468146800995,1.0,9
4,705,shuffled_sample_pairs,0.7584004998207092,0.7140690088272095,0.986111111111111,0.9611111111111111,0.3577777777777778,35.112402334860555,0.10769148170948029,1.0,9
0,701,true_pairs,0.8786423742771149,0.8534649610519409,1.0,1.0,0.41800000000000004,55.80824591221862,0.09695681929588318,1.0,10
0,702,true_pairs,0.8761184513568878,0.8523958325386047,1.0,1.0,0.37,56.587847751378476,0.09440017491579056,1.0,10
0,703,true_pairs,0.8767441570758819,0.8507981896400452,1.0,1.0,0.35200000000000004,56.6821515372095,0.09759481251239777,1.0,10
0,704,true_pairs,0.8771757304668426,0.8528202772140503,0.9994999999999999,0.995,0.38199999999999995,56.905464457478715,0.09386266767978668,1.0,10
0,705,true_pairs,0.8767407655715942,0.850559413433075,1.0,1.0,0.366,56.776666626951766,0.09779372811317444,1.0,10
1,701,true_pairs,0.8737595081329346,0.8354092240333557,1.0,1.0,0.37,59.66283841075377,0.08743535727262497,1.0,10
1,702,true_pairs,0.8734483242034912,0.8362187147140503,1.0,1.0,0.358,59.30757089858582,0.08666765689849854,1.0,10
1,703,true_pairs,0.8740766406059265,0.8385235071182251,1.0,1.0,0.336,59.061762437552645,0.08760149776935577,1.0,10
1,704,true_pairs,0.8746390044689178,0.8347626328468323,1.0,1.0,0.36,58.399480566877635,0.08906370401382446,1.0,10
1,705,true_pairs,0.8755816698074341,0.839311420917511,1.0,1.0,0.41400000000000003,58.602447537068656,0.08580141514539719,1.0,10
2,701,true_pairs,0.872425639629364,0.8388267755508423,1.0,1.0,0.364,58.30365405899414,0.09018440544605255,1.0,10
2,702,true_pairs,0.8712160110473632,0.8394465446472168,1.0,1.0,0.404,57.491969600634626,0.08815892040729523,1.0,10
2,703,true_pairs,0.8731833696365356,0.8418797850608826,1.0,1.0,0.376,57.298586074056324,0.08775777369737625,1.0,10
2,704,true_pairs,0.8739591419696808,0.8413037657737732,1.0,1.0,0.4,57.162329121862946,0.09076612442731857,1.0,10
2,705,true_pairs,0.8741794168949127,0.8417861461639404,1.0,1.0,0.36000000000000004,56.883489643141054,0.09313873201608658,1.0,10
3,701,true_pairs,0.8867180526256562,0.8590923547744751,1.0,1.0,0.44000000000000006,50.05212471283333,0.09173296391963959,1.0,9
3,702,true_pairs,0.8908348679542542,0.8637992739677429,0.9994444444444444,0.9944444444444445,0.4688888888888889,49.41444574731195,0.08696962893009186,1.0,9
3,703,true_pairs,0.8872213959693909,0.8595314621925354,1.0,1.0,0.44444444444444436,50.1420755508585,0.08995208889245987,1.0,9
3,704,true_pairs,0.8886266589164734,0.8602314591407776,1.0,1.0,0.4288888888888889,49.42741868538648,0.08880101144313812,1.0,9
3,705,true_pairs,0.8903813660144806,0.862298309803009,1.0,1.0,0.4533333333333333,49.54970338043434,0.09061039239168167,1.0,9
4,701,true_pairs,0.8851673603057861,0.8600287437438965,1.0,1.0,0.45777777777777773,48.96222814432078,0.09658234566450119,1.0,9
4,702,true_pairs,0.8863395988941193,0.8619685769081116,1.0,1.0,0.4288888888888889,49.61785543695877,0.09787779301404953,1.0,9
4,703,true_pairs,0.8825119853019714,0.8581950664520264,0.9994444444444444,0.9944444444444445,0.4111111111111111,49.872599825842016,0.09442456066608429,1.0,9
4,704,true_pairs,0.8858289241790771,0.8623367547988892,1.0,1.0,0.4177777777777777,49.48275389612676,0.09329737722873688,1.0,9
4,705,true_pairs,0.8839018642902374,0.8607619404792786,0.9994444444444444,0.9944444444444445,0.4133333333333334,49.82958646893999,0.0952971801161766,1.0,9
