noise_level,seed,strategy,site_id,qwk,accuracy,macro_f1,support
0.0,2025,fedavg,2,0.6808149405772496,0.5444444444444444,0.5245625866396914,90
0.0,2025,fedavg,3,0.6860986547085202,0.4605263157894737,0.4531027117048622,76
0.0,2025,fedavg,4,0.752866745749308,0.5066666666666667,0.47373737373737373,75
0.0,2025,ordinal_harm_blend_50,0,0.5895821408128219,0.4148148148148148,0.3995463761548918,270
0.0,2025,ordinal_harm_blend_50,1,0.4573055028462999,0.4444444444444444,0.4417064334750654,90
0.0,2025,ordinal_harm_blend_50,2,0.6161449752883031,0.4888888888888889,0.457841800824257,90
0.0,2025,ordinal_harm_blend_50,3,0.7302631578947367,0.5,0.4965907522429262,76
0.0,2025,ordinal_harm_blend_50,4,0.7573919636087946,0.5066666666666667,0.46514973139014054,75
0.25,7,adaptive_ordinal_harm,0,0.6846679081315952,0.4666666666666667,0.46471329048040544,270
0.25,7,adaptive_ordinal_harm,1,0.7596330275229357,0.6111111111111112,0.6042988941961657,90
0.25,7,adaptive_ordinal_harm,2,0.7382198952879581,0.5333333333333333,0.5165559166379522,90
0.25,7,adaptive_ordinal_harm,3,0.5966674275279616,0.4342105263157895,0.4176090386998091,76
0.25,7,adaptive_ordinal_harm,4,0.7743658903470096,0.5066666666666667,0.4804285222861074,75
0.25,7,cross_site_blend_50,0,0.683043738765728,0.4666666666666667,0.45814338190369774,270
0.25,7,cross_site_blend_50,1,0.7513227513227514,0.6222222222222222,0.6050851254480286,90
0.25,7,cross_site_blend_50,2,0.783132530120482,0.5777777777777777,0.5558910996099024,90
0.25,7,cross_site_blend_50,3,0.6113264427217915,0.47368421052631576,0.4614809493401448,76
0.25,7,cross_site_blend_50,4,0.7353697262966884,0.5466666666666666,0.5102140452140452,75
0.25,7,fedavg,0,0.6622675464907019,0.4222222222222222,0.4096070223059725,270
0.25,7,fedavg,1,0.6956521739130435,0.5666666666666667,0.5436974719934046,90
0.25,7,fedavg,2,0.7530647985989491,0.5222222222222223,0.5005546424901264,90
0.25,7,fedavg,3,0.6181330951317552,0.4605263157894737,0.4452393755781536,76
0.25,7,fedavg,4,0.7684535503788942,0.5333333333333333,0.5049559795867856,75
0.25,7,ordinal_harm_blend_50,0,0.6953560371517027,0.4740740740740741,0.47000559134147174,270
0.25,7,ordinal_harm_blend_50,1,0.7605893186003683,0.6333333333333333,0.6110574558977196,90
0.25,7,ordinal_harm_blend_50,2,0.7246127366609295,0.5555555555555556,0.5321448402150156,90
0.25,7,ordinal_harm_blend_50,3,0.5878995433789954,0.4473684210526316,0.4361176961376861,76
0.25,7,ordinal_harm_blend_50,4,0.7897742019205813,0.5466666666666666,0.5147719843085975,75
0.25,42,adaptive_ordinal_harm,0,0.6736609607951408,0.43333333333333335,0.4032189846186494,270
0.25,42,adaptive_ordinal_harm,1,0.5900514579759863,0.4222222222222222,0.4087926624922833,90
0.25,42,adaptive_ordinal_harm,2,0.6649572649572648,0.5222222222222223,0.5018534007039754,90
0.25,42,adaptive_ordinal_harm,3,0.6973163690794397,0.5657894736842105,0.5391762179912223,76
0.25,42,adaptive_ordinal_harm,4,0.7507603920243325,0.48,0.47060556301935613,75
0.25,42,cross_site_blend_50,0,0.7083567021873247,0.4740740740740741,0.4467628823347907,270
0.25,42,cross_site_blend_50,1,0.545144804088586,0.4444444444444444,0.4299446449763284,90
0.25,42,cross_site_blend_50,2,0.6660869565217392,0.5333333333333333,0.5207155216229626,90
0.25,42,cross_site_blend_50,3,0.7935476643889324,0.618421052631579,0.5980769230769231,76
0.25,42,cross_site_blend_50,4,0.6513816408589272,0.44,0.42830439780859303,75
0.25,42,fedavg,0,0.6752605595172791,0.46296296296296297,0.43887218037751813,270
0.25,42,fedavg,1,0.5636672325976232,0.4666666666666667,0.4548388197168685,90
0.25,42,fedavg,2,0.6221441124780316,0.4888888888888889,0.4726704747984431,90
0.25,42,fedavg,3,0.699347128471838,0.5657894736842105,0.5658128078817733,76
0.25,42,fedavg,4,0.745269286754003,0.5066666666666667,0.49181953140320306,75
0.25,42,ordinal_harm_blend_50,0,0.6811434854315559,0.45185185185185184,0.4245380602623922,270
0.25,42,ordinal_harm_blend_50,1,0.5906735751295337,0.4111111111111111,0.39629363019347347,90
0.25,42,ordinal_harm_blend_50,2,0.6471600688468158,0.5333333333333333,0.5108124253285543,90
0.25,42,ordinal_harm_blend_50,3,0.6957368534949145,0.5789473684210527,0.5524620679437389,76
0.25,42,ordinal_harm_blend_50,4,0.7337933384445012,0.49333333333333335,0.48603814975629067,75
0.25,99,adaptive_ordinal_harm,0,0.5908810844115834,0.35185185185185186,0.3446747614087628,270
0.25,99,adaptive_ordinal_harm,1,0.635434412265758,0.4666666666666667,0.4638609343872502,90
0.25,99,adaptive_ordinal_harm,2,0.5860113421550095,0.5,0.4969619567320717,90
0.25,99,adaptive_ordinal_harm,3,0.6055291482270666,0.47368421052631576,0.4561728395061728,76
0.25,99,adaptive_ordinal_harm,4,0.5063291139240507,0.4,0.39363366102496533,75
0.25,99,cross_site_blend_50,0,0.5596880623875226,0.3592592592592593,0.3436418624097288,270
0.25,99,cross_site_blend_50,1,0.6526138279932545,0.45555555555555555,0.45077751178732944,90
0.25,99,cross_site_blend_50,2,0.576271186440678,0.4666666666666667,0.45982232232232234,90
0.25,99,cross_site_blend_50,3,0.633730116928263,0.47368421052631576,0.4515740107845371,76
0.25,99,cross_site_blend_50,4,0.4380784486557955,0.3466666666666667,0.3382803576351963,75
0.25,99,fedavg,0,0.5251926496739775,0.3592592592592593,0.3482895695645938,270
0.25,99,fedavg,1,0.7015437392795884,0.4777777777777778,0.4652557319223985,90
0.25,99,fedavg,2,0.5636998254799304,0.4888888888888889,0.4768949414782748,90
0.25,99,fedavg,3,0.626379373463731,0.5,0.47541462351531,76
0.25,99,fedavg,4,0.40542603793528686,0.4,0.3915021528179423,75
0.25,99,ordinal_harm_blend_50,0,0.6006079027355623,0.35555555555555557,0.34462559266054155,270
0.25,99,ordinal_harm_blend_50,1,0.6362098138747885,0.4888888888888889,0.4866366771629929,90
0.25,99,ordinal_harm_blend_50,2,0.5981651376146787,0.4888888888888889,0.481532186760218,90
0.25,99,ordinal_harm_blend_50,3,0.6084448675589404,0.47368421052631576,0.4636420943892208,76
