noise_level,seed,strategy,delta_qwk_vs_fedavg,fedavg_qwk,strategy_qwk,delta_accuracy_vs_fedavg,fedavg_accuracy,strategy_accuracy,delta_macro_f1_vs_fedavg,fedavg_macro_f1,strategy_macro_f1
0.45,7,ordinal_harm_blend_50,0.014801888063171953,0.6565256368976853,0.6713275249608572,0.02495840266222965,0.46256239600665555,0.4875207986688852,0.02764139538913074,0.45047101481595764,0.4781124102050884
0.45,42,adaptive_ordinal_harm,0.023800641396385602,0.6317792375942917,0.6555798789906773,0.008319467554076532,0.4525790349417637,0.46089850249584025,0.004355227154992813,0.43519511980091413,0.43955034695590695
0.45,42,cross_site_blend_50,0.030979603077245677,0.6317792375942917,0.6627588406715373,0.018302828618968425,0.4525790349417637,0.47088186356073214,0.022566765712566994,0.43519511980091413,0.4577618855134811
0.45,42,ordinal_harm_blend_50,0.032691565559078706,0.6317792375942917,0.6644708031533704,0.021630615640599038,0.4525790349417637,0.47420965058236275,0.02221355364312927,0.43519511980091413,0.4574086734440434
0.45,99,adaptive_ordinal_harm,0.04955213434257566,0.533291406127847,0.5828435404704226,0.031613976705490876,0.3876871880199667,0.4193011647254576,0.03219796166645872,0.377587212635666,0.40978517430212474
0.45,99,cross_site_blend_50,0.012544778418318248,0.533291406127847,0.5458361845461652,0.01331114808652245,0.3876871880199667,0.40099833610648916,0.012159842710242175,0.377587212635666,0.3897470553459082
0.45,99,ordinal_harm_blend_50,0.03238729507407434,0.533291406127847,0.5656787012019213,0.014975041597337757,0.3876871880199667,0.40266222961730447,0.013878997920281022,0.377587212635666,0.39146621055594705
0.45,123,adaptive_ordinal_harm,0.027902605707353922,0.6095411465904521,0.637443752297806,0.009983361064891838,0.43427620632279534,0.4442595673876872,0.021159540346189443,0.4116121172182381,0.43277165756442754
0.45,123,cross_site_blend_50,0.02761776386045911,0.6095411465904521,0.6371589104509112,0.009983361064891838,0.43427620632279534,0.4442595673876872,0.018351367456376166,0.4116121172182381,0.42996348467461426
0.45,123,ordinal_harm_blend_50,0.024082662090042506,0.6095411465904521,0.6336238086804946,0.01331114808652245,0.43427620632279534,0.4475873544093178,0.024865009773412716,0.4116121172182381,0.4364771269916508
0.45,2025,adaptive_ordinal_harm,-0.02440068090247305,0.6064319909015002,0.5820313099990272,-0.019966722129783676,0.4425956738768719,0.4226289517470882,-0.01953079312247985,0.4269651925620486,0.4074343994395688
0.45,2025,cross_site_blend_50,0.01574023845903072,0.6064319909015002,0.622172229360531,0.004991680532445919,0.4425956738768719,0.4475873544093178,0.012692214869900242,0.4269651925620486,0.43965740743194887
0.45,2025,ordinal_harm_blend_50,-0.001044471354895049,0.6064319909015002,0.6053875195466052,-0.009983361064891838,0.4425956738768719,0.43261231281198004,-0.007016664682646834,0.4269651925620486,0.4199485278794018
