noise_level,seed,strategy,qwk,accuracy,macro_f1,support
0.25,123,cross_site_blend_50,0.6623322360203722,0.47420965058236275,0.46256639836072605,601
0.25,123,fedavg,0.6391945477233533,0.4475873544093178,0.43110830127975164,601
0.25,123,ordinal_harm_blend_50,0.6655060105617625,0.45923460898502494,0.44774507161653787,601
0.25,2025,adaptive_ordinal_harm,0.603401499861108,0.43594009983361065,0.42045126816079703,601
0.25,2025,cross_site_blend_50,0.6195704720213883,0.4475873544093178,0.43633860925168694,601
0.25,2025,fedavg,0.5994025063762911,0.43760399334442596,0.42427535857941007,601
0.25,2025,ordinal_harm_blend_50,0.6059516944032515,0.44093178036605657,0.426841118225213,601
0.35,7,adaptive_ordinal_harm,0.6942927871409679,0.5058236272878536,0.4983019586869717,601
0.35,7,cross_site_blend_50,0.6918057260363635,0.5158069883527454,0.5031852898021592,601
0.35,7,fedavg,0.6929728741337796,0.4858569051580699,0.4714248224447714,601
0.35,7,ordinal_harm_blend_50,0.7083655251122984,0.5108153078202995,0.50480435509672,601
0.35,42,adaptive_ordinal_harm,0.6557180655654139,0.45923460898502494,0.43674727008745995,601
0.35,42,cross_site_blend_50,0.6627705613006297,0.47587354409317806,0.4567490070069265,601
0.35,42,fedavg,0.6493602662821476,0.46921797004991683,0.44864169906654894,601
0.35,42,ordinal_harm_blend_50,0.6681961439412092,0.46422628951747086,0.4427494606677054,601
0.35,99,adaptive_ordinal_harm,0.5790287624536122,0.4176372712146423,0.4117594926111208,601
0.35,99,cross_site_blend_50,0.5599196167131688,0.41430948419301167,0.4008484275979887,601
0.35,99,fedavg,0.5238152180645694,0.40765391014975044,0.3953607425373915,601
0.35,99,ordinal_harm_blend_50,0.5704343374797998,0.4193011647254576,0.4136136524795165,601
0.35,123,adaptive_ordinal_harm,0.6537527878671312,0.46422628951747086,0.4537575803971223,601
0.35,123,cross_site_blend_50,0.6523740802156811,0.45757071547420963,0.4446111977363458,601
0.35,123,fedavg,0.6305496668250674,0.43427620632279534,0.41088684099136624,601
0.35,123,ordinal_harm_blend_50,0.6523512351580899,0.46089850249584025,0.45126714151032443,601
0.35,2025,adaptive_ordinal_harm,0.6022125082627887,0.43094841930116473,0.415261227772409,601
0.35,2025,cross_site_blend_50,0.5878148851934872,0.44093178036605657,0.4317385611610478,601
0.35,2025,fedavg,0.6113242940988477,0.43261231281198004,0.4186892616982337,601
0.35,2025,ordinal_harm_blend_50,0.5910038631236186,0.4276206322795341,0.411720129209604,601
0.45,7,adaptive_ordinal_harm,0.671464108263456,0.4908485856905158,0.4791780329113477,601
0.45,7,cross_site_blend_50,0.6643641973392018,0.5074875207986689,0.4926503892502721,601
0.45,7,fedavg,0.6565256368976853,0.46256239600665555,0.45047101481595764,601
0.45,7,ordinal_harm_blend_50,0.6713275249608572,0.4875207986688852,0.4781124102050884,601
0.45,42,adaptive_ordinal_harm,0.6555798789906773,0.46089850249584025,0.43955034695590695,601
0.45,42,cross_site_blend_50,0.6627588406715373,0.47088186356073214,0.4577618855134811,601
0.45,42,fedavg,0.6317792375942917,0.4525790349417637,0.43519511980091413,601
0.45,42,ordinal_harm_blend_50,0.6644708031533704,0.47420965058236275,0.4574086734440434,601
0.45,99,adaptive_ordinal_harm,0.5828435404704226,0.4193011647254576,0.40978517430212474,601
0.45,99,cross_site_blend_50,0.5458361845461652,0.40099833610648916,0.3897470553459082,601
0.45,99,fedavg,0.533291406127847,0.3876871880199667,0.377587212635666,601
0.45,99,ordinal_harm_blend_50,0.5656787012019213,0.40266222961730447,0.39146621055594705,601
0.45,123,adaptive_ordinal_harm,0.637443752297806,0.4442595673876872,0.43277165756442754,601
0.45,123,cross_site_blend_50,0.6371589104509112,0.4442595673876872,0.42996348467461426,601
0.45,123,fedavg,0.6095411465904521,0.43427620632279534,0.4116121172182381,601
0.45,123,ordinal_harm_blend_50,0.6336238086804946,0.4475873544093178,0.4364771269916508,601
0.45,2025,adaptive_ordinal_harm,0.5820313099990272,0.4226289517470882,0.4074343994395688,601
0.45,2025,cross_site_blend_50,0.622172229360531,0.4475873544093178,0.43965740743194887,601
0.45,2025,fedavg,0.6064319909015002,0.4425956738768719,0.4269651925620486,601
0.45,2025,ordinal_harm_blend_50,0.6053875195466052,0.43261231281198004,0.4199485278794018,601
