noise_level,seed,strategy,grade,precision,recall,f1,support
0.0,99,fedavg,high_grade_4_5,0.6526315789473685,0.62,0.6358974358974359,200
0.0,99,ordinal_harm_blend_50,0,0.5190839694656488,0.68,0.5887445887445888,100
0.0,99,ordinal_harm_blend_50,1,0.36904761904761907,0.31,0.33695652173913043,100
0.0,99,ordinal_harm_blend_50,2,0.42424242424242425,0.42,0.4221105527638191,100
0.0,99,ordinal_harm_blend_50,3,0.32653061224489793,0.31683168316831684,0.32160804020100503,101
0.0,99,ordinal_harm_blend_50,4,0.3434343434343434,0.33663366336633666,0.34,101
0.0,99,ordinal_harm_blend_50,5,0.5555555555555556,0.5050505050505051,0.5291005291005291,99
0.0,99,ordinal_harm_blend_50,high_grade_4_5,0.6507936507936508,0.615,0.6323907455012854,200
0.0,123,adaptive_ordinal_harm,0,0.5692307692307692,0.74,0.6434782608695652,100
0.0,123,adaptive_ordinal_harm,1,0.3883495145631068,0.39603960396039606,0.39215686274509803,101
0.0,123,adaptive_ordinal_harm,2,0.4444444444444444,0.39603960396039606,0.418848167539267,101
0.0,123,adaptive_ordinal_harm,3,0.40217391304347827,0.37,0.3854166666666667,100
0.0,123,adaptive_ordinal_harm,4,0.43243243243243246,0.48,0.4549763033175355,100
0.0,123,adaptive_ordinal_harm,5,0.68,0.5151515151515151,0.5862068965517241,99
0.0,123,adaptive_ordinal_harm,high_grade_4_5,0.6827956989247311,0.6381909547738693,0.6597402597402597,199
0.0,123,cross_site_blend_50,0,0.5492957746478874,0.78,0.6446280991735537,100
0.0,123,cross_site_blend_50,1,0.4,0.31683168316831684,0.35359116022099446,101
0.0,123,cross_site_blend_50,2,0.4318181818181818,0.37623762376237624,0.4021164021164021,101
0.0,123,cross_site_blend_50,3,0.3865546218487395,0.46,0.4200913242009132,100
0.0,123,cross_site_blend_50,4,0.45,0.36,0.4,100
0.0,123,cross_site_blend_50,5,0.6195652173913043,0.5757575757575758,0.5968586387434555,99
0.0,123,cross_site_blend_50,high_grade_4_5,0.7034883720930233,0.6080402010050251,0.6522911051212938,199
0.0,123,fedavg,0,0.6136363636363636,0.81,0.6982758620689655,100
0.0,123,fedavg,1,0.4578313253012048,0.37623762376237624,0.41304347826086957,101
0.0,123,fedavg,2,0.4725274725274725,0.42574257425742573,0.4479166666666667,101
0.0,123,fedavg,3,0.46153846153846156,0.36,0.4044943820224719,100
0.0,123,fedavg,4,0.4462809917355372,0.54,0.48868778280542985,100
0.0,123,fedavg,5,0.6041666666666666,0.5858585858585859,0.5948717948717949,99
0.0,123,fedavg,high_grade_4_5,0.6866359447004609,0.7487437185929648,0.7163461538461539,199
0.0,123,ordinal_harm_blend_50,0,0.592,0.74,0.6577777777777778,100
0.0,123,ordinal_harm_blend_50,1,0.40540540540540543,0.44554455445544555,0.42452830188679247,101
0.0,123,ordinal_harm_blend_50,2,0.46511627906976744,0.39603960396039606,0.42780748663101603,101
0.0,123,ordinal_harm_blend_50,3,0.40425531914893614,0.38,0.3917525773195876,100
0.0,123,ordinal_harm_blend_50,4,0.42342342342342343,0.47,0.44549763033175355,100
0.0,123,ordinal_harm_blend_50,5,0.7162162162162162,0.5353535353535354,0.6127167630057804,99
