low_quantile,high_quantile,min_trigger_count,use_entropy,score,clean_trigger_rate,noisy_trigger_rate_mean,clean_global_qwk_delta,clean_worst_site_qwk_delta,noisy_global_qwk_delta_mean,noisy_macro_f1_delta_mean,noisy_worst_site_qwk_delta_mean,noisy_global_positive_regime_count,noisy_global_significant_regime_count,noisy_global_regret_vs_oracle_mean
0.1,0.9,3,False,0.013462157695411033,0.06666666666666667,0.8222222222222223,0.0001255099312312824,4.942373882571941e-05,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.15,0.9,3,False,0.013289686057069166,0.13333333333333333,0.8222222222222223,0.00030555100125970733,-0.00029396042798877827,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.2,0.9,3,False,0.013289686057069166,0.13333333333333333,0.8222222222222223,0.00030555100125970733,-0.00029396042798877827,0.006435117632928848,0.003285039210777299,0.00660191789482642,3,2,-0.0012635936527591602
0.05,0.9,2,False,0.013001683540050843,0.2,0.8444444444444444,7.605348827410818e-05,-0.0015796717525080606,0.006715770644085528,0.003541784799261092,0.007060265225614276,3,2,-0.00098294064160248
0.05,0.85,2,False,0.012952510193844273,0.26666666666666666,0.888888888888889,0.00010966563571729685,-0.001379052219090878,0.006882632160557559,0.003579669936233487,0.00672297766493217,3,2,-0.0008160791251304497
0.1,0.85,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.2,0.8,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.2,0.85,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.15,0.8,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.1,0.8,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.05,0.85,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
