comparison_id,comparison_role,metric,fold,fold_mean_difference,n_slides
full_minus_no_adversary,registered_objective_ablation,pair_cosine_worst,3,0.00025268938806325786,9
full_minus_no_adversary,registered_objective_ablation,pair_cosine_worst,4,-0.0005995455053117901,9
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_average,0,0.0,10
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_average,1,0.0,10
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_average,2,0.00010000000000000009,10
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_average,3,0.0,9
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_average,4,0.00011111111111112354,9
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_worst,0,0.0,10
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_worst,1,0.0,10
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_worst,2,0.0010000000000000009,10
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_worst,3,0.0,9
full_minus_no_adversary,registered_objective_ablation,retrieval_top1_worst,4,0.0,9
full_minus_no_adversary,registered_objective_ablation,acquisition_scanner_probe_accuracy,0,0.0007999999999999785,10
full_minus_no_adversary,registered_objective_ablation,acquisition_scanner_probe_accuracy,1,-0.0020000000000000018,10
full_minus_no_adversary,registered_objective_ablation,acquisition_scanner_probe_accuracy,2,-0.0012000000000000233,10
full_minus_no_adversary,registered_objective_ablation,acquisition_scanner_probe_accuracy,3,-0.0004444444444444325,9
full_minus_no_adversary,registered_objective_ablation,acquisition_scanner_probe_accuracy,4,0.001333333333333359,9
full_minus_no_cross_covariance,registered_objective_ablation,scanner_probe_accuracy,0,0.0031999999999999863,10
full_minus_no_cross_covariance,registered_objective_ablation,scanner_probe_accuracy,1,0.0011999999999999956,10
full_minus_no_cross_covariance,registered_objective_ablation,scanner_probe_accuracy,2,0.0008000000000000062,10
full_minus_no_cross_covariance,registered_objective_ablation,scanner_probe_accuracy,3,0.001777777777777767,9
full_minus_no_cross_covariance,registered_objective_ablation,scanner_probe_accuracy,4,-0.015111111111111124,9
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_average,0,0.0014969039797782635,10
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_average,1,0.0010867090463638318,10
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_average,2,0.000982516646385234,10
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_average,3,0.001368909001350412,9
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_average,4,0.0010688201056586373,9
