representation,representation_family,confounding_strength,n_runs,n_folds,n_confounding_seeds,n_neural_seeds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,n_test_errors_mean,n_test_errors_std,n_test_errors_min,n_test_errors_max,max_scanner_error_share_mean,max_scanner_error_share_std,max_scanner_error_share_min,max_scanner_error_share_max,recall_Bone_mean,recall_Bone_std,recall_Bone_min,recall_Bone_max,recall_Dermis_mean,recall_Dermis_std,recall_Dermis_min,recall_Dermis_max,recall_Epidermis_mean,recall_Epidermis_std,recall_Epidermis_min,recall_Epidermis_max,recall_Inflamm/Necrosis_mean,recall_Inflamm/Necrosis_std,recall_Inflamm/Necrosis_min,recall_Inflamm/Necrosis_max,recall_SCC_mean,recall_SCC_std,recall_SCC_min,recall_SCC_max,recall_Subcutis_mean,recall_Subcutis_std,recall_Subcutis_min,recall_Subcutis_max,recall_Cartilage_mean,recall_Cartilage_std,recall_Cartilage_min,recall_Cartilage_max,error_rate_cs2_mean,error_rate_cs2_std,error_rate_cs2_min,error_rate_cs2_max,error_rate_gt450_mean,error_rate_gt450_std,error_rate_gt450_min,error_rate_gt450_max,error_rate_nz20_mean,error_rate_nz20_std,error_rate_nz20_min,error_rate_nz20_max,error_rate_nz210_mean,error_rate_nz210_std,error_rate_nz210_min,error_rate_nz210_max,error_rate_p1000_mean,error_rate_p1000_std,error_rate_p1000_min,error_rate_p1000_max
linear_projection_k1,linear_projection,moderate,25,5,5,0,0.3822738902563735,0.052571020231143586,0.3142351226598992,0.4885198135198135,0.3492852286054584,0.06603403466450405,0.2345182323722585,0.4822256457202867,0.41242509059875276,0.06674225497255791,0.2715620475320124,0.4901811462680018,468.36,47.183047803209995,371,517,0.1961949857331949,0.013028654379443562,0.1747967479674796,0.223175965665236,0.29754920634920634,0.17741183803644053,0.0,0.5555555555555556,0.15967929824561403,0.08216414331688694,0.05,0.3222222222222222,0.5795162503082114,0.07056876828097829,0.4625,0.7142857142857143,0.3806873015873016,0.13917067772872482,0.1714285714285714,0.6222222222222222,0.35612293828087405,0.11980422921730469,0.1547169811320754,0.5714285714285714,0.5914133333333332,0.17484183309501658,0.3533333333333333,0.8266666666666667,0.0,0.0,0.0,0.0,0.5949128568547806,0.058299780384673185,0.4827586206896552,0.7083333333333334,0.6083017073334678,0.07176500109136308,0.496551724137931,0.7569444444444444,0.5700947310067093,0.06728271015030232,0.4689655172413793,0.6944444444444444,0.5755995895279017,0.053919942346212196,0.503448275862069,0.6944444444444444,0.5738678249558468,0.07212743602440558,0.4708994708994709,0.7083333333333334
linear_projection_k16,linear_projection,moderate,25,5,5,0,0.38245192531891575,0.05558440803148152,0.3142927746515135,0.4982880082880083,0.34833093126576875,0.07236470666918987,0.2265353757479274,0.4910781114825991,0.4137933902962046,0.06950154692461845,0.2692335190525966,0.4935417989813327,467.28,49.49286143812391,368,519,0.1963011595320034,0.010689348028363556,0.1741803278688524,0.2179487179487179,0.2908190476190476,0.17188939434063197,0.0,0.5111111111111111,0.16565473684210524,0.08053031098623878,0.05,0.3222222222222222,0.579498477357778,0.0689048540924061,0.475,0.7257142857142858,0.3762888888888889,0.14158749071318072,0.1714285714285714,0.5777777777777777,0.3582449002564719,0.11935647377057342,0.1584905660377358,0.5542857142857143,0.5944501960784314,0.18098208495232232,0.3533333333333333,0.84,0.0,0.0,0.0,0.0,0.5903559687606874,0.05769566663696314,0.4689655172413793,0.7083333333333334,0.611388031307269,0.07365301819906363,0.503448275862069,0.7638888888888888,0.5673302926488044,0.06843233561431773,0.4758620689655172,0.6875,0.5738684502296117,0.05902618844944508,0.496551724137931,0.6944444444444444,0.5728740256181273,0.07123801144402542,0.4497354497354497,0.6944444444444444
linear_projection_k2,linear_projection,moderate,25,5,5,0,0.38255490838209477,0.054054232022004045,0.3135175300673066,0.4907472157472157,0.35133325771778684,0.06610853991557653,0.2279007717811111,0.4869296784225499,0.4128948353928081,0.06796254308713304,0.2742731608613803,0.4969378681510343,467.96,48.21866858385867,366,524,0.19665454126723256,0.012733449927911294,0.1739130434782608,0.2250530785562632,0.2953396825396825,0.1780372898019028,0.0,0.5333333333333333,0.1621447953216374,0.08512400066296444,0.05,0.3333333333333333,0.5795791948738597,0.06797252704075472,0.4772727272727273,0.72,0.38043809523809524,0.1405556878866427,0.1714285714285714,0.6222222222222222,0.3551256087504566,0.11795843518752176,0.1509433962264151,0.5542857142857143,0.5938572549019608,0.17489108193254485,0.3666666666666666,0.8266666666666667,0.0,0.0,0.0,0.0,0.5931442088864957,0.058360195490780614,0.4689655172413793,0.7083333333333334,0.6074678968272434,0.07075879206814215,0.496551724137931,0.75,0.5706907480165193,0.0675429468527019,0.4689655172413793,0.6875,0.5737782383308699,0.05582646380893899,0.503448275862069,0.7013888888888888,0.5749181877475888,0.0746262285884964,0.4656084656084656,0.7013888888888888
linear_projection_k32,linear_projection,moderate,25,5,5,0,0.38245192531891575,0.05558440803148152,0.3142927746515135,0.4982880082880083,0.34833093126576875,0.07236470666918987,0.2265353757479274,0.4910781114825991,0.4137933902962046,0.06950154692461845,0.2692335190525966,0.4935417989813327,467.28,49.49286143812391,368,519,0.1963011595320034,0.010689348028363556,0.1741803278688524,0.2179487179487179,0.2908190476190476,0.17188939434063197,0.0,0.5111111111111111,0.16565473684210524,0.08053031098623878,0.05,0.3222222222222222,0.579498477357778,0.0689048540924061,0.475,0.7257142857142858,0.3762888888888889,0.14158749071318072,0.1714285714285714,0.5777777777777777,0.3582449002564719,0.11935647377057342,0.1584905660377358,0.5542857142857143,0.5944501960784314,0.18098208495232232,0.3533333333333333,0.84,0.0,0.0,0.0,0.0,0.5903559687606874,0.05769566663696314,0.4689655172413793,0.7083333333333334,0.611388031307269,0.07365301819906363,0.503448275862069,0.7638888888888888,0.5673302926488044,0.06843233561431773,0.4758620689655172,0.6875,0.5738684502296117,0.05902618844944508,0.496551724137931,0.6944444444444444,0.5728740256181273,0.07123801144402542,0.4497354497354497,0.6944444444444444
linear_projection_k4,linear_projection,moderate,25,5,5,0,0.38245192531891575,0.05558440803148152,0.3142927746515135,0.4982880082880083,0.34833093126576875,0.07236470666918987,0.2265353757479274,0.4910781114825991,0.4137933902962046,0.06950154692461845,0.2692335190525966,0.4935417989813327,467.28,49.49286143812391,368,519,0.1963011595320034,0.010689348028363556,0.1741803278688524,0.2179487179487179,0.2908190476190476,0.17188939434063197,0.0,0.5111111111111111,0.16565473684210524,0.08053031098623878,0.05,0.3222222222222222,0.579498477357778,0.0689048540924061,0.475,0.7257142857142858,0.3762888888888889,0.14158749071318072,0.1714285714285714,0.5777777777777777,0.3582449002564719,0.11935647377057342,0.1584905660377358,0.5542857142857143,0.5944501960784314,0.18098208495232232,0.3533333333333333,0.84,0.0,0.0,0.0,0.0,0.5903559687606874,0.05769566663696314,0.4689655172413793,0.7083333333333334,0.611388031307269,0.07365301819906363,0.503448275862069,0.7638888888888888,0.5673302926488044,0.06843233561431773,0.4758620689655172,0.6875,0.5738684502296117,0.05902618844944508,0.496551724137931,0.6944444444444444,0.5728740256181273,0.07123801144402542,0.4497354497354497,0.6944444444444444
linear_projection_k8,linear_projection,moderate,25,5,5,0,0.38245192531891575,0.05558440803148152,0.3142927746515135,0.4982880082880083,0.34833093126576875,0.07236470666918987,0.2265353757479274,0.4910781114825991,0.4137933902962046,0.06950154692461845,0.2692335190525966,0.4935417989813327,467.28,49.49286143812391,368,519,0.1963011595320034,0.010689348028363556,0.1741803278688524,0.2179487179487179,0.2908190476190476,0.17188939434063197,0.0,0.5111111111111111,0.16565473684210524,0.08053031098623878,0.05,0.3222222222222222,0.579498477357778,0.0689048540924061,0.475,0.7257142857142858,0.3762888888888889,0.14158749071318072,0.1714285714285714,0.5777777777777777,0.3582449002564719,0.11935647377057342,0.1584905660377358,0.5542857142857143,0.5944501960784314,0.18098208495232232,0.3533333333333333,0.84,0.0,0.0,0.0,0.0,0.5903559687606874,0.05769566663696314,0.4689655172413793,0.7083333333333334,0.611388031307269,0.07365301819906363,0.503448275862069,0.7638888888888888,0.5673302926488044,0.06843233561431773,0.4758620689655172,0.6875,0.5738684502296117,0.05902618844944508,0.496551724137931,0.6944444444444444,0.5728740256181273,0.07123801144402542,0.4497354497354497,0.6944444444444444
shuffled_sample_acquisition,neural_factorization,moderate,125,5,5,5,0.3586285843759398,0.05010224053543898,0.2559179723417559,0.5129150479150479,0.2928106924875985,0.05121143516336166,0.1856920780739949,0.4669686945935625,0.3569330061446584,0.06752823160217968,0.2102001890780651,0.4684751703708427,517.904,47.84895994420291,384,587,0.1976772201852882,0.011967684148264348,0.1732851985559566,0.2315573770491803,0.3176431746031746,0.175451475866636,0.0,0.6444444444444445,0.23732673684210526,0.10109659271223695,0.0222222222222222,0.475,0.4557763741233532,0.10136628482105653,0.25,0.6971428571428572,0.3938257142857143,0.12155931381748754,0.15,0.7111111111111111,0.26186588865945803,0.10803045045863749,0.0716981132075471,0.4564102564102564,0.5513844705882354,0.17564385134770025,0.24,0.8666666666666667,0.0,0.0,0.0,0.0,0.6473528937285743,0.05958147506396766,0.5310344827586206,0.7916666666666666,0.6619312472900495,0.060688478867570186,0.5103448275862069,0.7916666666666666,0.6458608964941088,0.06719009471981938,0.5079365079365079,0.8055555555555556,0.6373532174822556,0.07120808466483426,0.4758620689655172,0.8055555555555556,0.6385512344817245,0.06521856343749918,0.5238095238095238,0.7847222222222222
shuffled_sample_biological,neural_factorization,moderate,125,5,5,5,0.2976631665195633,0.046310334862682524,0.2089226783567513,0.4028567728567728,0.2622115416686642,0.05027823444360535,0.1605146270144102,0.3754518360182541,0.3272508863343704,0.058942895951507875,0.1847482301659791,0.4856998891522388,543.064,60.24235247944806,417,703,0.1961487742209249,0.00841607776313534,0.1771523178807947,0.2162698412698412,0.1662222222222222,0.11260633899918314,0.0,0.4285714285714285,0.18122381286549705,0.07385449136618219,0.0333333333333333,0.3777777777777777,0.4155780407744142,0.08244172272482879,0.1625,0.5942857142857143,0.32179714285714284,0.09648177034105336,0.125,0.5333333333333333,0.29371776503688873,0.09764754755920033,0.060377358490566,0.4876712328767123,0.4583617254901961,0.183366675666914,0.0933333333333333,0.84,0.0,0.0,0.0,0.0,0.6985974867170874,0.05601618239237326,0.5396825396825397,0.8125,0.6899378293213139,0.05045256626837508,0.5705128205128205,0.8194444444444444,0.6652000678087793,0.05986369867465128,0.4743589743589743,0.8194444444444444,0.6631087550884285,0.06403021651305989,0.4807692307692308,0.8125,0.6630024399342003,0.058268702129439756,0.5586206896551724,0.8194444444444444
true_pair_acquisition,neural_factorization,moderate,125,5,5,5,0.3083366905209419,0.04574796494795805,0.2151706572510941,0.4259336959336959,0.24369962100338866,0.040943482176728406,0.1474895633227476,0.3811674726769589,0.30307652371573335,0.051035563866771515,0.1624361813235299,0.3866960147441353,565.0,60.88831658679849,452,687,0.1937917562482174,0.013330697052317838,0.1612903225806451,0.2259887005649717,0.2897574603174603,0.15653859390293118,0.0,0.6285714285714286,0.229098947368421,0.08317115619576532,0.0736842105263157,0.5,0.3532338288435909,0.10541982941441755,0.1625,0.6685714285714286,0.3595695238095238,0.10296261578707862,0.125,0.59,0.20564185839204552,0.0767584197784024,0.0339622641509433,0.375609756097561,0.46948266666666666,0.12851284230283228,0.232,0.7733333333333333,0.0,0.0,0.0,0.0,0.7051790750084761,0.053392770535374647,0.5769230769230769,0.8472222222222222,0.7131075399964693,0.05610782340808157,0.593103448275862,0.8611111111111112,0.7060475863989476,0.060283166177487295,0.5448717948717948,0.8263888888888888,0.7088230280978013,0.05860591234617429,0.5586206896551724,0.8402777777777778,0.6812033641427471,0.06391331244330765,0.5448717948717948,0.8263888888888888
true_pair_biological,neural_factorization,moderate,125,5,5,5,0.3793966429373014,0.05760728252950183,0.2808783653315679,0.4963468013468013,0.3455361334903749,0.0679647523194939,0.2099197032836271,0.4962269406926989,0.4097919144156216,0.06882999857699534,0.2614914073777271,0.5136470714228937,470.76,54.81205424286323,361,574,0.20088204086751174,0.009123892326636055,0.1798839458413926,0.2294264339152119,0.2652647619047619,0.1552464675543864,0.0,0.6222222222222222,0.2074119766081871,0.10170227075599102,0.0736842105263157,0.5333333333333333,0.571898608133035,0.09511581324637752,0.375,0.7657142857142857,0.36365619047619047,0.13761369237110752,0.125,0.7111111111111111,0.3672616316335323,0.12548793658078766,0.1433962264150943,0.5885714285714285,0.5690290196078431,0.18426294120503908,0.1,0.84,0.0,0.0,0.0,0.0,0.5860913071804179,0.05992515631089209,0.4497354497354497,0.7291666666666666,0.5974168090429434,0.07162013950275359,0.4615384615384615,0.7638888888888888,0.5826104455805,0.07097769384692225,0.4620689655172413,0.7708333333333334,0.5793323824592427,0.06295900768834922,0.4620689655172413,0.7222222222222222,0.5893260726233503,0.06571778823729608,0.4896551724137931,0.7291666666666666
pca_removal_k0,pca_removal,moderate,25,5,5,0,0.382254384280035,0.052626957886524744,0.3161795671043437,0.489037814037814,0.35120677473757667,0.06428485926388422,0.2298212974192915,0.4824190738531981,0.4127926145232458,0.066788472973056,0.2746094588628611,0.4919043140496566,468.16,47.462862675288925,369,518,0.19617707759514375,0.014080065559091567,0.172211350293542,0.2248394004282655,0.29996190476190476,0.17903805745792867,0.0,0.6,0.1572383625730994,0.08358022438683124,0.025,0.32,0.5801874697640739,0.07067586309031045,0.475,0.7371428571428571,0.37792539682539683,0.1379632412667705,0.1714285714285714,0.6,0.3563553335001935,0.1195134611699222,0.1509433962264151,0.5885714285714285,0.5930854901960785,0.17300445936564712,0.36,0.8266666666666667,0.0,0.0,0.0,0.0,0.5926121555731356,0.05900025880868991,0.4758620689655172,0.7083333333333334,0.6080024427410997,0.07223908203819575,0.496551724137931,0.7569444444444444,0.5693932443841699,0.06721603694217432,0.4689655172413793,0.6944444444444444,0.5778081436275628,0.05419425068926208,0.5103448275862069,0.6875,0.5735938737944183,0.07412945241491202,0.4656084656084656,0.7013888888888888
