dataset,representation,representation_family,fold,neural_seed,confounding_seed,confounding_strength,balanced_accuracy,macro_f1,weighted_f1,n_test,n_test_errors,max_scanner_error_share,recall_Bone,recall_Dermis,recall_Epidermis,recall_Inflamm/Necrosis,recall_SCC,recall_Subcutis,error_rate_cs2,error_rate_gt450,error_rate_nz20,error_rate_nz210,error_rate_p1000,recall_Cartilage
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2004,moderate,0.43270007770007773,0.40453186288265225,0.41030112925142226,725,431,0.2088167053364269,0.4,0.2,0.41363636363636364,0.48,0.30256410256410254,0.8,0.6,0.6137931034482759,0.5724137931034483,0.5655172413793104,0.6206896551724138,
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2005,moderate,0.39857290857290856,0.3198319984063301,0.3946345479586542,725,444,0.20270270270270271,0.28888888888888886,0.15555555555555556,0.39545454545454545,0.45,0.3282051282051282,0.7733333333333333,0.6137931034482759,0.6413793103448275,0.6137931034482759,0.5724137931034483,0.6206896551724138,
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2001,severe,0.39759129759129763,0.35968278422954025,0.36517240146622987,725,458,0.23580786026200873,0.28888888888888886,0.4777777777777778,0.37272727272727274,0.24,0.24615384615384617,0.76,0.5586206896551724,0.5586206896551724,0.6068965517241379,0.6896551724137931,0.7448275862068966,
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2002,severe,0.3752486402486403,0.3635387787518179,0.3844683452405615,725,454,0.21806167400881057,0.2,0.26666666666666666,0.33636363636363636,0.27,0.40512820512820513,0.7733333333333333,0.6344827586206897,0.5793103448275863,0.6206896551724138,0.6137931034482759,0.6827586206896552,
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2003,severe,0.3933449883449884,0.37633226968617145,0.39987613952691303,725,437,0.21739130434782608,0.2222222222222222,0.2111111111111111,0.39545454545454545,0.44,0.38461538461538464,0.7066666666666667,0.6137931034482759,0.6689655172413793,0.5103448275862069,0.5655172413793104,0.6551724137931034,
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2004,severe,0.42114089614089617,0.33760870282181826,0.41183792607679875,725,431,0.21345707656612528,0.2222222222222222,0.3888888888888889,0.37727272727272726,0.4,0.3384615384615385,0.8,0.5655172413793104,0.6275862068965518,0.5724137931034483,0.5724137931034483,0.6344827586206897,
caninescc,shuffled_sample_acquisition,neural_factorization,2,911,2005,severe,0.36226236726236727,0.34977881076353373,0.3764413487670362,725,456,0.21052631578947367,0.17777777777777778,0.17777777777777778,0.39545454545454545,0.28,0.36923076923076925,0.7733333333333333,0.5793103448275863,0.6137931034482759,0.6689655172413793,0.6206896551724138,0.6620689655172414,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2001,mild,0.5138422688422688,0.4509918855151778,0.44937192519526403,725,396,0.20202020202020202,0.6666666666666666,0.3,0.41818181818181815,0.53,0.3282051282051282,0.84,0.5310344827586206,0.5586206896551724,0.5517241379310345,0.5379310344827586,0.5517241379310345,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2002,mild,0.507012432012432,0.45877480474638827,0.4608107081337332,725,391,0.21227621483375958,0.5333333333333333,0.4666666666666667,0.4318181818181818,0.44,0.3435897435897436,0.8266666666666667,0.5379310344827586,0.5448275862068965,0.5172413793103449,0.5241379310344828,0.5724137931034483,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2003,mild,0.5496762496762497,0.4235985087602806,0.47657516449743903,725,376,0.2074468085106383,0.7111111111111111,0.5,0.4318181818181818,0.49,0.3384615384615385,0.8266666666666667,0.5379310344827586,0.5517241379310345,0.47586206896551725,0.4896551724137931,0.5379310344827586,
