representation,representation_family,confounding_strength,scanner,mean,std,count
original_frozen_features,frozen,mild,cs2,0.5703813771091447,0.06180265064008427,25
original_frozen_features,frozen,mild,gt450,0.590143668927698,0.0769945089747101,25
original_frozen_features,frozen,mild,nz20,0.5580712645894134,0.06758035610391182,25
original_frozen_features,frozen,mild,nz210,0.5583761791747273,0.06491089763882334,25
original_frozen_features,frozen,mild,p1000,0.5661924151670068,0.07429189229110424,25
original_frozen_features,frozen,moderate,cs2,0.5938900419335991,0.05899877497410261,25
original_frozen_features,frozen,moderate,gt450,0.6085132282518853,0.07328885234401447,25
original_frozen_features,frozen,moderate,nz20,0.5689029159991048,0.06650101241064223,25
original_frozen_features,frozen,moderate,nz210,0.5782604739818896,0.05325743515986607,25
original_frozen_features,frozen,moderate,p1000,0.5748075382975564,0.07411173046457237,25
original_frozen_features,frozen,severe,cs2,0.5755474635601677,0.07404403925053125,25
original_frozen_features,frozen,severe,gt450,0.6209704544296195,0.08206401438317132,25
original_frozen_features,frozen,severe,nz20,0.557764505206429,0.0691670893287099,25
original_frozen_features,frozen,severe,nz210,0.5701333720389982,0.06962579909713629,25
original_frozen_features,frozen,severe,p1000,0.5965082500681411,0.08495595928526978,25
pca_removal_k0,pca_removal,mild,cs2,0.569319439550837,0.06315868946324352,25
pca_removal_k0,pca_removal,mild,gt450,0.5893824344976796,0.07814354631261032,25
pca_removal_k0,pca_removal,mild,nz20,0.5586445704594525,0.06758280300741921,25
pca_removal_k0,pca_removal,mild,nz210,0.5583659919766998,0.06735977827245539,25
pca_removal_k0,pca_removal,mild,p1000,0.5659369153062438,0.07357766386442945,25
pca_removal_k0,pca_removal,moderate,cs2,0.5926121555731356,0.05900025880868991,25
pca_removal_k0,pca_removal,moderate,gt450,0.6080024427410997,0.07223908203819575,25
pca_removal_k0,pca_removal,moderate,nz20,0.5693932443841699,0.06721603694217432,25
pca_removal_k0,pca_removal,moderate,nz210,0.5778081436275628,0.05419425068926208,25
pca_removal_k0,pca_removal,moderate,p1000,0.5735938737944183,0.07412945241491202,25
pca_removal_k0,pca_removal,severe,cs2,0.5764873959138932,0.07519714413165404,25
pca_removal_k0,pca_removal,severe,gt450,0.6220137264765214,0.08338154309071316,25
pca_removal_k0,pca_removal,severe,nz20,0.5585205084624323,0.0715269655819278,25
pca_removal_k0,pca_removal,severe,nz210,0.570603338215861,0.069966650621743,25
