cell_key,acquisition_dim,cross_covariance_weight,fold,seed,epochs,classification,run_id,record_sha256,code_commit,environment_sha256,dataset_source_sha256,split_manifest_sha256,pair_assignments_sha256
dim16-xcov0-fold4-seed911,16,0.0,4,911,75,valid and complete,parun-v1-74991e8969fabc2b02d2980d7ffc207c1bdb78e987e508efe89a5add4d13a682,f57ce6a66c9bc4e4fc8acd58a69823f491e0a05ec78082e8f41d68fbb8e47a93,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,a382ed29bc8bd74178282183fcbb9d2a3f66665391a4be234acdb6f3eac995f6,6acf6c0707388b5254a70464d25d2a7986f98adff8089ea2d85596136ef93103
dim16-xcov0-fold4-seed912,16,0.0,4,912,75,valid and complete,parun-v1-458227dae33602974e9d3325c8b08a6d8e953ee5c22760b6b2f465e981145731,be0dd4d3dfb4806ac3f2061e561ecee9bcdbff2a63b957bb840b40fe6a994ffa,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,a382ed29bc8bd74178282183fcbb9d2a3f66665391a4be234acdb6f3eac995f6,7977eb2ed6639764823c063e8735c9fa703f2f3f8617fd7b6fbccd2612df7bc9
dim16-xcov0-fold4-seed913,16,0.0,4,913,75,valid and complete,parun-v1-7411aa9ebd3d00cea47e7c1ed1faab0c4fc7aeae96cce5f0bc1ef01c5d3d1a9f,d81476354e80a687ca5ca447b09439f288813b1645fa68f6074c52c1ab84d9ec,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,a382ed29bc8bd74178282183fcbb9d2a3f66665391a4be234acdb6f3eac995f6,5724c813f9aa4839eeef8ab813c481c6c84936ff9e5378f71882e7e12444a99c
dim16-xcov0-fold4-seed914,16,0.0,4,914,75,valid and complete,parun-v1-23f5507b4da56cbfecc46c75d32cd74c0ee2b28aae5fe838d9deca632821dd3c,076bbe552fc28d18fcf9e3a8c051ed637147cb99398e115d197310d4be3a8632,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,a382ed29bc8bd74178282183fcbb9d2a3f66665391a4be234acdb6f3eac995f6,af2713044289b4bbd93440be52ac3568d0b7a4e8368c4b4de8135d354555337e
dim16-xcov0-fold4-seed915,16,0.0,4,915,75,valid and complete,parun-v1-3440b0cf36308e2cbb841e291d94af1720691431f30a6e22daec4401f50706d0,febd78e52708f4bb18498af38109645e29d529ec540690d5d83c153632818170,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,a382ed29bc8bd74178282183fcbb9d2a3f66665391a4be234acdb6f3eac995f6,4a302cb0ad7d6b0713adcb835cee85cbc0eb1cae062a3aa7d7ef4e919c062b4e
dim16-xcov0p05-fold0-seed911,16,0.05,0,911,75,valid and complete,parun-v1-c2049a3386ddf12039f2accb838e02617192317eb481ff81fcbeb078febbe54f,60c835501a048085092f5892471a97289659c7d2776882042f2dfb2aa8e58d8d,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,d569107cee1d5c33dc8acb011b678be13c8287cdff20ecd0d74c69622c527681
dim16-xcov0p05-fold0-seed912,16,0.05,0,912,75,valid and complete,parun-v1-aa8c7756fb03c4097d18ff763b0190f8eb5c4b724debc9da1eee56e40424efd4,33ab7fb3adbc82ce401f57846b29d3895ee1a85b67a699d9a6c6e90ce0a82ad4,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,fa4685584229e9ec5493f5f4b7f8bb9add4374fa9aeae6e2719792c727a859b7
dim16-xcov0p05-fold0-seed913,16,0.05,0,913,75,valid and complete,parun-v1-030371fcf0747ca4433f1aa0c36b6025076cea886fa0cb24d82b93e1cdbb5e1b,45cde25a9dfc3924699a8d5eafce493c859bc7547a7c0a3255bc81951f81d6b7,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,aaf93a6fcf6e2a9d2a9fde816f911dde3574a64434ebab8795e3d83dc62e9153
dim16-xcov0p05-fold0-seed914,16,0.05,0,914,75,valid and complete,parun-v1-6762d15a2b71929cf6f337f1791faeb74e7d4cbaaa666be824f41b05d8bcaf47,e1129694a25193a78f48e4fb7edfb4a94866a7ef4e604a4542aa02df6bf399b8,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,471e2cdd2fc6bef98846edeb5ba50f18c4f8656d7f52de795c18ce01d5c0e27c
dim16-xcov0p05-fold0-seed915,16,0.05,0,915,75,valid and complete,parun-v1-9dd844fbe9cac9e4a22e3e26c7207ec7f466204d0b02b7b56c999f1de81d59dd,7f45274010def8133a49763b60bcd53e988c3a02621ab109776104ed6e8af4f8,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,69e1fa8bfef235e1dcf46339bf46496ef60dc50aa1033dbc9113bcc9dcb09f09
