variant,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_failure_count_when_triggered,mean_delta_global_qwk,sd_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,sd_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,sd_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,sd_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,sd_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
minus_worst_site_qwk_low,0,15,2,0.13333333333333333,0.7333333333333333,3.0,-0.00025459820129093794,0.0015829573762223346,-0.0011312979617796744,0.0006221015591977986,1,1,8.68352338801485e-05,0.0008641662651330806,-0.0003917716882295514,0.0005654421559898484,1,1,0.0015082423774022062,0.005639540523103032,-0.0016151416758501008,0.004631626430654514,2,0,-4.019749903272363e-06,0.0011476207110986604,-0.0006396141238675113,0.0006315746240609666,1,1,-0.00047058823529411896,0.0019565219779301203,-0.0015541817515868565,0.0006130052809986187,1,1
minus_worst_site_qwk_low,25,15,5,0.3333333333333333,1.6666666666666667,3.0,0.001287213823124526,0.005476905159406437,-0.0017460968102482948,0.004320524456497347,3,2,0.0029029172462730142,0.008571571836490635,-0.0018443331149444572,0.007650167607490486,4,1,0.003528374114504144,0.014092860424184927,-0.004276768047926872,0.01133351627693516,3,2,0.0009682408065864105,0.007177419009374931,-0.0030068766671784044,0.004943358280351225,3,2,0.0022274509803921574,0.005824839283408733,-0.00099855831168152,0.005453460272465835,4,1
minus_worst_site_qwk_low,35,15,7,0.4666666666666667,2.2,3.2857142857142856,0.00546922976984053,0.008596046011674033,0.000708424714198721,0.010230034825482338,7,0,0.007453071954199483,0.010523356564581898,0.0016248517391210526,0.013281292169277913,7,0,0.00927834299336705,0.014624928800521107,0.0011785218805711439,0.017378164106162955,6,1,0.005413501080735335,0.007865030541510104,0.0010575591611659049,0.009769443000304766,7,0,0.0065568627450980355,0.007969227353408529,0.0021432128155675027,0.010970512674628568,7,0
minus_worst_site_qwk_low,45,15,9,0.6,2.4,3.111111111111111,0.009936486310902388,0.014856992527159734,0.001708139808466659,0.018164832813338118,9,0,0.012774919395117993,0.012492648725612237,0.005856033068720876,0.01969380572151511,9,0,0.009515942003066217,0.012882251353813396,0.002381279474504473,0.01665060453162796,8,1,0.009918548341653932,0.013253922412906717,0.0025780407705267823,0.017259055912781082,9,0,0.011419607843137248,0.011002490767899316,0.005326025561082137,0.017513190125192358,9,0
only_global_qwk_low,0,15,2,0.13333333333333333,0.13333333333333333,1.0,0.00015912207867447108,0.0004941637454322712,-0.00011456389908481838,0.00043280805643376057,2,0,-0.0012797678824100248,0.005793421535125922,-0.0044883768750136254,0.001928841110193576,1,1,0.0002500432722429021,0.0007868394571412242,-0.0001857372320085969,0.000685823776494401,2,0,0.00022415479571071816,0.000775036351519963,-0.0002050887164356127,0.000653398307857049,2,0,-0.0007215686274509784,0.0029273174879179006,-0.002342824246257768,0.0008996869913558113,1,1
only_global_qwk_low,25,15,7,0.4666666666666667,0.4666666666666667,1.0,0.0033340399085733793,0.007907357958755733,-0.001045344484633533,0.007713424301780292,5,2,0.0024563404162012857,0.008856538468032946,-0.0024487349006170984,0.00736141573301967,4,3,0.005256001860788813,0.01441967324527179,-0.0027301412093578992,0.013242144930935526,5,2,0.003439158167396017,0.009611385359425248,-0.001883978999242098,0.008762295334034132,5,2,0.002729411764705884,0.005780496295273766,-0.0004720387567645982,0.005930862286176366,6,1
only_global_qwk_low,35,15,8,0.5333333333333333,0.5333333333333333,1.0,0.005316089894404937,0.008720008584375154,0.00048662982667682913,0.010145549962133044,7,1,0.007633897868525104,0.010408821098493741,0.0018691115886841367,0.01339868414836607,8,0,0.010305188395692173,0.014466817424280054,0.002292935152861204,0.01831744163852314,7,1,0.005700321226912649,0.007730813383275093,0.001418713684405804,0.009981928769419494,8,0,0.0066196078431372506,0.00791745185203525,0.0022346330822088324,0.011004582604065668,8,0
only_global_qwk_low,45,15,10,0.6666666666666666,0.6666666666666666,1.0,0.010626377013014528,0.014600684474618701,0.0025399832956944073,0.01871277073033465,10,0,0.014848949134282193,0.012798986549420471,0.007760401703426128,0.021937496565138256,10,0,0.011541628470450874,0.01364540566446462,0.0039843031390785115,0.019098953801823238,9,1,0.010854239893219594,0.012996615759226001,0.003656238169086493,0.018052241617352693,10,0,0.01254901960784313,0.010609005460896699,0.0066733638976507964,0.018424675318035464,10,0
only_mean_abs_error_high,0,15,3,0.2,0.2,1.0,-0.00022098605384774929,0.0015940634866644736,-0.0011038367849885327,0.0006618646772930342,2,1,-0.0013833180002768527,0.0057827848664958525,-0.004586036016294189,0.0018194000157404839,1,2,0.0017088619108193888,0.005635578797202229,-0.0014123279935565633,0.004830051815195341,3,0,1.973230197896599e-05,0.0011513905898103479,-0.000617949968863138,0.0006574145728210699,2,1,-0.0012235294117647047,0.0034018400998944067,-0.003107593029393985,0.0006605342058645758,1,2
only_mean_abs_error_high,25,15,12,0.8,0.8,1.0,0.004754424521752424,0.007867640401254851,0.00039703716628718393,0.009111811877217664,9,3,0.007124182496291657,0.010509518166842239,0.0013036264926229238,0.01294473849996039,9,3,0.005135386615626092,0.016086799103883,-0.0037740718026805335,0.014044845033932718,8,4,0.0041940956624160865,0.009894599603238977,-0.0012858959233290291,0.009674087248161201,9,3,0.0056784313725490275,0.006170339761027618,0.002261071264258125,0.00909579148083993,11,1
