representation,n_folds,scanner_probe_balanced_accuracy_mean,scanner_probe_balanced_accuracy_fold_min,scanner_probe_balanced_accuracy_fold_max,category_probe_balanced_accuracy_mean,category_probe_balanced_accuracy_fold_min,category_probe_balanced_accuracy_fold_max,category_probe_macro_f1_mean,category_probe_macro_f1_fold_min,category_probe_macro_f1_fold_max,purity_fit_pool_k1_mean,purity_fit_pool_k1_fold_min,purity_fit_pool_k1_fold_max,purity_fit_pool_k5_mean,purity_fit_pool_k5_fold_min,purity_fit_pool_k5_fold_max,purity_fit_pool_k10_mean,purity_fit_pool_k10_fold_min,purity_fit_pool_k10_fold_max,effective_rank_all_test_mean,effective_rank_all_test_fold_min,effective_rank_all_test_fold_max
oldstyle_removed_k4,5,0.519825986643591,0.4902777777777777,0.5953216374269006,0.32475303405397254,0.25141790797749086,0.38207563025210084,0.27271131247111413,0.18635875865188348,0.3079328518324168,0.28933181324059415,0.25925925925925924,0.3047619047619048,0.2898096891574666,0.26311111111111113,0.3044897959183674,0.2860807245281366,0.264,0.30244897959183675,2.907015674451972,2.6917071075923324,3.09596611786506
original_frozen_features,5,0.8628184955462632,0.8391534391534391,0.8865497076023392,0.44086590895818567,0.3910921052631579,0.4915912975912976,0.40836233242306336,0.3220017345530144,0.48530368617793923,0.43925493675731164,0.3362962962962963,0.4965986394557823,0.42409036761242336,0.32237037037037036,0.47891156462585033,0.40527781077004066,0.3165925925925926,0.45850340136054424,46.44100366842004,39.24722058444208,51.59851481428005
pca_removal_k1,5,0.8646496638738018,0.8423280423280423,0.8910256410256411,0.43464251721129726,0.3779262115805226,0.5002346542346542,0.39989867055811085,0.31622514033883264,0.49541827965116275,0.4546033305431674,0.3585185185185185,0.5306122448979592,0.4343098976144403,0.33422222222222225,0.5077551020408164,0.4230584324551077,0.3223703703703704,0.5028571428571429,70.9724078859107,64.5912465563454,79.54347064541038
pca_removal_k16,5,0.7295772591661883,0.6652777777777776,0.7653846153846154,0.3535821778831437,0.30169637537239324,0.4239098679098679,0.32721926309911087,0.23585668656398845,0.4271958253377816,0.41273967106971615,0.33037037037037037,0.46258503401360546,0.3895263981276891,0.3247407407407407,0.4214965986394558,0.3717336046818083,0.3173333333333333,0.3968707482993198,126.78798397478758,111.73007421532215,136.57780276638601
pca_removal_k2,5,0.8528916533154284,0.826388888888889,0.8807692307692309,0.43237178097206447,0.37064049729480836,0.49552136752136755,0.39746466084477,0.3075782839911198,0.4912397954280296,0.4370212387692597,0.35259259259259257,0.5115646258503401,0.42994907334914634,0.3288888888888889,0.5099319727891156,0.42176117583909567,0.3241481481481482,0.5,80.29197475500006,75.81966536499945,86.53722142917992
pca_removal_k32,5,0.645384815930188,0.5680555555555555,0.6772413793103448,0.31092871529387045,0.260409577529642,0.37964969333903864,0.29313944187435326,0.22703646319882456,0.3553505320713793,0.4123383736747517,0.32296296296296295,0.47891156462585033,0.3848903823042905,0.3105185185185185,0.43673469387755104,0.3679850737074218,0.30177777777777776,0.41102040816326535,149.34537783184993,132.45561853818174,160.22187023056014
pca_removal_k4,5,0.8429718021106405,0.8041666666666666,0.8833333333333334,0.4281074253067244,0.3744689766317486,0.4736689976689977,0.39118771583872575,0.30782091848772286,0.4714265504948136,0.4356710200988608,0.3362962962962963,0.5374149659863946,0.42788610516670433,0.3288888888888889,0.5254421768707482,0.414288022455359,0.3111111111111111,0.5146938775510205,88.76392162901081,83.42903985995167,97.5977476595013
pca_removal_k8,5,0.8173750571536414,0.7722222222222221,0.8461538461538461,0.3801394509464725,0.33500437435248076,0.45448174048174045,0.3527062351312925,0.2799194018618129,0.4641731221110527,0.4241920858520542,0.3333333333333333,0.5482993197278911,0.40776444207312557,0.3164444444444444,0.5251700680272109,0.39148169670444666,0.31037037037037035,0.4927891156462585,106.98912291626543,95.34276281306477,117.50035386713189
shuffled_sample_acquisition,5,0.8302343531980554,0.7961111111111111,0.854502923976608,0.4308464430289079,0.33961573982125126,0.5130937062937063,0.3836018206364359,0.26982017585510754,0.48321422530499064,0.3896929868887974,0.28414814814814815,0.4737414965986394,0.3637016455535516,0.27614814814814814,0.42078911564625854,0.3475698918279067,0.2707555555555555,0.394530612244898,20.540718315747206,19.085165316179083,21.78857364389382
shuffled_sample_biological,5,0.40930224647974195,0.38222222222222224,0.44561403508771924,0.37094786813594294,0.3249470705064548,0.43129106449106447,0.3376747941555326,0.26954782363307667,0.40587072651186296,0.31379820063291014,0.25303703703703706,0.35676470588235293,0.30157503960038123,0.25552592592592593,0.336,0.2945383755821169,0.24912592592592592,0.3271470588235294,45.327860174279955,42.24786371751627,47.46135907814596
true_pair_acquisition,5,0.865097576168538,0.8347222222222221,0.8942690058479531,0.39818864063789994,0.3204830354187355,0.496855944055944,0.34947073508261395,0.25667544839826617,0.4436757057545626,0.3281449794732708,0.2779259259259259,0.39183673469387753,0.3063124063151831,0.2740740740740741,0.34198639455782315,0.2977463768889198,0.2745481481481481,0.3265850340136055,13.756290388939846,12.465865979892254,14.97460186006497
true_pair_biological,5,0.3614076415619065,0.3507692307692308,0.3716959064327485,0.4353482507842298,0.3628656074147633,0.5115555555555555,0.4049984572734832,0.29993909912620964,0.5048851831813707,0.43559057452288485,0.3188148148148148,0.5104761904761905,0.429310749459204,0.3255703703703704,0.5057959183673469,0.4207573773857368,0.32364444444444446,0.49336054421768705,74.04438520354552,67.5943697800358,77.58837733107534
