representation,fold,scanner_probe_balanced_accuracy,category_probe_balanced_accuracy,category_probe_macro_f1,purity_fit_pool_k1,purity_fit_pool_k5,purity_fit_pool_k10,effective_rank_all_test
original_frozen_features,1,0.8391534391534391,0.45790110893672537,0.46390241135271487,0.45869565217391306,0.44434782608695655,0.42815217391304344,51.59851481428005
original_frozen_features,2,0.8565517241379311,0.4915912975912976,0.48530368617793923,0.4676470588235294,0.4523529411764705,0.4226470588235294,49.25923547286727
original_frozen_features,3,0.8846153846153847,0.4023001036030851,0.356226132213192,0.4965986394557823,0.47891156462585033,0.45850340136054424,47.49962548833201
original_frozen_features,4,0.8865497076023392,0.4614449293966623,0.4143776978184562,0.43703703703703706,0.4224691358024692,0.4004938271604938,44.60042198217877
pca_removal_k1,0,0.8458333333333332,0.3834223766964581,0.31622514033883264,0.3585185185185185,0.33422222222222225,0.3223703703703704,68.03895274615871
pca_removal_k1,1,0.8423280423280423,0.459528245270711,0.45784139088345094,0.4380434782608696,0.42804347826086964,0.42282608695652174,79.54347064541038
pca_removal_k1,2,0.8551724137931036,0.5002346542346542,0.49541827965116275,0.47794117647058826,0.4602941176470588,0.44279411764705884,69.33569058491307
pca_removal_k1,3,0.8910256410256411,0.3779262115805226,0.33209288789187524,0.5306122448979592,0.5077551020408164,0.5028571428571429,64.5912465563454
pca_removal_k1,4,0.888888888888889,0.4521010982741406,0.39791565402523255,0.4679012345679012,0.44123456790123455,0.42444444444444446,73.35267889672592
pca_removal_k16,0,0.6652777777777776,0.30169637537239324,0.23585668656398845,0.33037037037037037,0.3247407407407407,0.3173333333333333,111.73007421532215
pca_removal_k16,1,0.7407407407407407,0.36521278538812785,0.3623061860105309,0.39565217391304347,0.3865217391304348,0.3727173913043479,136.57780276638601
pca_removal_k16,2,0.7337931034482759,0.4239098679098679,0.4271958253377816,0.4294117647058823,0.3988235294117647,0.38088235294117645,126.09675186750128
pca_removal_k16,3,0.7653846153846154,0.30668136295614135,0.27746382760402444,0.46258503401360546,0.4214965986394558,0.3968707482993198,128.62413808017905
pca_removal_k16,4,0.7426900584795322,0.37041049778918844,0.33327378997922885,0.445679012345679,0.4160493827160494,0.3908641975308642,130.91115294454954
pca_removal_k2,0,0.826388888888889,0.3848157894736842,0.3075782839911198,0.35259259259259257,0.3288888888888889,0.3241481481481482,77.18728940261471
pca_removal_k2,1,0.8349206349206348,0.47093020221787346,0.4704970669983918,0.4260869565217391,0.41565217391304343,0.41543478260869565,86.53722142917992
pca_removal_k2,2,0.8510344827586207,0.49552136752136755,0.4912397954280296,0.4602941176470588,0.4582352941176471,0.43823529411764706,77.81920386213484
pca_removal_k2,3,0.8807692307692309,0.37064049729480836,0.32927998510271306,0.5115646258503401,0.5099319727891156,0.5,75.81966536499945
pca_removal_k2,4,0.8713450292397662,0.4399510483525888,0.3887281727035958,0.4345679012345679,0.43703703703703706,0.4309876543209877,84.09649371607138
pca_removal_k32,0,0.5680555555555555,0.26923684210526316,0.22703646319882456,0.32296296296296295,0.3105185185185185,0.30177777777777776,132.45561853818174
pca_removal_k32,1,0.6476190476190476,0.29314233529028044,0.2893268976922512,0.40217391304347827,0.37413043478260877,0.35695652173913045,160.22187023056014
pca_removal_k32,2,0.6772413793103448,0.3522051282051282,0.3553505320713793,0.4514705882352941,0.41911764705882354,0.4002941176470588,149.79037438723034
pca_removal_k32,3,0.6743589743589744,0.260409577529642,0.2572974395993747,0.47891156462585033,0.43673469387755104,0.41102040816326535,150.8626499117028
pca_removal_k32,4,0.6596491228070175,0.37964969333903864,0.3366858768099363,0.40617283950617283,0.38395061728395063,0.36987654320987656,153.39637609157452
pca_removal_k4,0,0.8041666666666666,0.38791939755047994,0.30782091848772286,0.3362962962962963,0.3288888888888889,0.3111111111111111,83.42903985995167
pca_removal_k4,1,0.8296296296296297,0.4722343118069145,0.4714265504948136,0.41847826086956524,0.4043478260869565,0.3959782608695652,97.5977476595013
pca_removal_k4,2,0.8427586206896551,0.4736689976689977,0.46625123490392956,0.4676470588235294,0.4585294117647059,0.43632352941176467,84.4798014965136
pca_removal_k4,3,0.8833333333333334,0.3744689766317486,0.3306124944898522,0.5374149659863946,0.5254421768707482,0.5146938775510205,84.47960008121136
pca_removal_k4,4,0.854970760233918,0.43224544287548133,0.3798273808173106,0.4185185185185185,0.4222222222222222,0.41333333333333333,93.8334190478761
pca_removal_k8,0,0.7722222222222221,0.35467883151274415,0.2799194018618129,0.3333333333333333,0.3164444444444444,0.31037037037037035,95.34276281306477
pca_removal_k8,1,0.8010582010582011,0.3861761252446184,0.3891344009034891,0.4152173913043478,0.38500000000000006,0.3730434782608696,117.50035386713189
pca_removal_k8,2,0.8358620689655172,0.45448174048174045,0.4641731221110527,0.4117647058823529,0.40529411764705886,0.3905882352941177,105.33301508127481
pca_removal_k8,3,0.8461538461538461,0.33500437435248076,0.29890805320474223,0.5482993197278911,0.5251700680272109,0.4927891156462585,103.53327462122017
pca_removal_k8,4,0.8315789473684211,0.3703561831407787,0.3313961975753657,0.4123456790123457,0.4069135802469136,0.39061728395061723,113.2362081986355
shuffled_sample_acquisition,0,0.7961111111111111,0.33961573982125126,0.26982017585510754,0.28414814814814815,0.27614814814814814,0.2707555555555555,21.330688626197404
shuffled_sample_acquisition,1,0.823068783068783,0.4590452185257665,0.4486332216173265,0.3826086956521739,0.35826086956521747,0.3437826086956522,20.610506816778535
shuffled_sample_acquisition,2,0.8262068965517241,0.5130937062937063,0.48321422530499064,0.41117647058823525,0.3904705882352941,0.3739411764705882,21.78857364389382
shuffled_sample_acquisition,3,0.8512820512820513,0.42505580752849087,0.350099290620534,0.4737414965986394,0.42078911564625854,0.394530612244898,19.085165316179083
shuffled_sample_acquisition,4,0.854502923976608,0.41742174297532453,0.3662421897842208,0.3967901234567901,0.3728395061728395,0.3548395061728395,19.88865717568719
shuffled_sample_biological,0,0.38222222222222224,0.3249470705064548,0.26954782363307667,0.25303703703703706,0.25552592592592593,0.24912592592592592,42.24786371751627
shuffled_sample_biological,1,0.4315343915343915,0.36908816699282454,0.36195755197797386,0.30478260869565216,0.2961739130434783,0.29189130434782606,46.37078357757414
shuffled_sample_biological,2,0.39944827586206894,0.43129106449106447,0.40587072651186296,0.35676470588235293,0.336,0.3271470588235294,43.99834287176519
shuffled_sample_biological,3,0.3876923076923077,0.3721604926902268,0.33090022969569194,0.3529251700680272,0.3346938775510204,0.3235646258503401,47.46135907814596
shuffled_sample_biological,4,0.44561403508771924,0.3572525459991442,0.32009763895905785,0.30148148148148146,0.2854814814814815,0.28096296296296297,46.56095162639822
true_pair_acquisition,0,0.8347222222222221,0.3204830354187355,0.25667544839826617,0.2779259259259259,0.2740740740740741,0.2745481481481481,14.97460186006497
true_pair_acquisition,1,0.8514285714285714,0.39781333333333335,0.382245216153999,0.315,0.2957826086956522,0.290195652173913,13.564339073749958
true_pair_acquisition,2,0.8609655172413794,0.496855944055944,0.4436757057545626,0.3317647058823529,0.3139411764705883,0.30458823529411766,14.34511820790718
true_pair_acquisition,3,0.8841025641025642,0.3937852192931967,0.32648479305014344,0.39183673469387753,0.34198639455782315,0.3265850340136055,12.465865979892254
true_pair_acquisition,4,0.8942690058479531,0.38200567108828987,0.3382725120560988,0.3241975308641975,0.3057777777777778,0.2928148148148148,13.431526823084866
true_pair_biological,0,0.3583333333333333,0.3628656074147633,0.29993909912620964,0.3188148148148148,0.3255703703703704,0.32364444444444446,67.5943697800358
true_pair_biological,1,0.3676190476190476,0.4448475929549902,0.4448213168430172,0.41586956521739127,0.40995652173913044,0.40660869565217383,76.80603435766609
true_pair_biological,2,0.3586206896551724,0.5115555555555555,0.5048851831813707,0.47970588235294115,0.4658235294117647,0.4546176470588235,75.56941606362003
true_pair_biological,3,0.3507692307692308,0.4286254633360194,0.3812526469914067,0.5104761904761905,0.5057959183673469,0.49336054421768705,72.66372848533032
true_pair_biological,4,0.3716959064327485,0.42884703465982027,0.39409404022541195,0.4530864197530864,0.43940740740740747,0.4255555555555556,77.58837733107534
