representation,held_out_scanner,seed,n_train,n_test,feature_dim,train_class_counts,test_class_counts,rep_family,category_balanced_accuracy,category_macro_f1,category_weighted_f1,n_classes_test,n_classes_train,classes_missing_from_test,runtime_seconds,recall_Bone,precision_Bone,f1_Bone,support_Bone,recall_Cartilage,precision_Cartilage,f1_Cartilage,support_Cartilage,recall_Dermis,precision_Dermis,f1_Dermis,support_Dermis,recall_Epidermis,precision_Epidermis,f1_Epidermis,support_Epidermis,recall_Inflamm/Necrosis,precision_Inflamm/Necrosis,f1_Inflamm/Necrosis,support_Inflamm/Necrosis,recall_SCC,precision_SCC,f1_SCC,support_SCC,recall_Subcutis,precision_Subcutis,f1_Subcutis,support_Subcutis,condition,branch,k
true_pair_biological,nz210,911,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8553508307248849,0.7918203536813132,0.8068637285132636,7,7,[],0.5408845999918412,0.8461538461538461,0.825,0.8354430379746836,39,1.0,0.5,0.6666666666666666,2,0.83,0.6434108527131783,0.7248908296943232,100,0.7925311203319502,0.8377192982456141,0.814498933901919,241,0.8375,0.7790697674418605,0.8072289156626506,80,0.7302904564315352,0.8543689320388349,0.7874720357941835,241,0.9509803921568627,0.8660714285714286,0.9065420560747663,102,true_pairs,biological,
true_pair_biological,nz210,912,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8605925424750175,0.8172326825933426,0.8285567175533332,7,7,[],0.18926519999513403,0.8205128205128205,0.8,0.810126582278481,39,1.0,0.6666666666666666,0.8,2,0.79,0.6869565217391305,0.7348837209302326,100,0.8340248962655602,0.8777292576419214,0.8553191489361702,241,0.8625,0.711340206185567,0.7796610169491526,80,0.7759336099585062,0.8738317757009346,0.8219780219780219,241,0.9411764705882353,0.897196261682243,0.9186602870813397,102,true_pairs,biological,
true_pair_biological,nz210,913,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8599357342681726,0.7904325518957529,0.8095737379937903,7,7,[],0.20176359999459237,0.8717948717948718,0.8095238095238095,0.8395061728395061,39,1.0,0.5,0.6666666666666666,2,0.81,0.6694214876033058,0.7330316742081447,100,0.8091286307053942,0.8590308370044053,0.8333333333333334,241,0.85,0.6732673267326733,0.7513812154696132,80,0.7178423236514523,0.865,0.7845804988662132,241,0.9607843137254902,0.8909090909090909,0.9245283018867925,102,true_pairs,biological,
true_pair_biological,nz210,914,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8546663443545308,0.7922260550486607,0.8095829661675912,7,7,[],0.1843732999986969,0.8717948717948718,0.8947368421052632,0.8831168831168831,39,1.0,0.5,0.6666666666666666,2,0.76,0.6495726495726496,0.7004608294930875,100,0.7593360995850622,0.8714285714285714,0.811529933481153,241,0.9125,0.6759259259259259,0.776595744680851,80,0.7966804979253111,0.8458149779735683,0.8205128205128205,241,0.8823529411764706,0.8910891089108911,0.8866995073891626,102,true_pairs,biological,
true_pair_biological,nz210,915,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8682248849108747,0.810385642252012,0.8277198744358752,7,7,[],0.537458599981619,0.8461538461538461,0.9166666666666666,0.88,39,1.0,0.5,0.6666666666666666,2,0.85,0.6159420289855072,0.7142857142857143,100,0.8215767634854771,0.8646288209606987,0.8425531914893617,241,0.9125,0.7849462365591398,0.8439306358381503,80,0.7551867219917012,0.875,0.8106904231625836,241,0.8921568627450981,0.9381443298969072,0.914572864321608,102,true_pairs,biological,
true_pair_biological,p1000,911,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.7478130831010988,0.7599030343240406,0.7763113129936485,7,7,[],0.147809199988842,0.7948717948717948,0.8157894736842105,0.8051948051948052,39,0.5,1.0,0.6666666666666666,2,0.8,0.64,0.7111111111111111,100,0.7676348547717843,0.8486238532110092,0.8061002178649237,241,0.775,0.7045454545454546,0.7380952380952381,80,0.7344398340248963,0.7831858407079646,0.7580299785867237,241,0.8627450980392157,0.8073394495412844,0.8341232227488151,102,true_pairs,biological,
true_pair_biological,p1000,912,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.7629757635578969,0.7631309084163123,0.7835027068916758,7,7,[],0.16136379999807104,0.8717948717948718,0.6938775510204082,0.7727272727272727,39,0.5,1.0,0.6666666666666666,2,0.79,0.6475409836065574,0.7117117117117117,100,0.7883817427385892,0.8755760368663594,0.8296943231441049,241,0.775,0.7209302325581395,0.7469879518072289,80,0.7136929460580913,0.7818181818181819,0.7462039045553145,241,0.9019607843137255,0.8363636363636363,0.8679245283018868,102,true_pairs,biological,
true_pair_biological,p1000,913,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.7207357210359407,0.7298001979533829,0.7541773258561405,7,7,[],0.19657510000979528,0.7948717948717948,0.7209302325581395,0.7560975609756098,39,0.5,1.0,0.6666666666666666,2,0.67,0.5877192982456141,0.6261682242990654,100,0.7717842323651453,0.8230088495575221,0.7965738758029979,241,0.7,0.6363636363636364,0.6666666666666666,80,0.7261410788381742,0.7954545454545454,0.7592190889370932,241,0.8823529411764706,0.7964601769911505,0.8372093023255814,102,true_pairs,biological,
true_pair_biological,p1000,914,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.793647138395735,0.7545166402007337,0.7609535120321816,7,7,[],0.23003420000895858,0.6923076923076923,0.7297297297297297,0.7105263157894737,39,1.0,0.6666666666666666,0.8,2,0.74,0.6218487394957983,0.6757990867579908,100,0.7759336099585062,0.8461538461538461,0.8095238095238095,241,0.775,0.6262626262626263,0.6927374301675978,80,0.7095435684647303,0.7702702702702703,0.7386609071274298,241,0.8627450980392157,0.8461538461538461,0.8543689320388349,102,true_pairs,biological,
true_pair_biological,p1000,915,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.7487648851433327,0.7533510785761566,0.7678314372951837,7,7,[],0.1760202000150457,0.8461538461538461,0.75,0.7951807228915663,39,0.5,1.0,0.6666666666666666,2,0.67,0.6146788990825688,0.6411483253588517,100,0.7842323651452282,0.8552036199095022,0.8181818181818182,241,0.8125,0.6842105263157895,0.7428571428571429,80,0.6970954356846473,0.7567567567567568,0.7257019438444925,241,0.9313725490196079,0.8407079646017699,0.8837209302325582,102,true_pairs,biological,
