contrast_type,contrast_id,metric,fold_seed_positive,fold_seed_negative,fold_seed_zero,fold_positive,fold_negative,fold_zero,fold_seed_count,fold_count
dimension_marginal,dim16_minus_dim64,biological_retrieval_top1_worst,19,6,0,5,0,0,25,5
dimension_marginal,dim16_minus_dim64,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_marginal,dim2_minus_dim64,biological_scanner_probe_accuracy,11,14,0,2,3,0,25,5
dimension_marginal,dim2_minus_dim64,acquisition_scanner_probe_accuracy,0,25,0,0,5,0,25,5
dimension_marginal,dim2_minus_dim64,biological_category_probe_accuracy,9,16,0,2,3,0,25,5
dimension_marginal,dim2_minus_dim64,acquisition_category_probe_accuracy,0,25,0,0,5,0,25,5
dimension_marginal,dim2_minus_dim64,biological_pair_cosine_average,25,0,0,5,0,0,25,5
dimension_marginal,dim2_minus_dim64,biological_pair_cosine_worst,23,2,0,5,0,0,25,5
dimension_marginal,dim2_minus_dim64,biological_retrieval_top1_average,12,13,0,1,4,0,25,5
dimension_marginal,dim2_minus_dim64,biological_retrieval_top1_worst,13,12,0,3,2,0,25,5
dimension_marginal,dim2_minus_dim64,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_marginal,dim32_minus_dim64,biological_scanner_probe_accuracy,15,10,0,4,1,0,25,5
dimension_marginal,dim32_minus_dim64,acquisition_scanner_probe_accuracy,8,17,0,0,5,0,25,5
dimension_marginal,dim32_minus_dim64,biological_category_probe_accuracy,14,11,0,2,3,0,25,5
dimension_marginal,dim32_minus_dim64,acquisition_category_probe_accuracy,1,24,0,0,5,0,25,5
dimension_marginal,dim32_minus_dim64,biological_pair_cosine_average,20,5,0,5,0,0,25,5
dimension_marginal,dim32_minus_dim64,biological_pair_cosine_worst,17,8,0,5,0,0,25,5
dimension_marginal,dim32_minus_dim64,biological_retrieval_top1_average,13,12,0,2,3,0,25,5
dimension_marginal,dim32_minus_dim64,biological_retrieval_top1_worst,16,9,0,3,2,0,25,5
dimension_marginal,dim32_minus_dim64,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_marginal,dim4_minus_dim64,biological_scanner_probe_accuracy,12,13,0,0,5,0,25,5
dimension_marginal,dim4_minus_dim64,acquisition_scanner_probe_accuracy,5,20,0,0,5,0,25,5
dimension_marginal,dim4_minus_dim64,biological_category_probe_accuracy,10,15,0,2,3,0,25,5
dimension_marginal,dim4_minus_dim64,acquisition_category_probe_accuracy,0,25,0,0,5,0,25,5
dimension_marginal,dim4_minus_dim64,biological_pair_cosine_average,24,1,0,5,0,0,25,5
dimension_marginal,dim4_minus_dim64,biological_pair_cosine_worst,24,1,0,5,0,0,25,5
dimension_marginal,dim4_minus_dim64,biological_retrieval_top1_average,8,17,0,3,2,0,25,5
dimension_marginal,dim4_minus_dim64,biological_retrieval_top1_worst,13,12,0,3,2,0,25,5
dimension_marginal,dim4_minus_dim64,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_marginal,dim8_minus_dim64,biological_scanner_probe_accuracy,12,13,0,2,3,0,25,5
dimension_marginal,dim8_minus_dim64,acquisition_scanner_probe_accuracy,10,15,0,1,4,0,25,5
dimension_marginal,dim8_minus_dim64,biological_category_probe_accuracy,11,14,0,2,3,0,25,5
dimension_marginal,dim8_minus_dim64,acquisition_category_probe_accuracy,0,25,0,0,5,0,25,5
dimension_marginal,dim8_minus_dim64,biological_pair_cosine_average,24,1,0,5,0,0,25,5
dimension_marginal,dim8_minus_dim64,biological_pair_cosine_worst,24,1,0,5,0,0,25,5
dimension_marginal,dim8_minus_dim64,biological_retrieval_top1_average,14,11,0,3,2,0,25,5
dimension_marginal,dim8_minus_dim64,biological_retrieval_top1_worst,18,7,0,4,1,0,25,5
dimension_marginal,dim8_minus_dim64,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
weight_marginal,xcov0p05_minus_xcov0,biological_scanner_probe_accuracy,8,17,0,2,3,0,25,5
weight_marginal,xcov0p05_minus_xcov0,acquisition_scanner_probe_accuracy,24,1,0,5,0,0,25,5
weight_marginal,xcov0p05_minus_xcov0,biological_category_probe_accuracy,14,11,0,2,3,0,25,5
weight_marginal,xcov0p05_minus_xcov0,acquisition_category_probe_accuracy,0,25,0,0,5,0,25,5
weight_marginal,xcov0p05_minus_xcov0,biological_pair_cosine_average,25,0,0,5,0,0,25,5
weight_marginal,xcov0p05_minus_xcov0,biological_pair_cosine_worst,25,0,0,5,0,0,25,5
weight_marginal,xcov0p05_minus_xcov0,biological_retrieval_top1_average,14,11,0,3,2,0,25,5
weight_marginal,xcov0p05_minus_xcov0,biological_retrieval_top1_worst,11,14,0,2,3,0,25,5
weight_marginal,xcov0p05_minus_xcov0,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
weight_marginal,xcov0p2_minus_xcov0,biological_scanner_probe_accuracy,9,16,0,2,3,0,25,5
weight_marginal,xcov0p2_minus_xcov0,acquisition_scanner_probe_accuracy,23,2,0,5,0,0,25,5
weight_marginal,xcov0p2_minus_xcov0,biological_category_probe_accuracy,11,14,0,2,3,0,25,5
weight_marginal,xcov0p2_minus_xcov0,acquisition_category_probe_accuracy,0,25,0,0,5,0,25,5
weight_marginal,xcov0p2_minus_xcov0,biological_pair_cosine_average,25,0,0,5,0,0,25,5
weight_marginal,xcov0p2_minus_xcov0,biological_pair_cosine_worst,25,0,0,5,0,0,25,5
weight_marginal,xcov0p2_minus_xcov0,biological_retrieval_top1_average,16,9,0,3,2,0,25,5
weight_marginal,xcov0p2_minus_xcov0,biological_retrieval_top1_worst,15,10,0,3,2,0,25,5
weight_marginal,xcov0p2_minus_xcov0,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
