dataset_backbone,fold,seed,condition,original_condition,source,ladder_level,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
SCORPION_Phikon,4,701,scanner_balanced_random_pairs,scanner_balanced_random_pairs,new,3,0.5066666666666666,0.5448308646678924,0.38100042939186096,0.85,0.6055555555555556,47.02303905816021,0.9622222222222223,0.4080065548419952,0.1283351182937622,0.5083333333333333,0.29444444444444445,16.985503884936115,0.11647035926580429
SCORPION_Phikon,4,702,scanner_balanced_random_pairs,scanner_balanced_random_pairs,new,3,0.5311111111111111,0.6009199678897857,0.4723557233810425,0.8866666666666667,0.6722222222222223,41.87640803466414,0.9666666666666668,0.4254502937197685,0.0793837457895279,0.5688888888888888,0.3111111111111111,17.419125005278772,0.1247902512550354
SCORPION_Phikon,4,703,scanner_balanced_random_pairs,scanner_balanced_random_pairs,new,3,0.47555555555555556,0.5760461539030075,0.4385449290275574,0.8527777777777776,0.6666666666666666,44.30255400537834,0.9666666666666666,0.43161823898553847,0.08328546583652496,0.5733333333333335,0.29444444444444445,17.794443094209306,0.1192731112241745
SCORPION_Phikon,4,704,scanner_balanced_random_pairs,scanner_balanced_random_pairs,new,3,0.4955555555555556,0.5787380129098892,0.4298035204410553,0.8505555555555556,0.5833333333333333,44.19273417864501,0.9711111111111113,0.398041682690382,0.05302578955888748,0.5127777777777778,0.29444444444444445,16.875210628739666,0.11394594609737396
SCORPION_Phikon,4,705,scanner_balanced_random_pairs,scanner_balanced_random_pairs,new,3,0.4844444444444444,0.6051514238119126,0.471539169549942,0.8905555555555555,0.7277777777777779,41.98223335234293,0.9622222222222222,0.434866401553154,0.21493887901306152,0.591111111111111,0.4111111111111111,18.403720284586605,0.12316225469112396
SCORPION_ResNet50,0,701,true_same_region_pairs,true_pairs,existing,0,0.266,0.6572719037532806,0.6060519814491272,0.9675,0.935,87.11764155576523,0.7959999999999999,0.35555324126034976,-0.008489726111292839,0.15899999999999997,0.09,8.864732335745513,0.09125707298517227
SCORPION_ResNet50,0,701,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.294,0.5333456665277481,0.47768768668174744,0.882,0.8200000000000001,81.63159939352329,0.788,0.4830565765500069,0.21468017995357513,0.2895,0.175,13.786441350827257,0.08443919569253922
SCORPION_ResNet50,0,701,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.28200000000000003,0.5100871533155441,0.45374470949172974,0.873,0.775,83.45951848865235,0.768,0.5080214589834213,0.2533167004585266,0.32050000000000006,0.18,14.58937552479309,0.08387245982885361
SCORPION_ResNet50,0,702,true_same_region_pairs,true_pairs,existing,0,0.252,0.6619045555591583,0.6077998876571655,0.9720000000000001,0.935,85.68790871490893,0.7779999999999999,0.34640820436179637,0.04450584575533867,0.1605,0.10500000000000001,9.345101609558224,0.08992242813110352
SCORPION_ResNet50,0,702,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.284,0.5284911096096039,0.4779697358608246,0.8909999999999998,0.815,82.3807407435042,0.77,0.4827060252428055,0.25430938601493835,0.309,0.16999999999999998,14.21173445133596,0.08527225255966187
SCORPION_ResNet50,0,702,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.31999999999999995,0.5175206124782562,0.4666467607021332,0.8710000000000001,0.825,81.93534978993172,0.778,0.4849020928144455,0.27374038100242615,0.318,0.20500000000000002,14.675083089575756,0.08688019216060638
SCORPION_ResNet50,0,703,true_same_region_pairs,true_pairs,existing,0,0.294,0.6615810513496398,0.6108089685440063,0.974,0.95,85.60186165780088,0.772,0.32162346318364143,0.06822147220373154,0.157,0.085,9.163140599245322,0.09092997759580612
SCORPION_ResNet50,0,703,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.266,0.5310515403747559,0.4754759669303894,0.8795,0.785,82.15094671845092,0.766,0.47941007614135744,0.3008500039577484,0.2965,0.19,14.636995545455525,0.0888785868883133
SCORPION_ResNet50,0,703,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.2919999999999999,0.5162980198860169,0.4637943208217621,0.8724999999999999,0.82,81.76639098671076,0.764,0.4933045655488968,0.3132745027542114,0.32900000000000007,0.23,15.066494822015217,0.08442056179046631
SCORPION_ResNet50,0,704,true_same_region_pairs,true_pairs,existing,0,0.26399999999999996,0.6633013784885406,0.6080024838447571,0.9734999999999999,0.955,85.53967739694583,0.772,0.3443717943504453,-0.025535015389323235,0.17250000000000001,0.10500000000000001,9.239668180578043,0.09107769280672073
SCORPION_ResNet50,0,704,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.282,0.5233130425214767,0.4655250310897827,0.8789999999999999,0.83,83.75625083439097,0.748,0.497973757982254,0.21558278799057007,0.2975,0.19,13.739128280811165,0.08435093611478806
SCORPION_ResNet50,0,704,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.26,0.51607426404953,0.45498475432395935,0.8799999999999999,0.8200000000000001,82.61432897875127,0.744,0.5026267513632774,0.2066027969121933,0.3115,0.165,14.181779242681108,0.0872219055891037
