dataset_backbone,from_condition,to_condition,from_level,to_level,metric,mean_delta
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,acq_mean_paired_cosine,0.06653782504796996
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,acq_worst_paired_cosine,0.1685655760765076
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,acq_mean_top1_retrieval,0.09243333333333326
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,acq_worst_top1_retrieval,0.10488888888888886
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,acq_effective_rank,2.786443534371884
SCORPION_ResNet50,shuffled_sample_pairs,scanner_balanced_random_pairs,2,3,biological_acquisition_cross_covariance,0.003751470744609839
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_scanner_probe_accuracy,0.0045955555555556304
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_mean_paired_cosine,0.0021634209156036754
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_worst_paired_cosine,-0.0020579481124878285
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_mean_top1_retrieval,-0.005064444444444427
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_worst_top1_retrieval,-0.006755555555555626
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,bio_effective_rank,-1.372533457836596
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_scanner_probe_accuracy,-0.005715555555555696
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_mean_paired_cosine,0.014520138978958097
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_worst_paired_cosine,0.010725321769714302
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_mean_top1_retrieval,0.026962222222222165
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_worst_top1_retrieval,0.004577777777777792
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,acq_effective_rank,0.45090244139701596
SCORPION_ResNet50,scanner_balanced_random_pairs,fully_random_pairs,3,4,biological_acquisition_cross_covariance,0.001433135569095606
