noise,seed,metric,clean_strategy,corrupted_strategy,chosen_strategy,clean_value,corrupted_value,switch_value,delta_corrupted_vs_clean,delta_switch_vs_clean
25,123,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5487058823529412,0.5430588235294118,0.5430588235294118,-0.005647058823529338,-0.005647058823529338
25,123,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4814069845344631,0.4807777792439187,0.4807777792439187,-0.0006292052905444434,-0.0006292052905444434
25,2025,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6831239870199568,0.6973632062493835,0.6973632062493835,0.014239219229426725,0.014239219229426725
25,2025,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6513465204760069,0.6749821224030021,0.6749821224030021,0.02363560192699521,0.02363560192699521
25,2025,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6864351011335869,0.7043628426139179,0.7043628426139179,0.01792774148033105,0.01792774148033105
25,2025,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5538823529411765,0.5454117647058824,0.5454117647058824,-0.008470588235294119,-0.008470588235294119
25,2025,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4913528466401686,0.4759849408765724,0.4759849408765724,-0.015367905763596201,-0.015367905763596201
25,42,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6761378487292831,0.6883652591977125,0.6883652591977125,0.012227410468429456,0.012227410468429456
25,42,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6349135521885672,0.6590308231356328,0.6590308231356328,0.024117270947065617,0.024117270947065617
25,42,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.694262101363744,0.7000921672314183,0.7000921672314183,0.005830065867674317,0.005830065867674317
25,42,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5468235294117647,0.5491764705882353,0.5491764705882353,0.0023529411764705577,0.0023529411764705577
