phase,variant,fold,seed,acquisition_dim,cross_covariance_weight,paired_category_contrast,paired_scanner_contrast,biological_scanner_leakage,biological_category_preservation,acquisition_scanner_capture,acquisition_category_leakage,acq_category_delta_vs_true_pair_reference,acq_scanner_delta_vs_true_pair_reference,bio_scanner_delta_vs_true_pair_reference,bio_category_delta_vs_true_pair_reference
full,acq_dim16_stronger_xcov,3,915,16,0.2,0.2100262631688901,0.508974358974359,0.3846153846153846,0.3902005444491343,0.8935897435897436,0.18017428128024424,-0.16542571871975578,0.028489743589743655,0.023215384615384582,0.004200544449134314
full,acq_dim16_stronger_xcov,4,911,16,0.2,0.1644594878601847,0.5076023391812866,0.38128654970760234,0.3596760775341373,0.888888888888889,0.19521658967395258,-0.15038341032604743,0.02378888888888897,0.01988654970760234,-0.026323922465862737
full,acq_dim16_stronger_xcov,4,912,16,0.2,0.1625913215093483,0.567251461988304,0.3239766081871345,0.32714715942003675,0.8912280701754385,0.16455583791068845,-0.18104416208931157,0.0261280701754385,-0.037423391812865525,-0.05885284057996326
full,acq_dim16_stronger_xcov,4,913,16,0.2,0.19345605593542506,0.5614035087719298,0.3286549707602339,0.3450450865840559,0.8900584795321637,0.15158903064863086,-0.19401096935136916,0.02495847953216368,-0.03274502923976608,-0.040954913415944094
full,acq_dim16_stronger_xcov,4,914,16,0.2,0.1720524889459421,0.5192982456140349,0.37660818713450295,0.3761218726258154,0.8959064327485379,0.20406938367987332,-0.1415306163201267,0.030806432748537893,0.015208187134502948,-0.009878127374184587
full,acq_dim16_stronger_xcov,4,915,16,0.2,0.17056953650095044,0.527485380116959,0.3555555555555555,0.3202493457802462,0.8830409356725145,0.14967980927929578,-0.19592019072070424,0.017940935672514535,-0.005844444444444485,-0.06575065421975379
full,acq_dim8_default,0,911,8,0.05,0.2373994997977123,0.49444444444444446,0.3388888888888889,0.3357403039832285,0.8333333333333334,0.0983408041855162,-0.2472591958144838,-0.03176666666666661,-0.022511111111111093,-0.05025969601677149
full,acq_dim8_default,0,912,8,0.05,0.17225065743499213,0.49444444444444446,0.3388888888888889,0.2906103341424841,0.8333333333333334,0.11835967670749199,-0.22724032329250804,-0.03176666666666661,-0.022511111111111093,-0.0953896658575159
full,acq_dim8_default,0,913,8,0.05,0.18262847567030785,0.49305555555555547,0.3375,0.30797204292176983,0.8305555555555555,0.12534356725146198,-0.22025643274853804,-0.03454444444444449,-0.023899999999999977,-0.07802795707823018
full,acq_dim8_default,0,914,8,0.05,0.15573759148920516,0.49722222222222223,0.3472222222222222,0.3390026987016808,0.8444444444444444,0.18326510721247566,-0.16233489278752436,-0.020655555555555538,-0.01417777777777779,-0.046997301298319194
full,acq_dim8_default,0,915,8,0.05,0.15838539942623853,0.49166666666666664,0.33055555555555555,0.31621423185847214,0.8222222222222222,0.1578288324322336,-0.1877711675677664,-0.04287777777777779,-0.030844444444444452,-0.06978576814152787
full,acq_dim8_default,1,911,8,0.05,0.2127362470102196,0.45925925925925926,0.39788359788359784,0.34459186779734724,0.8571428571428571,0.13185562078712765,-0.21374437921287237,-0.007957142857142885,0.03648359788359784,-0.04140813220265277
