phase,variant,branch,fold,seed,source,projected_path,metadata_method,variant_family,acquisition_dim,biological_dim,hidden_dim,cross_covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,gradient_reversal_strength,reconstruction_weight,variance_weight,covariance_weight,temperature,scanner_balanced_accuracy,scanner_macro_f1,category_balanced_accuracy,category_macro_f1,category_weighted_f1,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,n_fit_rows,n_test_rows,n_fit_samples,n_test_samples,n_fit_regions,n_test_regions,pair_non_anchor_region_mismatch_fraction,pair_non_anchor_same_sample_fraction
full,acq_dim16_stronger_xcov,acquisition,2,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8620689655172413,0.8623884102870718,0.14994819994819994,0.10750591931762195,0.1148522786723884,0.32,0.29158620689655174,0.2729655172413793,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,biological,2,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.32275862068965516,0.3225954233311817,0.440985495985496,0.3725096891998227,0.44798359470140364,0.9613793103448276,0.895448275862069,0.7460689655172413,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,2,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8593103448275862,0.8594206556990974,0.18962833462833462,0.15491691279368996,0.18606701044730475,0.3117241379310345,0.27641379310344827,0.25848275862068965,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,biological,2,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.4041379310344827,0.3993525768607026,0.4816252266252266,0.41521172181030935,0.483393338465764,0.9558620689655173,0.8998620689655172,0.7423448275862069,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,2,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8510344827586206,0.8511986403613282,0.1744094794094794,0.12491108787915525,0.13040558382627362,0.3696551724137931,0.30951724137931036,0.2842758620689655,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,biological,2,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.37655172413793103,0.3727304111960359,0.47167961667961666,0.398912641019105,0.4774546276909984,0.9558620689655173,0.8910344827586207,0.7361379310344828,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,3,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8820512820512821,0.8824622394478643,0.14830064293601763,0.08952696271428648,0.10965652554415493,0.4346153846153846,0.3982051282051282,0.3842307692307692,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,biological,3,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3641025641025641,0.3611780967973873,0.4351966433453138,0.32380246898817155,0.42587081735486143,0.9910256410256411,0.92,0.7862820512820513,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,3,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8807692307692309,0.881168635551384,0.14471704206796876,0.07863578404915157,0.08081066497032495,0.46282051282051284,0.4207692307692308,0.40166666666666667,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,biological,3,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.36923076923076925,0.3672090960426272,0.40345407569420466,0.34959838742152133,0.39862023180468587,0.9935897435897436,0.9256410256410257,0.8005128205128205,3245,780,35,9,649,156,0.0,1.0
