seed,regime,global_qwk,global_accuracy,macro_f1,global_loss,worst_site_qwk,worst_site_accuracy,mean_site_qwk,train_description,source_path
42,centralized_all,0.6071987362151458,0.49261083743842365,0.4843189624223922,1.458958625793457,0.45694799658994034,0.4175824175824176,0.6274646070915408,single model trained on the union of all simulated-site training data,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
42,local_site_0,0.6314658232998007,0.458128078817734,0.44604667782097523,1.5887165069580078,0.4424242424242423,0.38461538461538464,0.637273820242193,single model trained only on simulated site 0,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
42,local_site_1,0.4764490294556806,0.32019704433497537,0.31080031710016626,1.7709354162216187,0.32335329341317365,0.23333333333333334,0.45932265795721755,single model trained only on simulated site 1,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
42,local_site_2,0.5096321747301096,0.3399014778325123,0.3382272549159062,1.7440043687820435,0.41599281221922735,0.2692307692307692,0.5435745855981647,single model trained only on simulated site 2,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
42,local_site_3,0.5290205632526273,0.3793103448275862,0.36228951098767875,1.572890281677246,0.32704402515723274,0.3333333333333333,0.5235444428076228,single model trained only on simulated site 3,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
42,local_site_4,0.47476761749177465,0.33497536945812806,0.333659438276364,1.8748706579208374,0.32867132867132864,0.2,0.4476688485780552,single model trained only on simulated site 4,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
42,fedavg,0.5687800762335689,0.4630541871921182,0.4467750276968456,1.4065518379211426,0.3450292397660819,0.38461538461538464,0.5676102495500752,standard sample-size-weighted federated averaging across simulated sites,results\panda_centralized_vs_federated_1000_seed_42\summary.csv
7,centralized_all,0.6010861759811488,0.4876847290640394,0.4876895215630161,1.3628627061843872,0.4,0.43333333333333335,0.6528224145397301,single model trained on the union of all simulated-site training data,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
7,local_site_0,0.5873649600751526,0.42857142857142855,0.42377614007257886,1.5324342250823975,0.24561403508771928,0.3333333333333333,0.5932375405030668,single model trained only on simulated site 0,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
7,local_site_1,0.5074703103051974,0.35467980295566504,0.34667660526444277,1.7945983409881592,0.43783783783783803,0.31868131868131866,0.5290437248288912,single model trained only on simulated site 1,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
7,local_site_2,0.4685239039608695,0.33004926108374383,0.32287856392470754,1.7524605989456177,0.37297297297297294,0.2692307692307692,0.49807378453629914,single model trained only on simulated site 2,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
7,local_site_3,0.40770947421095327,0.3251231527093596,0.3155194373307646,1.7739678621292114,0.36734693877551017,0.2692307692307692,0.41280297297788443,single model trained only on simulated site 3,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
7,local_site_4,0.4600208173597933,0.33497536945812806,0.3352360930238707,1.849076747894287,0.242603550295858,0.15384615384615385,0.4580804192817963,single model trained only on simulated site 4,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
7,fedavg,0.543542711052587,0.4236453201970443,0.40723811452221076,1.452822208404541,0.44324324324324327,0.36666666666666664,0.5665340320768695,standard sample-size-weighted federated averaging across simulated sites,results\panda_centralized_vs_federated_1000_seed_7\summary.csv
99,centralized_all,0.6411195326371255,0.46798029556650245,0.45960780641676346,1.356998085975647,0.17486338797814216,0.3333333333333333,0.6030114296623272,single model trained on the union of all simulated-site training data,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
99,local_site_0,0.6191432012387452,0.5024630541871922,0.501202984870134,1.4274919033050537,0.12429378531073443,0.36666666666666664,0.5944670860525844,single model trained only on simulated site 0,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
99,local_site_1,0.4862119733337745,0.3793103448275862,0.36361334377419335,1.9245269298553467,0.14285714285714302,0.23333333333333334,0.49159487428208415,single model trained only on simulated site 1,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
99,local_site_2,0.5657405215273785,0.3793103448275862,0.3796122750904521,1.5910075902938843,0.08074534161490665,0.23333333333333334,0.5543535639410576,single model trained only on simulated site 2,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
99,local_site_3,0.3642989027435478,0.33497536945812806,0.33169296924617714,1.7309978008270264,0.22695035460992907,0.23333333333333334,0.3632612058284372,single model trained only on simulated site 3,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
99,local_site_4,0.5315844877679061,0.32019704433497537,0.3156953632800365,1.6288914680480957,0.1301775147928994,0.16666666666666666,0.531427378530499,single model trained only on simulated site 4,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
99,fedavg,0.5785635590997324,0.43842364532019706,0.4263972935264169,1.406546711921692,0.14507772020725396,0.3,0.5529241904519531,standard sample-size-weighted federated averaging across simulated sites,results\panda_centralized_vs_federated_1000_seed_99\summary.csv
