config_id,low_quantile,high_quantile,min_trigger_count,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
low_0.1__high_0.75__min_4,0.1,0.75,4,0,15,2,0.13333333333333333,1.0,-0.00025459820129093794,-0.0011312979617796744,0.0006221015591977986,1,1,8.68352338801485e-05,-0.0003917716882295514,0.0005654421559898484,1,1,0.0015082423774022062,-0.0016151416758501008,0.004631626430654514,2,0,-4.019749903272363e-06,-0.0006396141238675113,0.0006315746240609666,1,1,-0.00047058823529411896,-0.0015541817515868565,0.0006130052809986187,1,1
low_0.1__high_0.75__min_4,0.1,0.75,4,25,15,4,0.26666666666666666,2.4,0.00015196023255285387,-0.001687757218158422,0.0019916776832641296,2,2,0.0019407105631590613,-0.002475618678672016,0.006357039804990138,3,1,0.0018643960681535177,-0.005222206675808218,0.008950998812115253,2,2,-0.000172207174320634,-0.003284807247951047,0.002940392899309779,2,2,0.0013803921568627494,-0.0014257460369946431,0.004186530350720142,3,1
low_0.1__high_0.75__min_4,0.1,0.75,4,35,15,7,0.4666666666666667,3.0,0.004190894878476651,2.1074061118115175e-05,0.008360715695835188,7,0,0.008039426164105997,0.0022406956321768196,0.013838156696035175,7,0,0.007202393705712769,-0.0007797509222679019,0.01518453833369344,5,2,0.0045599522982934905,0.0005183595445299033,0.008601545052057078,7,0,0.006368627450980391,0.0020232225298230325,0.01071403237213775,7,0
low_0.1__high_0.75__min_4,0.1,0.75,4,45,15,10,0.6666666666666666,3.466666666666667,0.010626377013014528,0.0025399832956944073,0.01871277073033465,10,0,0.014848949134282193,0.007760401703426128,0.021937496565138256,10,0,0.011541628470450874,0.0039843031390785115,0.019098953801823238,9,1,0.010854239893219594,0.003656238169086493,0.018052241617352693,10,0,0.01254901960784313,0.0066733638976507964,0.018424675318035464,10,0
low_0.1__high_0.8__min_2,0.1,0.8,2,0,15,4,0.26666666666666666,0.8666666666666667,-0.0011400889828168412,-0.0032690889480376517,0.0009889109824039691,2,2,-0.0027044683301868043,-0.006838106509706928,0.0014291698493333186,1,3,0.0012787099933371016,-0.0020493992224524093,0.004606819209126613,3,1,-0.0006737250691974654,-0.002294893779225038,0.0009474436408301073,2,2,-0.0019450980392156905,-0.0042613399508428995,0.00037114387241151867,1,3
low_0.1__high_0.8__min_2,0.1,0.8,2,25,15,9,0.6,2.066666666666667,0.0038937074465861033,-0.00045110395094812147,0.008238518844120328,7,2,0.004397859124381276,-0.0012206275092330916,0.010016345757995643,6,3,0.005077593387480469,-0.0032121449440353058,0.013367331718996244,6,3,0.003867853321619282,-0.0014259895842898928,0.009161696227528457,7,2,0.003670588235294129,0.00036475094620864274,0.006976425524379616,8,1
low_0.1__high_0.8__min_2,0.1,0.8,2,35,15,12,0.8,2.8666666666666667,0.0057633890674154255,0.0008884133992739648,0.010638364735556887,10,2,0.009483820669367482,0.0029067668461189135,0.01606087449261605,11,1,0.007963055138559534,-0.0014235053170151921,0.01734961559413426,7,5,0.006174455358669658,0.0019420119763739118,0.010406898740965405,11,1,0.008752941176470578,0.004385335940442991,0.013120546412498164,11,1
low_0.1__high_0.8__min_2,0.1,0.8,2,45,15,13,0.8666666666666667,3.2666666666666666,0.010333435909080979,0.0020628307014620914,0.018604041116699867,11,2,0.01673503452255428,0.010318161382355837,0.023151907662752724,13,0,0.01316765678490918,0.0057842310414473255,0.020551082528371036,11,2,0.010502083699282464,0.0031014463060724294,0.0179027210924925,11,2,0.014807843137254901,0.009857982894267106,0.019757703380242696,13,0
low_0.1__high_0.8__min_3,0.1,0.8,3,0,15,2,0.13333333333333333,0.8666666666666667,-0.00025459820129093794,-0.0011312979617796744,0.0006221015591977986,1,1,8.68352338801485e-05,-0.0003917716882295514,0.0005654421559898484,1,1,0.0015082423774022062,-0.0016151416758501008,0.004631626430654514,2,0,-4.019749903272363e-06,-0.0006396141238675113,0.0006315746240609666,1,1,-0.00047058823529411896,-0.0015541817515868565,0.0006130052809986187,1,1
low_0.1__high_0.8__min_3,0.1,0.8,3,25,15,5,0.3333333333333333,2.066666666666667,0.001287213823124526,-0.0017460968102482948,0.004320524456497347,3,2,0.0029029172462730142,-0.0018443331149444572,0.007650167607490486,4,1,0.003528374114504144,-0.004276768047926872,0.01133351627693516,3,2,0.0009682408065864105,-0.0030068766671784044,0.004943358280351225,3,2,0.0022274509803921574,-0.00099855831168152,0.005453460272465835,4,1
low_0.1__high_0.8__min_3,0.1,0.8,3,35,15,9,0.6,2.8666666666666667,0.005417686746575871,0.0006201691247851842,0.010215204368366558,8,1,0.008384181556212345,0.002722193146254631,0.014046169966170058,9,0,0.009909033851333023,0.0016870129046377066,0.01813105479802834,7,2,0.005919676097368268,0.0017087761257994268,0.01013057606893711,9,0,0.0072784313725490135,0.0029937456213930246,0.011563117123705002,9,0
