target_stresses,mean_trigger_rate_target,clean_trigger_rate,clean_global_qwk_delta,mean_delta_global_qwk_target,positive_regimes_global_qwk_target,significant_regimes_global_qwk_target,mean_delta_macro_f1_target,positive_regimes_macro_f1_target,significant_regimes_macro_f1_target,mean_delta_worst_site_qwk_target,positive_regimes_worst_site_qwk_target,significant_regimes_worst_site_qwk_target,mean_delta_mean_site_qwk_target,positive_regimes_mean_site_qwk_target,significant_regimes_mean_site_qwk_target,mean_delta_global_accuracy_target,positive_regimes_global_accuracy_target,significant_regimes_global_accuracy_target,config_id,low_quantile,high_quantile,min_trigger_count,passes_clean_trigger_cutoff,positive_global_qwk_all_targets,significant_global_qwk_all_targets,positive_macro_f1_all_targets,positive_worst_site_qwk_all_targets,robust_positive_config
"35,45",0.5666666666666667,0.0,0.0,0.007597385203461867,2,2,0.009849788136638577,2,2,0.010810399699805717,2,2,0.007865307093028658,2,2,0.008376470588235293,2,2,low_0.05__high_0.9__min_3,0.05,0.9,3,True,True,True,True,True,True
"35,45",0.5666666666666667,0.13333333333333333,-0.00025459820129093794,0.00740863594574559,2,2,0.011444187649194096,2,2,0.009372011088081823,2,1,0.007707096095756542,2,2,0.00945882352941176,2,2,low_0.1__high_0.75__min_4,0.1,0.75,4,True,True,True,True,True,True
"35,45",0.5666666666666667,0.13333333333333333,-0.00025459820129093794,0.00740863594574559,2,2,0.011444187649194096,2,2,0.009372011088081823,2,1,0.007707096095756542,2,2,0.00945882352941176,2,2,low_0.15__high_0.75__min_4,0.15,0.75,4,True,True,True,True,True,True
"35,45",0.5333333333333333,0.06666666666666667,-0.00038010813252222034,0.007219921010200651,2,2,0.010454211429109652,2,2,0.009503213095516095,2,1,0.007541086466050107,2,2,0.008627450980392153,2,2,low_0.05__high_0.75__min_4,0.05,0.75,4,True,True,True,True,True,True
"35,45",0.5,0.06666666666666667,-0.00038010813252222034,0.007012892168604052,2,1,0.010032030935768375,2,2,0.00855724512656907,2,1,0.0071295728847459005,2,2,0.008564705882352938,2,2,low_0.1__high_0.8__min_4,0.1,0.8,4,True,True,False,True,True,True
"35,45",0.5,0.13333333333333333,-0.00025459820129093794,0.007012892168604052,2,1,0.010032030935768375,2,2,0.00855724512656907,2,1,0.0071295728847459005,2,2,0.008564705882352938,2,2,low_0.15__high_0.8__min_4,0.15,0.8,4,True,True,False,True,True,True
"35,45",0.43333333333333335,0.06666666666666667,-0.00038010813252222034,0.00668874230332623,2,1,0.008505452242995926,2,2,0.007763912979438037,2,1,0.006835215369776526,2,2,0.007231372549019606,2,2,low_0.05__high_0.8__min_4,0.05,0.8,4,True,True,False,True,True,True
"35,45",0.4666666666666667,0.06666666666666667,-0.00038010813252222034,0.006143063354885869,2,1,0.0093262876331151,2,2,0.007294265653252629,2,1,0.006254821963007029,2,2,0.008156862745098033,2,2,low_0.1__high_0.85__min_4,0.1,0.85,4,True,True,False,True,True,True
"35,45",0.4666666666666667,0.13333333333333333,-0.00025459820129093794,0.006143063354885869,2,1,0.0093262876331151,2,2,0.007294265653252629,2,1,0.006254821963007029,2,2,0.008156862745098033,2,2,low_0.15__high_0.85__min_4,0.15,0.85,4,True,True,False,True,True,True
"35,45",0.4,0.06666666666666667,-0.00038010813252222034,0.005818913489608046,2,1,0.00779970894034265,2,2,0.006500933506121598,2,1,0.005960464448037654,2,2,0.006823529411764702,2,2,low_0.05__high_0.85__min_4,0.05,0.85,4,True,True,False,True,True,True
"35,45",0.4,0.0,0.0,0.005818913489608046,2,1,0.00779970894034265,2,2,0.006500933506121598,2,1,0.005960464448037654,2,2,0.006823529411764702,2,2,low_0.05__high_0.9__min_4,0.05,0.9,4,True,True,False,True,True,True
"35,45",0.4,0.0,0.0,0.005818913489608046,2,1,0.00779970894034265,2,2,0.006500933506121598,2,1,0.005960464448037654,2,2,0.006823529411764702,2,2,low_0.1__high_0.9__min_4,0.1,0.9,4,True,True,False,True,True,True
"35,45",0.4,0.06666666666666667,0.0001255099312312824,0.005818913489608046,2,1,0.00779970894034265,2,2,0.006500933506121598,2,1,0.005960464448037654,2,2,0.006823529411764702,2,2,low_0.15__high_0.9__min_4,0.15,0.9,4,True,True,False,True,True,True
"35,45",0.7,0.26666666666666666,-0.0011400889828168412,0.008071122839852566,2,2,0.012462217608013743,2,2,0.011290028770785075,2,2,0.008307683147060534,2,2,0.010572549019607838,2,2,low_0.15__high_0.75__min_3,0.15,0.75,3,False,True,True,True,True,False
"35,45",0.8333333333333334,0.26666666666666666,-0.0011400889828168412,0.008048412488248202,2,2,0.013109427595960881,2,2,0.010565355961734357,2,1,0.008338269528976061,2,2,0.011780392156862739,2,2,low_0.1__high_0.75__min_2,0.1,0.75,2,False,True,True,True,True,False
"35,45",0.8333333333333334,0.26666666666666666,-0.0011400889828168412,0.008048412488248202,2,2,0.013109427595960881,2,2,0.010565355961734357,2,1,0.008338269528976061,2,2,0.011780392156862739,2,2,low_0.1__high_0.8__min_2,0.1,0.8,2,False,True,True,True,True,False
"35,45",0.8333333333333334,0.26666666666666666,-0.0011400889828168412,0.008048412488248202,2,2,0.013109427595960881,2,2,0.010565355961734357,2,1,0.008338269528976061,2,2,0.011780392156862739,2,2,low_0.15__high_0.75__min_2,0.15,0.75,2,False,True,True,True,True,False
"35,45",0.8333333333333334,0.26666666666666666,-0.0011400889828168412,0.008048412488248202,2,2,0.013109427595960881,2,2,0.010565355961734357,2,1,0.008338269528976061,2,2,0.011780392156862739,2,2,low_0.15__high_0.8__min_2,0.15,0.8,2,False,True,True,True,True,False
"35,45",0.8,0.26666666666666666,-0.0011400889828168412,0.007776365621142659,2,2,0.013649649057932423,2,2,0.010579332088348384,2,1,0.008118065185242584,2,2,0.011937254901960782,2,2,low_0.1__high_0.85__min_2,0.1,0.85,2,False,True,True,True,True,False
"35,45",0.8,0.26666666666666666,-0.0011400889828168412,0.007776365621142659,2,2,0.013649649057932423,2,2,0.010579332088348384,2,1,0.008118065185242584,2,2,0.011937254901960782,2,2,low_0.15__high_0.85__min_2,0.15,0.85,2,False,True,True,True,True,False
