source_file,noise,threshold_shift,seed,clean_strategy,corrupted_strategy,clean_global_qwk,clean_worst_site_qwk,clean_mean_site_qwk,clean_site_qwk_spread,clean_global_accuracy,clean_macro_f1,clean_mean_abs_error,clean_severe_error_rate,clean_mean_overgrade,clean_mean_undergrade,clean_prediction_entropy,corrupted_global_qwk,delta_corrupted_vs_clean_global_qwk,corrupted_worst_site_qwk,delta_corrupted_vs_clean_worst_site_qwk,corrupted_mean_site_qwk,delta_corrupted_vs_clean_mean_site_qwk,corrupted_site_qwk_spread,delta_corrupted_vs_clean_site_qwk_spread,corrupted_global_accuracy,delta_corrupted_vs_clean_global_accuracy,corrupted_macro_f1,delta_corrupted_vs_clean_macro_f1,corrupted_mean_abs_error,delta_corrupted_vs_clean_mean_abs_error,corrupted_severe_error_rate,delta_corrupted_vs_clean_severe_error_rate,corrupted_mean_overgrade,delta_corrupted_vs_clean_mean_overgrade,corrupted_mean_undergrade,delta_corrupted_vs_clean_mean_undergrade,corrupted_prediction_entropy,delta_corrupted_vs_clean_prediction_entropy,detector_failure_count,detector_failed_diagnostics,detector_triggered,chosen_strategy,detector_global_qwk,oracle_global_qwk,delta_detector_vs_clean_global_qwk,detector_regret_vs_oracle_global_qwk,detector_worst_site_qwk,oracle_worst_site_qwk,delta_detector_vs_clean_worst_site_qwk,detector_regret_vs_oracle_worst_site_qwk,detector_mean_site_qwk,oracle_mean_site_qwk,delta_detector_vs_clean_mean_site_qwk,detector_regret_vs_oracle_mean_site_qwk,detector_global_accuracy,oracle_global_accuracy,delta_detector_vs_clean_global_accuracy,detector_regret_vs_oracle_global_accuracy,detector_macro_f1,oracle_macro_f1,delta_detector_vs_clean_macro_f1,detector_regret_vs_oracle_macro_f1
results\threshold_shift_panda_all_conservative_0_seed_43\predictions.csv,0,0,43,fedavg,cross_site_blend_50,0.746679487551388,0.7384839293613565,0.7506560624693208,0.027385802200084464,0.5736470588235294,0.5091526183482555,0.7035294117647058,0.07529411764705882,0.22541176470588234,0.47811764705882354,1.1308712252820465,0.7445723706908911,-0.002107116860496916,0.7254084860689003,-0.013075443292456246,0.7452269109662587,-0.005429151503062113,0.04016675684773241,0.012780954647647946,0.5816470588235294,0.008000000000000007,0.5208785983849045,0.01172598003664893,0.6889411764705883,-0.014588235294117569,0.07294117647058823,-0.0023529411764705854,0.19905882352941176,-0.02635294117647058,0.4898823529411765,0.011764705882352955,1.1779910486661687,0.04711982338412213,0,,False,fedavg,0.746679487551388,0.746679487551388,0.0,0.0,0.7384839293613565,0.7384839293613565,0.0,0.0,0.7506560624693208,0.7506560624693208,0.0,0.0,0.5736470588235294,0.5736470588235294,0.0,0.0,0.5091526183482555,0.5091526183482555,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_47\predictions.csv,0,0,47,fedavg,cross_site_blend_50,0.7181815243226684,0.6786340882743549,0.7213997699169905,0.08015292436465182,0.5656470588235294,0.49819446829971814,0.7463529411764706,0.08847058823529412,0.2752941176470588,0.47105882352941175,1.1353106869842753,0.7180828092966849,-9.87150259834646e-05,0.6994246620651237,0.020790573790768763,0.7266365779426043,0.005236808025613771,0.041589439883484736,-0.03856348448116709,0.571764705882353,0.006117647058823561,0.5029810518398447,0.00478658354012651,0.7369411764705882,-0.009411764705882342,0.08705882352941176,-0.0014117647058823624,0.23623529411764707,-0.03905882352941173,0.5007058823529412,0.02964705882352947,1.1433934522053368,0.00808276522106155,1,severe_error_rate_high,False,fedavg,0.7181815243226684,0.7181815243226684,0.0,0.0,0.6786340882743549,0.6786340882743549,0.0,0.0,0.7213997699169905,0.7213997699169905,0.0,0.0,0.5656470588235294,0.5656470588235294,0.0,0.0,0.49819446829971814,0.49819446829971814,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_53\predictions.csv,0,0,53,fedavg,cross_site_blend_50,0.7317556780937956,0.6740479638200556,0.7321636104952894,0.09335602335510151,0.5689411764705883,0.5085063095527034,0.7167058823529412,0.07858823529411765,0.21929411764705883,0.49741176470588233,1.1676241651479085,0.7278712679750026,-0.0038844101187930358,0.6610648798322412,-0.012983083987814448,0.7313916065488951,-0.0007720039463943174,0.12209764320290162,0.028741619847800104,0.5609411764705883,-0.008000000000000007,0.4933853771679242,-0.015120932384779184,0.7369411764705882,0.020235294117647018,0.08141176470588235,0.002823529411764697,0.24329411764705883,0.023999999999999994,0.49364705882352944,-0.0037647058823528923,1.1499776231798036,-0.01764654196810489,0,,False,fedavg,0.7317556780937956,0.7317556780937956,0.0,0.0,0.6740479638200556,0.6740479638200556,0.0,0.0,0.7321636104952894,0.7321636104952894,0.0,0.0,0.5689411764705883,0.5689411764705883,0.0,0.0,0.5085063095527034,0.5085063095527034,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_59\predictions.csv,0,0,59,fedavg,cross_site_blend_50,0.7174448693789363,0.6554682158493963,0.704259831803012,0.10951190411683898,0.5656470588235294,0.4957776166241075,0.7557647058823529,0.088,0.2762352941176471,0.47952941176470587,1.1257526356540812,0.711743247391103,-0.005701621987833305,0.6773504954280436,0.0218822795786473,0.7011934943970357,-0.0030663374059762827,0.05602654889807579,-0.053485355218763186,0.5581176470588235,-0.007529411764705896,0.4942243648561051,-0.0015532517680024172,0.7529411764705882,-0.002823529411764669,0.08282352941176471,-0.005176470588235282,0.25929411764705884,-0.016941176470588237,0.49364705882352944,0.014117647058823568,1.176819785477475,0.051067149823393665,4,worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,True,cross_site_blend_50,0.711743247391103,0.7174448693789363,-0.005701621987833305,-0.005701621987833305,0.6773504954280436,0.6554682158493963,0.0218822795786473,0.0218822795786473,0.7011934943970357,0.704259831803012,-0.0030663374059762827,-0.0030663374059762827,0.5581176470588235,0.5656470588235294,-0.007529411764705896,-0.007529411764705896,0.4942243648561051,0.4957776166241075,-0.0015532517680024172,-0.0015532517680024172
results\threshold_shift_panda_all_conservative_0_seed_7\predictions.csv,0,0,7,fedavg,cross_site_blend_50,0.727615545028268,0.6936547323644097,0.7316464239387271,0.07232450489122655,0.5731764705882353,0.5099629714567177,0.7167058823529412,0.08,0.20988235294117646,0.5068235294117647,1.1449047036631301,0.724997097427688,-0.002618447600579943,0.6749135732640295,-0.01874115910038021,0.7293748112328828,-0.002271612705844306,0.08703574130294778,0.014711236411721229,0.5778823529411765,0.004705882352941226,0.5081509709702154,-0.0018120004865022077,0.7143529411764706,-0.0023529411764705577,0.08047058823529411,0.00047058823529411153,0.22211764705882353,0.012235294117647066,0.49223529411764705,-0.014588235294117624,1.2034422782645309,0.058537574601400744,0,,False,fedavg,0.727615545028268,0.727615545028268,0.0,0.0,0.6936547323644097,0.6936547323644097,0.0,0.0,0.7316464239387271,0.7316464239387271,0.0,0.0,0.5731764705882353,0.5731764705882353,0.0,0.0,0.5099629714567177,0.5099629714567177,0.0,0.0
results\threshold_shift_panda_all_conservative_25_seed_11\predictions.csv,25,25,11,fedavg,cross_site_blend_50,0.7194569545078301,0.6906077348066298,0.7192355912509705,0.053746009890571544,0.5350588235294118,0.458856059014584,0.7477647058823529,0.07670588235294118,0.15905882352941175,0.5887058823529412,1.2087582913896644,0.7427163561434391,0.023259401635609023,0.7238899315974094,0.033282196790779595,0.751256052880748,0.032020461629777563,0.05618856534864136,0.0024425554580698172,0.5628235294117647,0.027764705882352914,0.49763258232095614,0.03877652330637216,0.7035294117647058,-0.04423529411764704,0.07058823529411765,-0.006117647058823533,0.2,0.04094117647058826,0.5035294117647059,-0.0851764705882353,1.2120677251554204,0.003309433765755987,0,,False,fedavg,0.7194569545078301,0.7427163561434391,0.0,-0.023259401635609023,0.6906077348066298,0.7238899315974094,0.0,-0.033282196790779595,0.7192355912509705,0.751256052880748,0.0,-0.032020461629777563,0.5350588235294118,0.5628235294117647,0.0,-0.027764705882352914,0.458856059014584,0.49763258232095614,0.0,-0.03877652330637216
results\threshold_shift_panda_all_conservative_25_seed_123\predictions.csv,25,25,123,fedavg,cross_site_blend_50,0.7197993382461756,0.6730431803556465,0.7193763619826619,0.09766596776933445,0.5430588235294118,0.4726416104983698,0.7529411764705882,0.08376470588235294,0.22305882352941175,0.5298823529411765,1.2462496593485874,0.728387511335503,0.008588173089327356,0.6833917586546725,0.010348578299026023,0.7265113077730707,0.007134945790408853,0.0711401057773704,-0.02652586199196405,0.5505882352941176,0.0075294117647057845,0.4851086759506891,0.012467065452319348,0.7449411764705882,-0.008000000000000007,0.07858823529411765,-0.005176470588235282,0.2832941176470588,0.060235294117647054,0.4616470588235294,-0.06823529411764706,1.2248803640207009,-0.02136929532788656,1,mean_abs_error_high,False,fedavg,0.7197993382461756,0.728387511335503,0.0,-0.008588173089327356,0.6730431803556465,0.6833917586546725,0.0,-0.010348578299026023,0.7193763619826619,0.7265113077730707,0.0,-0.007134945790408853,0.5430588235294118,0.5505882352941176,0.0,-0.0075294117647057845,0.4726416104983698,0.4851086759506891,0.0,-0.012467065452319348
results\threshold_shift_panda_all_conservative_25_seed_17\predictions.csv,25,25,17,fedavg,cross_site_blend_50,0.720376940359154,0.6833147193865888,0.7101396284477165,0.0594054737038443,0.5421176470588235,0.47622676800304825,0.7557647058823529,0.07623529411764705,0.184,0.571764705882353,1.219535307227559,0.7184425124369567,-0.0019344279221973348,0.6654724810460666,-0.017842238340522232,0.7027912252273306,-0.0073484032203858796,0.08814620628847936,0.028740732584635054,0.552,0.009882352941176564,0.4875084642132297,0.011281696210181436,0.7421176470588235,-0.013647058823529346,0.07623529411764705,0.0,0.1623529411764706,-0.021647058823529408,0.579764705882353,0.008000000000000007,1.2207009327368497,0.0011656255092906687,1,mean_abs_error_high,False,fedavg,0.720376940359154,0.7184425124369567,0.0,0.0019344279221973348,0.6833147193865888,0.6654724810460666,0.0,0.017842238340522232,0.7101396284477165,0.7027912252273306,0.0,0.0073484032203858796,0.5421176470588235,0.552,0.0,-0.009882352941176564,0.47622676800304825,0.4875084642132297,0.0,-0.011281696210181436
results\threshold_shift_panda_all_conservative_25_seed_2025\predictions.csv,25,25,2025,fedavg,cross_site_blend_50,0.6871073305749891,0.664908782987116,0.6881382228979203,0.044773027460391246,0.5444705882352942,0.4738095021790583,0.7792941176470588,0.09176470588235294,0.21411764705882352,0.5651764705882353,1.2280648427757028,0.6910428579313148,0.003935527356325741,0.6682086371284353,0.0032998541413192806,0.692717945481648,0.004579722583727741,0.050881435526153984,0.006108408065762738,0.5388235294117647,-0.0056470588235294494,0.4611272405879175,-0.012682261591140831,0.7967058823529412,0.01741176470588235,0.09411764705882353,0.0023529411764705854,0.25270588235294117,0.038588235294117645,0.544,-0.02117647058823524,1.2162750218892362,-0.011789820886466629,4,global_qwk_low;worst_site_qwk_low;mean_abs_error_high;severe_error_rate_high,True,cross_site_blend_50,0.6910428579313148,0.6910428579313148,0.003935527356325741,0.0,0.6682086371284353,0.6682086371284353,0.0032998541413192806,0.0,0.692717945481648,0.692717945481648,0.004579722583727741,0.0,0.5388235294117647,0.5388235294117647,-0.0056470588235294494,0.0,0.4611272405879175,0.4611272405879175,-0.012682261591140831,0.0
results\threshold_shift_panda_all_conservative_25_seed_23\predictions.csv,25,25,23,fedavg,cross_site_blend_50,0.6943062002746598,0.6606247263358512,0.7103325858133951,0.10202038419210713,0.5392941176470588,0.46295667787525724,0.7952941176470588,0.09505882352941177,0.20847058823529413,0.5868235294117647,1.191487602080801,0.6864693221274281,-0.007836878147231774,0.6477595403818832,-0.012865185953968017,0.7052749449504973,-0.005057640862897839,0.11912772816961281,0.017107343977505685,0.5430588235294118,0.0037647058823530033,0.46955534439611873,0.006598666520861496,0.7952941176470588,0.0,0.0988235294117647,0.003764705882352934,0.1948235294117647,-0.013647058823529429,0.6004705882352941,0.013647058823529346,1.1790915644818216,-0.012396037598979337,4,global_qwk_low;worst_site_qwk_low;mean_abs_error_high;severe_error_rate_high,True,cross_site_blend_50,0.6864693221274281,0.6864693221274281,-0.007836878147231774,0.0,0.6477595403818832,0.6477595403818832,-0.012865185953968017,0.0,0.7052749449504973,0.7052749449504973,-0.005057640862897839,0.0,0.5430588235294118,0.5430588235294118,0.0037647058823530033,0.0,0.46955534439611873,0.46955534439611873,0.006598666520861496,0.0
